timeline,Kaō
Mar 2006,$13.2B
Apr 2006,$13B
May 2006,$11.77B
Jun 2006,$12.68B
Jul 2006,$12.42B
Aug 2006,$12.54B
Sep 2006,$12.7B
Oct 2006,$12.49B
Nov 2006,$12.41B
Dec 2006,$12.46B
Jan 2007,$13.41B
Feb 2007,$13.46B
Mar 2007,$13.44B
Apr 2007,$12.4B
May 2007,$12.64B
Jun 2007,$12.14B
Jul 2007,$12.35B
Aug 2007,$12.66B
Sep 2007,$12.89B
Oct 2007,$12.19B
Nov 2007,$12.67B
Dec 2007,$12.42B
Jan 2008,$12.33B
Feb 2008,$12.42B
Mar 2008,$10.92B
Apr 2008,$10.73B
May 2008,$10.26B
Jun 2008,$10.22B
Jul 2008,$9.69B
Aug 2008,$11.81B
Sep 2008,$11.55B
Oct 2008,$14.06B
Nov 2008,$13.56B
Dec 2008,$12.85B
Jan 2009,$12.8B
Mar 2009,$12.48B
Apr 2009,$9.29B
Aug 2009,$9.59B
Sep 2009,$10.49B
Oct 2009,$10.08B
Jan 2010,$10.27B
Feb 2010,$11.2B
Mar 2010,$11.44B
Apr 2010,$11.12B
May 2010,$10.85B
Jun 2010,$11.45B
Jul 2010,$10.71B
Aug 2010,$10.89B
Sep 2010,$10.72B
Oct 2010,$10.92B
Nov 2010,$11.4B
Dec 2010,$12.13B
Jan 2011,$11.47B
Feb 2011,$11.62B
Mar 2011,$10.31B
Apr 2011,$9.72B
May 2011,$10.34B
Jun 2011,$10.23B
Jul 2011,$11.12B
Aug 2011,$10.38B
Sep 2011,$11.83B
Oct 2011,$10.94B
Nov 2011,$11B
Dec 2011,$11.86B
Jan 2012,$11.31B
Feb 2012,$10.87B
Mar 2012,$11.55B
Apr 2012,$11.92B
May 2012,$12.24B
Jun 2012,$13.13B
Jul 2012,$13.15B
Aug 2012,$14.21B
Sep 2012,$13.56B
Oct 2012,$12.83B
Nov 2012,$12.54B
Dec 2012,$11.69B
Jan 2013,$12.55B
Feb 2013,$14.42B
Mar 2013,$15.08B
Apr 2013,$15.54B
May 2013,$14.25B
Jun 2013,$15.53B
Jul 2013,$13.99B
Aug 2013,$12.77B
Sep 2013,$13.43B
Oct 2013,$13.99B
Nov 2013,$14B
Dec 2013,$13.25B
Jan 2014,$13.63B
Feb 2014,$14.48B
Mar 2014,$14.98B
Apr 2014,$15.74B
May 2014,$16.86B
Jun 2014,$16.71B
Jul 2014,$17.87B
Aug 2014,$19.02B
Sep 2014,$17.86B
Oct 2014,$18.13B
Nov 2014,$17.36B
Dec 2014,$18.58B
Jan 2015,$21.93B
Feb 2015,$22.69B
Mar 2015,$26.19B
Apr 2015,$24.67B
May 2015,$23.65B
Jun 2015,$23.47B
Jul 2015,$26.29B
Aug 2015,$23.18B
Sep 2015,$22.72B
Oct 2015,$26.61B
Nov 2015,$27.54B
Dec 2015,$26.96B
Jan 2016,$27.93B
Feb 2016,$26.04B
Mar 2016,$26.76B
Apr 2016,$28.29B
May 2016,$28.04B
Jun 2016,$29.44B
Jul 2016,$27.14B
Aug 2016,$26.61B
Sep 2016,$28.45B
Oct 2016,$26.71B
Nov 2016,$24.97B
Dec 2016,$25.59B
Feb 2017,$27.12B
Mar 2017,$27.99B
Apr 2017,$27.87B
May 2017,$30.89B
Jun 2017,$28.52B
Jul 2017,$28.34B
Aug 2017,$28.62B
Sep 2017,$27.36B
Oct 2017,$28.44B
Nov 2017,$30.69B
Dec 2017,$30.97B
Jan 2018,$31.27B
Feb 2018,$33.33B
Mar 2018,$33.98B
Apr 2018,$33.21B
May 2018,$36.84B
Jun 2018,$36.6B
Jul 2018,$34.55B
Aug 2018,$36.76B
Sep 2018,$38.37B
Oct 2018,$31.98B
Nov 2018,$35.23B
Dec 2018,$35.59B
Jan 2019,$33.77B
Feb 2019,$36.79B
Mar 2019,$38.66B
Apr 2019,$37.8B
May 2019,$38.18B
Jun 2019,$36.72B
Jul 2019,$35.92B
Aug 2019,$35.05B
Sep 2019,$36.35B
Oct 2019,$38.75B
Nov 2019,$38.4B
Dec 2019,$40.28B
Jan 2020,$39.81B
Feb 2020,$37.42B
Feb 2020,$35.52B
Mar 2020,$40.34B
Apr 2020,$39.05B
May 2020,$39.47B
Jun 2020,$38.42B
Jul 2020,$33.45B
Aug 2020,$34.16B
Sep 2020,$34.59B
Sep 2020,$34.83B
Sep 2020,$35.97B
Sep 2020,$34.61B
Oct 2020,$33.97B
Oct 2020,$34.46B
Oct 2020,$33.7B
Oct 2020,$33.09B
Nov 2020,$35.65B
Nov 2020,$34.47B
Nov 2020,$34.87B
Nov 2020,$34.12B
Dec 2020,$33.48B
Dec 2020,$33.27B
Dec 2020,$33.6B
Dec 2020,$34.21B
Jan 2021,$33.54B
Jan 2021,$33.76B
Jan 2021,$33.23B
Jan 2021,$32.72B
Feb 2021,$31.29B
Feb 2021,$30.07B
Mar 2021,$30.4B
Mar 2021,$30.82B
Mar 2021,$30.75B
Apr 2021,$30.62B
Apr 2021,$30.3B
Apr 2021,$29.35B
Apr 2021,$28.69B
May 2021,$28.84B
May 2021,$27.36B
May 2021,$27.57B
May 2021,$27.02B
Jun 2021,$27.73B
Jun 2021,$27.93B
Jul 2021,$27.54B
Jul 2021,$28.08B
Jul 2021,$29.02B
Aug 2021,$30.39B
Aug 2021,$30.09B
Aug 2021,$29.01B
Aug 2021,$28.68B
Sep 2021,$29.11B
Sep 2021,$30.06B
Sep 2021,$29.36B
Sep 2021,$29.13B
Oct 2021,$28.2B
Oct 2021,$28.25B
Oct 2021,$27.25B
Oct 2021,$26.55B
Oct 2021,$26.59B
Nov 2021,$26.35B
Nov 2021,$25.84B
Nov 2021,$25.87B
Nov 2021,$25.81B
Dec 2021,$24.86B
Dec 2021,$25.2B
Dec 2021,$25.28B
