timeline,Nissan
15 Jan 2021,$18.37B
22 Jan 2021,$19.16B
29 Jan 2021,$18.35B
12 Feb 2021,$21.65B
26 Feb 2021,$19.82B
1 Mar 2021,$20.1B
19 Mar 2021,$21.52B
31 Mar 2021,$21.24B
7 Apr 2021,$19.94B
16 Apr 2021,$19.87B
22 Apr 2021,$18.97B
30 Apr 2021,$18.89B
13 May 2021,$18.05B
19 May 2021,$18.02B
31 May 2021,$18.59B
4 Jun 2021,$19.7B
11 Jun 2021,$18.93B
30 Jun 2021,$19.02B
12 Jul 2021,$20.22B
20 Jul 2021,$18.84B
30 Jul 2021,$22.1B
6 Aug 2021,$21.6B
13 Aug 2021,$21.9B
20 Aug 2021,$18.72B
27 Aug 2021,$20.22B
10 Sep 2021,$20.36B
17 Sep 2021,$20.39B
24 Sep 2021,$19.81B
2 Oct 2021,$19.55B
9 Oct 2021,$18.73B
23 Oct 2021,$20.18B
30 Oct 2021,$19.89B
6 Nov 2021,$20.26B
13 Nov 2021,$21.63B
20 Nov 2021,$21.78B
4 Dec 2021,$20.04B
9 Dec 2021,$19.62B
