timeline,AdvanSix
30 Jul 2021,$0.92B
6 Aug 2021,$1B
12 Aug 2021,$1.05B
13 Aug 2021,$1.03B
20 Aug 2021,$0.96B
27 Aug 2021,$1.03B
3 Sep 2021,$1.06B
17 Sep 2021,$1.02B
24 Sep 2021,$1.1B
2 Oct 2021,$1.18B
9 Oct 2021,$1.24B
16 Oct 2021,$1.25B
23 Oct 2021,$1.27B
30 Oct 2021,$1.37B
6 Nov 2021,$1.35B
13 Nov 2021,$1.42B
20 Nov 2021,$1.35B
27 Nov 2021,$1.32B
4 Dec 2021,$1.25B
9 Dec 2021,$1.3B
