timeline,Oriental Land
31 Mar 2006,$5.14B
28 Apr 2006,$5.12B
31 May 2006,$4.88B
30 Jun 2006,$4.73B
31 Jul 2006,$4.63B
31 Aug 2006,$4.8B
29 Sep 2006,$4.75B
31 Oct 2006,$4.77B
30 Nov 2006,$4.27B
29 Dec 2006,$4.26B
31 Jan 2007,$4.21B
28 Feb 2007,$4.81B
30 Mar 2007,$4.79B
30 Apr 2007,$4.68B
31 May 2007,$4.4B
29 Jun 2007,$4.36B
31 Jul 2007,$4.28B
31 Aug 2007,$4.68B
28 Sep 2007,$4.61B
31 Oct 2007,$4.64B
30 Nov 2007,$4.68B
31 Jan 2008,$4.49B
29 Feb 2008,$4.34B
31 Mar 2008,$4.2B
30 Apr 2008,$4.31B
30 May 2008,$4.37B
30 Jun 2008,$4.29B
31 Jul 2008,$4.55B
29 Aug 2008,$5.09B
30 Sep 2008,$5.41B
31 Oct 2008,$6.25B
28 Nov 2008,$6.69B
31 Dec 2008,$6.62B
30 Jan 2009,$6.74B
27 Feb 2009,$5.86B
31 Mar 2009,$4.91B
30 Apr 2009,$4.88B
29 May 2009,$4.79B
30 Jun 2009,$4.68B
31 Jul 2009,$4.6B
31 Aug 2009,$4.62B
30 Sep 2009,$4.72B
30 Oct 2009,$4.52B
30 Nov 2009,$4.66B
31 Dec 2009,$4.49B
29 Jan 2010,$4.84B
26 Feb 2010,$5.15B
31 Mar 2010,$5.12B
30 Apr 2010,$5.23B
31 May 2010,$6.07B
30 Jun 2010,$6.72B
30 Jul 2010,$6.23B
31 Aug 2010,$6.82B
30 Sep 2010,$6.67B
29 Oct 2010,$6.79B
30 Nov 2010,$6.73B
31 Dec 2010,$6.79B
31 Jan 2011,$6.64B
28 Feb 2011,$7.15B
31 Mar 2011,$5.51B
29 Apr 2011,$5.55B
31 May 2011,$5.83B
30 Jun 2011,$5.46B
29 Jul 2011,$6.08B
31 Aug 2011,$6.35B
30 Sep 2011,$7.4B
31 Oct 2011,$6.68B
30 Nov 2011,$7.2B
30 Dec 2011,$7.51B
31 Jan 2012,$7.47B
29 Feb 2012,$7.2B
30 Mar 2012,$7.51B
30 Apr 2012,$7.84B
31 May 2012,$8.23B
29 Jun 2012,$8.7B
31 Jul 2012,$9.57B
31 Aug 2012,$10.12B
28 Sep 2012,$9.66B
31 Oct 2012,$9.93B
30 Nov 2012,$9.38B
31 Dec 2012,$8.67B
31 Jan 2013,$9.27B
