timeline,Fujitsu
27 Aug 2021,$35.73B
3 Sep 2021,$38.08B
10 Sep 2021,$39.74B
17 Sep 2021,$38.81B
24 Sep 2021,$37.84B
2 Oct 2021,$36.08B
9 Oct 2021,$34.48B
16 Oct 2021,$37.34B
23 Oct 2021,$37.5B
30 Oct 2021,$34.34B
6 Nov 2021,$36.61B
13 Nov 2021,$37.01B
20 Nov 2021,$35.58B
27 Nov 2021,$33.22B
4 Dec 2021,$33.27B
9 Dec 2021,$34.11B
