timeline,Shiseido
31 Mar 2014,$6.38B
30 Apr 2014,$6.41B
30 May 2014,$6.01B
30 Jun 2014,$6.49B
31 Jul 2014,$7.19B
29 Aug 2014,$6.75B
30 Sep 2014,$6.36B
31 Oct 2014,$6.45B
28 Nov 2014,$6.23B
31 Dec 2014,$5.95B
30 Jan 2015,$6.67B
27 Feb 2015,$7.36B
31 Mar 2015,$7.5B
30 Apr 2015,$7.6B
29 May 2015,$8.77B
30 Jun 2015,$9.77B
31 Jul 2015,$10.55B
31 Aug 2015,$8.95B
30 Sep 2015,$9.14B
30 Oct 2015,$10.17B
30 Nov 2015,$10.36B
31 Dec 2015,$8.9B
29 Jan 2016,$7.88B
29 Feb 2016,$8.65B
31 Mar 2016,$8.84B
29 Apr 2016,$8.74B
31 May 2016,$10.29B
30 Jun 2016,$9.28B
29 Jul 2016,$10.21B
31 Aug 2016,$9.15B
30 Sep 2016,$9.38B
31 Oct 2016,$9.53B
30 Nov 2016,$10.24B
30 Dec 2016,$10.41B
31 Jan 2017,$11.12B
28 Feb 2017,$10.4B
31 Mar 2017,$10.31B
28 Apr 2017,$10.62B
31 May 2017,$13.12B
30 Jun 2017,$14.06B
31 Jul 2017,$13.73B
31 Aug 2017,$16.05B
29 Sep 2017,$15.85B
31 Oct 2017,$16.45B
30 Nov 2017,$19.26B
29 Dec 2017,$19.17B
31 Jan 2018,$19.73B
28 Feb 2018,$22.76B
30 Mar 2018,$24B
30 Apr 2018,$25.05B
31 May 2018,$30.37B
29 Jun 2018,$30.97B
31 Jul 2018,$28.9B
31 Aug 2018,$27.54B
28 Sep 2018,$30.98B
31 Oct 2018,$25.13B
30 Nov 2018,$25.43B
31 Dec 2018,$24.27B
31 Jan 2019,$22.8B
28 Feb 2019,$25.87B
29 Mar 2019,$28.12B
30 Apr 2019,$30.7B
31 May 2019,$27.58B
28 Jun 2019,$28.59B
31 Jul 2019,$28.33B
30 Aug 2019,$30.6B
30 Sep 2019,$30.38B
31 Oct 2019,$31.58B
29 Nov 2019,$27.83B
31 Dec 2019,$27.4B
31 Jan 2020,$24.96B
21 Feb 2020,$24.43B
28 Feb 2020,$22.6B
31 Mar 2020,$22.47B
30 Apr 2020,$22.46B
29 May 2020,$23.14B
23 Jun 2020,$24.51B
30 Jun 2020,$24.07B
8 Jul 2020,$24.1B
22 Jul 2020,$23.31B
31 Jul 2020,$20.6B
14 Aug 2020,$19.97B
31 Aug 2020,$21.73B
24 Sep 2020,$21.54B
30 Sep 2020,$21.25B
22 Oct 2020,$24.13B
30 Oct 2020,$22.71B
12 Nov 2020,$26B
19 Nov 2020,$25.36B
3 Dec 2020,$26B
10 Dec 2020,$25.72B
17 Dec 2020,$25.24B
24 Dec 2020,$24.81B
31 Dec 2020,$25.13B
8 Jan 2021,$23.67B
22 Jan 2021,$24.91B
29 Jan 2021,$23.91B
26 Feb 2021,$27.87B
11 Mar 2021,$28.4B
17 Mar 2021,$28.78B
31 Mar 2021,$26.14B
7 Apr 2021,$26.35B
16 Apr 2021,$28.2B
22 Apr 2021,$27.07B
30 Apr 2021,$27.92B
13 May 2021,$26.3B
19 May 2021,$26.82B
31 May 2021,$27.92B
