timeline,Mitsui Bussan
31 Jan 2001,$9.84B
28 Feb 2001,$9.3B
30 Mar 2001,$9.33B
30 Apr 2001,$9.86B
31 May 2001,$10.95B
29 Jun 2001,$11.71B
31 Jul 2001,$11.59B
31 Aug 2001,$11.44B
28 Sep 2001,$8.85B
31 Oct 2001,$10.08B
30 Nov 2001,$9.7B
31 Dec 2001,$9.06B
31 Jan 2002,$9.24B
28 Feb 2002,$10.42B
29 Mar 2002,$10.85B
30 Apr 2002,$11.33B
31 May 2002,$11.49B
28 Jun 2002,$11.19B
31 Jul 2002,$9.04B
30 Aug 2002,$8.74B
30 Sep 2002,$8.92B
31 Oct 2002,$8.08B
29 Nov 2002,$8.65B
31 Dec 2002,$7.73B
31 Jan 2003,$8.24B
28 Feb 2003,$8.86B
31 Mar 2003,$8B
30 Apr 2003,$7.88B
30 May 2003,$7.7B
30 Jun 2003,$8.39B
31 Jul 2003,$9.36B
29 Aug 2003,$10.39B
30 Sep 2003,$10.55B
31 Oct 2003,$11.15B
28 Nov 2003,$10.28B
31 Dec 2003,$12.03B
30 Jan 2004,$11.21B
27 Feb 2004,$11.78B
31 Mar 2004,$13.07B
30 Apr 2004,$12.73B
31 May 2004,$11.86B
30 Jun 2004,$11.43B
30 Jul 2004,$11.68B
31 Aug 2004,$12.45B
30 Sep 2004,$12.91B
29 Oct 2004,$12.46B
30 Nov 2004,$12.48B
31 Dec 2004,$12.86B
31 Jan 2005,$13.44B
28 Feb 2005,$14.91B
31 Mar 2005,$13.8B
29 Apr 2005,$13.91B
31 May 2005,$13.6B
30 Jun 2005,$14.65B
29 Jul 2005,$15.12B
31 Aug 2005,$16.22B
30 Sep 2005,$19.82B
31 Oct 2005,$19.85B
30 Nov 2005,$20.59B
30 Dec 2005,$21.13B
31 Jan 2006,$23.53B
28 Feb 2006,$22.32B
31 Mar 2006,$25.85B
28 Apr 2006,$26.14B
31 May 2006,$24.02B
30 Jun 2006,$24.55B
31 Jul 2006,$26.54B
31 Aug 2006,$25.81B
29 Sep 2006,$22.82B
31 Oct 2006,$24.26B
30 Nov 2006,$24B
29 Dec 2006,$27.04B
31 Jan 2007,$29.29B
28 Feb 2007,$32.35B
30 Mar 2007,$34.61B
30 Apr 2007,$33.91B
31 May 2007,$37.76B
29 Jun 2007,$38.63B
31 Jul 2007,$44.21B
31 Aug 2007,$37.92B
28 Sep 2007,$43.9B
31 Oct 2007,$46.41B
30 Nov 2007,$39.81B
31 Dec 2007,$37.21B
31 Jan 2008,$33.43B
29 Feb 2008,$36.66B
31 Mar 2008,$32.35B
30 Apr 2008,$39.08B
30 May 2008,$41.4B
30 Jun 2008,$37.68B
31 Jul 2008,$35.92B
29 Aug 2008,$30.21B
30 Sep 2008,$20.52B
31 Oct 2008,$14.87B
28 Nov 2008,$13.58B
31 Dec 2008,$14.47B
30 Jan 2009,$15.41B
27 Feb 2009,$14.76B
31 Mar 2009,$15.83B
30 Apr 2009,$16.67B
29 May 2009,$19.52B
30 Jun 2009,$18.4B
31 Jul 2009,$19.06B
31 Aug 2009,$19.46B
30 Sep 2009,$18.9B
30 Oct 2009,$19.68B
30 Nov 2009,$18.41B
31 Dec 2009,$21.09B
29 Jan 2010,$21.43B
26 Feb 2010,$22.19B
31 Mar 2010,$25.27B
30 Apr 2010,$22.97B
31 May 2010,$20.82B
30 Jun 2010,$16.96B
30 Jul 2010,$17.82B
31 Aug 2010,$17.58B
30 Sep 2010,$19.98B
29 Oct 2010,$20.35B
30 Nov 2010,$21.03B
31 Dec 2010,$21.57B
31 Jan 2011,$22.2B
28 Feb 2011,$23.9B
31 Mar 2011,$23.99B
29 Apr 2011,$23.04B
31 May 2011,$22.27B
29 Jul 2011,$23.41B
31 Aug 2011,$20.83B
30 Sep 2011,$18.24B
31 Oct 2011,$18.74B
30 Nov 2011,$19.02B
30 Dec 2011,$19.26B
31 Jan 2012,$20.82B
29 Feb 2012,$22.51B
30 Mar 2012,$21.83B
30 Apr 2012,$20.18B
31 May 2012,$17.76B
29 Jun 2012,$18.89B
31 Jul 2012,$18.82B
31 Aug 2012,$17.59B
28 Sep 2012,$17.67B
31 Oct 2012,$18.1B
30 Nov 2012,$18.33B
31 Dec 2012,$20.64B
