timeline,Renesas Electronics
29 Jun 2012,$1.13B
31 Jul 2012,$0.92B
31 Aug 2012,$0.97B
28 Sep 2012,$1.1B
31 Oct 2012,$1.08B
30 Nov 2012,$1.04B
31 Dec 2012,$1.12B
31 Jan 2013,$1.02B
28 Feb 2013,$0.92B
29 Mar 2013,$0.9B
30 Apr 2013,$1.04B
31 May 2013,$1.74B
28 Jun 2013,$1.45B
31 Jul 2013,$1.43B
30 Aug 2013,$1.37B
30 Sep 2013,$6.88B
31 Oct 2013,$8.3B
29 Nov 2013,$9.74B
31 Dec 2013,$9.11B
31 Jan 2014,$8.03B
28 Feb 2014,$10.8B
31 Mar 2014,$11.57B
30 Apr 2014,$10.95B
30 May 2014,$11.11B
30 Jun 2014,$11.55B
31 Jul 2014,$11.48B
29 Aug 2014,$12.36B
30 Sep 2014,$13.83B
31 Oct 2014,$12.45B
28 Nov 2014,$12.02B
31 Dec 2014,$12.1B
30 Jan 2015,$12.61B
27 Feb 2015,$12.86B
31 Mar 2015,$13.13B
30 Apr 2015,$12.61B
29 May 2015,$14.54B
30 Jun 2015,$12.86B
31 Jul 2015,$11.79B
31 Aug 2015,$10.22B
30 Sep 2015,$9.27B
30 Oct 2015,$11.49B
30 Nov 2015,$11.96B
31 Dec 2015,$11.32B
29 Jan 2016,$11.51B
29 Feb 2016,$10.23B
31 Mar 2016,$10.64B
29 Apr 2016,$9.66B
31 May 2016,$9.83B
30 Jun 2016,$8.51B
29 Jul 2016,$9.08B
31 Aug 2016,$9.07B
30 Sep 2016,$9.02B
31 Oct 2016,$9.74B
30 Nov 2016,$12.58B
30 Dec 2016,$13.64B
31 Jan 2017,$14.96B
28 Feb 2017,$13.43B
31 Mar 2017,$17.15B
28 Apr 2017,$15.58B
31 May 2017,$13.16B
30 Jun 2017,$14.39B
31 Jul 2017,$15.27B
31 Aug 2017,$16.3B
29 Sep 2017,$18.02B
31 Oct 2017,$21.31B
30 Nov 2017,$20.18B
29 Dec 2017,$19.3B
31 Jan 2018,$18.86B
28 Feb 2018,$18.18B
30 Mar 2018,$15.73B
30 Apr 2018,$16.87B
31 May 2018,$15.9B
29 Jun 2018,$15.97B
31 Jul 2018,$14.64B
31 Aug 2018,$12.35B
28 Sep 2018,$10.44B
31 Oct 2018,$8.79B
30 Nov 2018,$7.87B
31 Dec 2018,$7.35B
31 Jan 2019,$9.19B
28 Feb 2019,$9.59B
29 Mar 2019,$7.53B
30 Apr 2019,$8.84B
31 May 2019,$7.39B
28 Jun 2019,$7.98B
31 Jul 2019,$9.74B
30 Aug 2019,$9.97B
30 Sep 2019,$10.56B
31 Oct 2019,$11.14B
29 Nov 2019,$10.73B
31 Dec 2019,$11.31B
31 Jan 2020,$10.72B
20 Feb 2020,$11.75B
28 Feb 2020,$9.82B
26 Mar 2020,$6.09B
3 Apr 2020,$5.17B
1 May 2020,$8.27B
29 May 2020,$8.44B
30 Jun 2020,$8.35B
10 Jul 2020,$8.95B
31 Jul 2020,$8.76B
12 Aug 2020,$10.09B
20 Aug 2020,$9.79B
31 Aug 2020,$10.12B
11 Sep 2020,$11.9B
25 Sep 2020,$11.4B
30 Sep 2020,$11.62B
16 Oct 2020,$13.16B
23 Oct 2020,$13.96B
30 Oct 2020,$13.08B
6 Nov 2020,$13.86B
13 Nov 2020,$14.21B
19 Nov 2020,$13.69B
26 Nov 2020,$14.36B
4 Dec 2020,$15.17B
11 Dec 2020,$15.4B
31 Dec 2020,$16.48B
8 Jan 2021,$17.52B
22 Jan 2021,$19.97B
29 Jan 2021,$18.32B
5 Feb 2021,$19.06B
12 Feb 2021,$19.57B
19 Feb 2021,$18.78B
26 Feb 2021,$17.85B
18 Mar 2021,$19.35B
24 Mar 2021,$17.66B
31 Mar 2021,$18.33B
7 Apr 2021,$19.4B
16 Apr 2021,$19.55B
22 Apr 2021,$19B
30 Apr 2021,$19.48B
7 May 2021,$18.95B
13 May 2021,$17.45B
19 May 2021,$17.25B
31 May 2021,$17.02B
4 Jun 2021,$19.59B
11 Jun 2021,$17.94B
30 Jun 2021,$20.44B
16 Jul 2021,$20.99B
20 Jul 2021,$19.44B
30 Jul 2021,$21.27B
12 Aug 2021,$20.41B
13 Aug 2021,$20.16B
