timeline,1-800-PetMeds
29 Jun 2012,$0.25B
31 Jul 2012,$0.2B
31 Aug 2012,$0.21B
31 Oct 2012,$0.22B
30 Nov 2012,$0.23B
31 Dec 2012,$0.22B
31 Jan 2013,$0.26B
28 Feb 2013,$0.25B
29 Mar 2013,$0.27B
30 Apr 2013,$0.25B
31 May 2013,$0.27B
28 Jun 2013,$0.25B
31 Jul 2013,$0.34B
30 Aug 2013,$0.31B
30 Sep 2013,$0.33B
31 Oct 2013,$0.3B
29 Nov 2013,$0.32B
31 Dec 2013,$0.34B
31 Jan 2014,$0.27B
28 Feb 2014,$0.28B
31 Mar 2014,$0.27B
30 Apr 2014,$0.26B
30 May 2014,$0.27B
31 Jul 2014,$0.28B
29 Aug 2014,$0.29B
30 Sep 2014,$0.28B
31 Oct 2014,$0.27B
31 Dec 2014,$0.29B
30 Jan 2015,$0.32B
27 Feb 2015,$0.31B
31 Mar 2015,$0.33B
30 Apr 2015,$0.32B
29 May 2015,$0.34B
30 Jun 2015,$0.35B
31 Jul 2015,$0.34B
30 Sep 2015,$0.33B
30 Oct 2015,$0.34B
31 Dec 2015,$0.35B
29 Jan 2016,$0.37B
29 Feb 2016,$0.34B
31 Mar 2016,$0.37B
31 May 2016,$0.39B
30 Jun 2016,$0.38B
29 Jul 2016,$0.42B
31 Aug 2016,$0.41B
30 Sep 2016,$0.42B
31 Oct 2016,$0.41B
30 Nov 2016,$0.45B
30 Dec 2016,$0.47B
31 Jan 2017,$0.43B
31 Mar 2017,$0.41B
28 Apr 2017,$0.47B
31 May 2017,$0.72B
30 Jun 2017,$0.83B
31 Jul 2017,$0.98B
31 Aug 2017,$0.75B
29 Sep 2017,$0.68B
31 Oct 2017,$0.73B
30 Nov 2017,$0.81B
29 Dec 2017,$0.94B
31 Jan 2018,$0.93B
30 Mar 2018,$0.86B
30 Apr 2018,$0.69B
31 May 2018,$0.74B
29 Jun 2018,$0.91B
31 Jul 2018,$0.77B
31 Aug 2018,$0.76B
28 Sep 2018,$0.68B
31 Oct 2018,$0.58B
30 Nov 2018,$0.5B
31 Dec 2018,$0.48B
31 Jan 2019,$0.49B
28 Feb 2019,$0.48B
29 Mar 2019,$0.47B
30 Apr 2019,$0.45B
31 May 2019,$0.35B
28 Jun 2019,$0.32B
31 Jul 2019,$0.35B
30 Aug 2019,$0.32B
30 Sep 2019,$0.36B
31 Oct 2019,$0.47B
29 Nov 2019,$0.46B
31 Dec 2019,$0.47B
31 Jan 2020,$0.51B
28 Feb 2020,$0.53B
31 Mar 2020,$0.58B
30 Apr 2020,$0.8B
20 May 2020,$0.68B
29 May 2020,$0.73B
30 Jun 2020,$0.72B
17 Jul 2020,$0.82B
6 Aug 2020,$0.64B
19 Aug 2020,$0.68B
31 Aug 2020,$0.7B
24 Sep 2020,$0.61B
30 Sep 2020,$0.64B
30 Oct 2020,$0.6B
30 Nov 2020,$0.62B
11 Dec 2020,$0.61B
31 Dec 2020,$0.65B
20 Jan 2021,$0.6B
29 Jan 2021,$0.77B
4 Feb 2021,$0.72B
12 Feb 2021,$0.75B
26 Feb 2021,$0.7B
10 Mar 2021,$0.72B
23 Mar 2021,$0.68B
31 Mar 2021,$0.71B
9 Apr 2021,$0.67B
16 Apr 2021,$0.64B
5 May 2021,$0.62B
11 May 2021,$0.6B
31 May 2021,$0.59B
4 Jun 2021,$0.66B
11 Jun 2021,$0.67B
30 Jun 2021,$0.65B
9 Jul 2021,$0.64B
16 Jul 2021,$0.58B
6 Aug 2021,$0.59B
13 Aug 2021,$0.58B
20 Aug 2021,$0.54B
27 Aug 2021,$0.58B
17 Sep 2021,$0.55B
2 Oct 2021,$0.54B
16 Oct 2021,$0.56B
30 Oct 2021,$0.6B
6 Nov 2021,$0.65B
13 Nov 2021,$0.62B
4 Dec 2021,$0.57B
9 Dec 2021,$0.58B
