timeline,Kubota
28 Feb 2019,$16.32B
29 Mar 2019,$17.37B
30 Apr 2019,$18.29B
31 May 2019,$18B
28 Jun 2019,$19.44B
31 Jul 2019,$18.29B
30 Aug 2019,$16.48B
30 Sep 2019,$17.58B
31 Oct 2019,$18.63B
29 Nov 2019,$18.17B
31 Dec 2019,$18.57B
31 Jan 2020,$18.72B
21 Feb 2020,$17.13B
28 Feb 2020,$16.38B
19 Mar 2020,$13.86B
31 Mar 2020,$14.86B
14 Apr 2020,$13.38B
30 Apr 2020,$14.49B
29 May 2020,$15.6B
30 Jun 2020,$17.24B
5 Aug 2020,$17.2B
20 Aug 2020,$18.53B
31 Aug 2020,$20.45B
24 Sep 2020,$19.74B
30 Sep 2020,$20B
22 Oct 2020,$20.72B
30 Oct 2020,$19.29B
12 Nov 2020,$22.84B
19 Nov 2020,$22.41B
30 Nov 2020,$22.06B
10 Dec 2020,$23.17B
17 Dec 2020,$23.64B
24 Dec 2020,$23.46B
31 Dec 2020,$23.98B
8 Jan 2021,$24.18B
22 Jan 2021,$25.96B
29 Jan 2021,$24.49B
5 Feb 2021,$25.78B
12 Feb 2021,$27.21B
26 Feb 2021,$25.65B
11 Mar 2021,$26.41B
24 Mar 2021,$25.2B
31 Mar 2021,$26.84B
9 Apr 2021,$26.27B
15 Apr 2021,$27.72B
22 Apr 2021,$27.07B
30 Apr 2021,$27.38B
12 May 2021,$27.36B
21 May 2021,$26.61B
31 May 2021,$26.51B
11 Jun 2021,$24.27B
30 Jun 2021,$23.94B
12 Jul 2021,$24.21B
21 Jul 2021,$24.04B
6 Aug 2021,$24.4B
13 Aug 2021,$25.41B
20 Aug 2021,$23.48B
27 Aug 2021,$24.24B
10 Sep 2021,$26.29B
17 Sep 2021,$27.62B
24 Sep 2021,$27.08B
2 Oct 2021,$25.35B
9 Oct 2021,$24.87B
23 Oct 2021,$25.43B
30 Oct 2021,$25.76B
6 Nov 2021,$26.46B
13 Nov 2021,$25.25B
20 Nov 2021,$26.25B
4 Dec 2021,$26.48B
9 Dec 2021,$26.64B
