timeline,Nomura Research Institute
27 Aug 2021,$21.64B
3 Sep 2021,$23.06B
10 Sep 2021,$23.86B
17 Sep 2021,$24.73B
24 Sep 2021,$24.25B
2 Oct 2021,$21.49B
9 Oct 2021,$21.2B
16 Oct 2021,$21.75B
23 Oct 2021,$21.71B
30 Oct 2021,$23.5B
6 Nov 2021,$24.39B
13 Nov 2021,$24.8B
20 Nov 2021,$25.7B
27 Nov 2021,$25.22B
4 Dec 2021,$25.37B
9 Dec 2021,$25.59B
