timeline,Otsuka Holdings
31 Dec 2010,$8.4B
31 Jan 2011,$10.02B
28 Feb 2011,$10.07B
31 Mar 2011,$10.11B
29 Apr 2011,$10.68B
31 May 2011,$10.5B
30 Jun 2011,$10.48B
29 Jul 2011,$10.46B
31 Aug 2011,$9.77B
30 Sep 2011,$10.45B
31 Oct 2011,$9.94B
30 Nov 2011,$10.34B
30 Dec 2011,$10.64B
31 Jan 2012,$10.61B
29 Feb 2012,$11.23B
30 Mar 2012,$12.05B
30 Apr 2012,$11.85B
31 May 2012,$12.13B
29 Jun 2012,$12.01B
31 Jul 2012,$11.74B
28 Sep 2012,$11.9B
31 Oct 2012,$12.09B
30 Nov 2012,$12.03B
31 Dec 2012,$11.97B
31 Jan 2013,$14.5B
28 Feb 2013,$14.6B
29 Mar 2013,$16.23B
30 Apr 2013,$17.03B
31 May 2013,$15.69B
28 Jun 2013,$15.89B
31 Jul 2013,$15.35B
30 Aug 2013,$14.77B
30 Sep 2013,$13.81B
31 Oct 2013,$13.53B
29 Nov 2013,$14.51B
31 Dec 2013,$14.75B
31 Jan 2014,$15.26B
28 Feb 2014,$15.15B
31 Mar 2014,$14.74B
30 Apr 2014,$14.05B
30 May 2014,$13.72B
30 Jun 2014,$14.99B
31 Jul 2014,$15.74B
29 Aug 2014,$18.06B
30 Sep 2014,$18.05B
31 Oct 2014,$18.52B
28 Nov 2014,$17.92B
31 Dec 2014,$17.28B
30 Jan 2015,$17.47B
27 Feb 2015,$17.12B
31 Mar 2015,$17.96B
30 Apr 2015,$18.12B
29 May 2015,$18.59B
30 Jun 2015,$18.65B
31 Jul 2015,$21.27B
31 Aug 2015,$19.75B
30 Sep 2015,$18.19B
30 Oct 2015,$19.32B
30 Nov 2015,$19.48B
31 Dec 2015,$20.62B
29 Jan 2016,$19.18B
29 Feb 2016,$19.05B
31 Mar 2016,$19.53B
29 Apr 2016,$20.52B
31 May 2016,$21.64B
30 Jun 2016,$22.54B
29 Jul 2016,$23.38B
31 Aug 2016,$21.42B
30 Sep 2016,$21.92B
31 Oct 2016,$21.96B
30 Nov 2016,$22.2B
30 Dec 2016,$24.33B
31 Jan 2017,$24.84B
28 Feb 2017,$24.42B
31 Mar 2017,$23.99B
28 Apr 2017,$24.49B
31 May 2017,$23.86B
30 Jun 2017,$22.88B
31 Jul 2017,$23.22B
31 Aug 2017,$21.16B
29 Sep 2017,$21.36B
31 Oct 2017,$22.61B
30 Nov 2017,$23.76B
29 Dec 2017,$23.64B
31 Jan 2018,$23.15B
28 Feb 2018,$25.72B
30 Mar 2018,$25.46B
30 Apr 2018,$27.38B
31 May 2018,$25.89B
29 Jun 2018,$25.62B
31 Jul 2018,$24.6B
31 Aug 2018,$24.89B
28 Sep 2018,$27.36B
31 Oct 2018,$25.83B
30 Nov 2018,$26.44B
31 Dec 2018,$21.46B
31 Jan 2019,$21.27B
28 Feb 2019,$22.18B
29 Mar 2019,$20.78B
30 Apr 2019,$18.96B
31 May 2019,$17.42B
28 Jun 2019,$16.8B
31 Jul 2019,$19.19B
30 Aug 2019,$20.87B
30 Sep 2019,$19.3B
31 Oct 2019,$21.68B
29 Nov 2019,$22.81B
31 Dec 2019,$23.34B
31 Jan 2020,$23.49B
20 Feb 2020,$21.45B
28 Feb 2020,$19.51B
31 Mar 2020,$20.23B
30 Apr 2020,$20.34B
29 May 2020,$23.25B
12 Jun 2020,$22.98B
30 Jun 2020,$22.47B
17 Jul 2020,$21.67B
31 Jul 2020,$20.89B
7 Aug 2020,$21.99B
14 Aug 2020,$22.88B
2 Sep 2020,$22.21B
11 Sep 2020,$21.7B
16 Sep 2020,$21.27B
8 Oct 2020,$20.65B
16 Oct 2020,$19.33B
22 Oct 2020,$19.3B
30 Oct 2020,$18.43B
6 Nov 2020,$19.99B
12 Nov 2020,$20.94B
19 Nov 2020,$20.67B
30 Nov 2020,$20.28B
2 Dec 2020,$20.67B
9 Dec 2020,$21.07B
23 Dec 2020,$21.33B
25 Dec 2020,$21.38B
31 Dec 2020,$21.12B
8 Jan 2021,$21.06B
22 Jan 2021,$21.1B
29 Jan 2021,$21.33B
5 Feb 2021,$22.41B
19 Feb 2021,$21.28B
26 Feb 2021,$20.19B
11 Mar 2021,$21.64B
18 Mar 2021,$22.7B
24 Mar 2021,$21.8B
31 Mar 2021,$22.41B
1 Apr 2021,$22.4B
7 Apr 2021,$21.83B
16 Apr 2021,$20.67B
22 Apr 2021,$20.56B
30 Apr 2021,$20.09B
7 May 2021,$20.55B
14 May 2021,$20.99B
20 May 2021,$20.98B
28 May 2021,$22.02B
31 May 2021,$21.59B
4 Jun 2021,$22.01B
11 Jun 2021,$22.62B
30 Jun 2021,$22.03B
9 Jul 2021,$20.58B
16 Jul 2021,$21.44B
20 Jul 2021,$21.21B
30 Jul 2021,$21.61B
6 Aug 2021,$21.71B
12 Aug 2021,$22.79B
13 Aug 2021,$23.05B
20 Aug 2021,$23.36B
27 Aug 2021,$22.81B
3 Sep 2021,$24.26B
10 Sep 2021,$24.44B
17 Sep 2021,$24.13B
24 Sep 2021,$24.3B
2 Oct 2021,$23.32B
9 Oct 2021,$23.41B
16 Oct 2021,$23.05B
23 Oct 2021,$22.13B
30 Oct 2021,$21.45B
6 Nov 2021,$21.73B
13 Nov 2021,$20.4B
20 Nov 2021,$19.52B
27 Nov 2021,$19.44B
4 Dec 2021,$19.47B
9 Dec 2021,$19.96B
