timeline,Tokio Marine
30 Apr 2020,$34.56B
29 May 2020,$30.84B
30 Jun 2020,$30.59B
16 Jul 2020,$31.21B
31 Jul 2020,$28.12B
13 Aug 2020,$30.28B
31 Aug 2020,$30.63B
9 Sep 2020,$30.48B
16 Sep 2020,$31.53B
24 Sep 2020,$30.82B
30 Sep 2020,$29.22B
8 Oct 2020,$30.45B
22 Oct 2020,$30.74B
30 Oct 2020,$30.07B
12 Nov 2020,$33.69B
30 Nov 2020,$32.82B
4 Dec 2020,$33.37B
11 Dec 2020,$32.88B
18 Dec 2020,$32.61B
31 Dec 2020,$32.92B
7 Jan 2021,$33.72B
29 Jan 2021,$31.95B
10 Feb 2021,$34.39B
17 Feb 2021,$33.73B
26 Feb 2021,$31.89B
2 Mar 2021,$32.48B
12 Mar 2021,$33.43B
23 Mar 2021,$32.36B
31 Mar 2021,$31.91B
15 Apr 2021,$32.19B
21 Apr 2021,$31.71B
30 Apr 2021,$31B
5 May 2021,$31.17B
11 May 2021,$31.69B
21 May 2021,$30.53B
31 May 2021,$30.26B
11 Jun 2021,$30.08B
30 Jun 2021,$30.4B
9 Jul 2021,$30.56B
16 Jul 2021,$31.37B
22 Jul 2021,$31.43B
6 Aug 2021,$33.7B
13 Aug 2021,$34.19B
20 Aug 2021,$33.44B
27 Aug 2021,$33.52B
3 Sep 2021,$34.98B
10 Sep 2021,$35.63B
17 Sep 2021,$37.76B
24 Sep 2021,$38.03B
9 Oct 2021,$37B
23 Oct 2021,$36.52B
30 Oct 2021,$36.39B
6 Nov 2021,$35.89B
13 Nov 2021,$36.34B
20 Nov 2021,$34.75B
4 Dec 2021,$35.32B
9 Dec 2021,$36.64B
