timeline,Fujifilm
28 Feb 2019,$18.01B
29 Mar 2019,$18.16B
30 Apr 2019,$18.71B
31 May 2019,$18.76B
28 Jun 2019,$19.71B
31 Jul 2019,$18.7B
30 Aug 2019,$16.42B
30 Sep 2019,$17.11B
31 Oct 2019,$17.25B
15 Nov 2019,$18.68B
29 Nov 2019,$18.67B
31 Dec 2019,$18.88B
31 Jan 2020,$19.64B
6 Mar 2020,$18.77B
31 Mar 2020,$19.17B
30 Apr 2020,$18.11B
15 May 2020,$18.07B
29 May 2020,$17.55B
30 Jun 2020,$16.25B
20 Jul 2020,$16.8B
31 Jul 2020,$16.62B
14 Aug 2020,$18.11B
19 Aug 2020,$17.83B
31 Aug 2020,$17.78B
9 Sep 2020,$17.65B
16 Sep 2020,$17.67B
24 Sep 2020,$18.21B
30 Sep 2020,$18.27B
8 Oct 2020,$18.41B
22 Oct 2020,$18.9B
30 Oct 2020,$18.74B
12 Nov 2020,$19.94B
20 Nov 2020,$20.02B
3 Dec 2020,$20.33B
11 Dec 2020,$19.71B
25 Dec 2020,$19.23B
31 Dec 2020,$19.17B
8 Jan 2021,$21.44B
22 Jan 2021,$22.16B
29 Jan 2021,$21.1B
5 Feb 2021,$21.37B
26 Feb 2021,$21.39B
1 Mar 2021,$21.76B
17 Mar 2021,$22.73B
31 Mar 2021,$23.16B
7 Apr 2021,$23.15B
16 Apr 2021,$24.14B
30 Apr 2021,$24.98B
14 May 2021,$24.92B
20 May 2021,$25.2B
31 May 2021,$26.88B
4 Jun 2021,$26.9B
11 Jun 2021,$27.51B
30 Jun 2021,$29.04B
9 Jul 2021,$28.84B
20 Jul 2021,$27.77B
6 Aug 2021,$28.79B
13 Aug 2021,$28.93B
20 Aug 2021,$31.77B
27 Aug 2021,$31.67B
10 Sep 2021,$35.02B
17 Sep 2021,$35.65B
24 Sep 2021,$35.46B
2 Oct 2021,$33.86B
9 Oct 2021,$31.06B
23 Oct 2021,$31.07B
30 Oct 2021,$30.97B
6 Nov 2021,$32.85B
13 Nov 2021,$32.65B
20 Nov 2021,$32.86B
4 Dec 2021,$31.54B
9 Dec 2021,$31.2B
