timeline,Unicharm
31 Dec 2019,$19.45B
31 Jan 2020,$19.83B
20 Feb 2020,$20.62B
28 Feb 2020,$18.39B
6 Apr 2020,$21.84B
1 May 2020,$20.87B
29 May 2020,$21.1B
30 Jun 2020,$23.26B
22 Jul 2020,$24.7B
31 Jul 2020,$25.04B
12 Aug 2020,$23.66B
14 Aug 2020,$24.52B
21 Aug 2020,$24.35B
31 Aug 2020,$24.29B
2 Sep 2020,$24.57B
11 Sep 2020,$24.02B
16 Sep 2020,$23.96B
30 Sep 2020,$24.81B
15 Oct 2020,$26.47B
22 Oct 2020,$26.65B
30 Oct 2020,$25.55B
5 Nov 2020,$27.24B
13 Nov 2020,$27.66B
20 Nov 2020,$26.91B
27 Nov 2020,$26.82B
4 Dec 2020,$25.14B
8 Dec 2020,$24.82B
18 Dec 2020,$26.4B
31 Dec 2020,$25.84B
5 Jan 2021,$25.55B
18 Jan 2021,$26.41B
29 Jan 2021,$24.82B
5 Feb 2021,$24.24B
12 Feb 2021,$24.78B
26 Feb 2021,$22.27B
5 Mar 2021,$24.01B
11 Mar 2021,$23.77B
18 Mar 2021,$23.94B
24 Mar 2021,$23.84B
30 Mar 2021,$24.75B
5 Apr 2021,$24.8B
16 Apr 2021,$23.32B
30 Apr 2021,$22.42B
11 May 2021,$21.85B
18 May 2021,$23.24B
31 May 2021,$22.84B
4 Jun 2021,$22.87B
11 Jun 2021,$23.45B
30 Jun 2021,$23.57B
16 Jul 2021,$23.19B
30 Jul 2021,$24.15B
12 Aug 2021,$25.5B
13 Aug 2021,$25.8B
20 Aug 2021,$26.17B
27 Aug 2021,$26.06B
3 Sep 2021,$26.66B
10 Sep 2021,$28.22B
17 Sep 2021,$27.41B
24 Sep 2021,$26.88B
2 Oct 2021,$26.05B
9 Oct 2021,$25.11B
16 Oct 2021,$24.21B
23 Oct 2021,$23.07B
30 Oct 2021,$24.08B
6 Nov 2021,$23.72B
13 Nov 2021,$24.4B
20 Nov 2021,$25.24B
27 Nov 2021,$25.38B
4 Dec 2021,$25.63B
9 Dec 2021,$25.27B
