timeline,Mitsubishi UFJ Financial
31 Jan 2019,$69.19B
28 Feb 2019,$67.21B
29 Mar 2019,$64.22B
30 Apr 2019,$63.61B
31 May 2019,$59.2B
28 Jun 2019,$61.56B
31 Jul 2019,$62.38B
30 Aug 2019,$61.95B
30 Sep 2019,$65.66B
31 Oct 2019,$67.86B
15 Nov 2019,$69.56B
29 Nov 2019,$68.39B
31 Dec 2019,$69.95B
31 Jan 2020,$67.02B
20 Feb 2020,$64.97B
5 Mar 2020,$60.31B
31 Mar 2020,$48B
30 Apr 2020,$52.44B
29 May 2020,$53.11B
30 Jun 2020,$50.49B
10 Jul 2020,$49.09B
23 Jul 2020,$49.63B
6 Aug 2020,$50.21B
19 Aug 2020,$52.17B
31 Aug 2020,$53.84B
9 Sep 2020,$52.34B
16 Sep 2020,$53.84B
24 Sep 2020,$53.18B
30 Sep 2020,$50.58B
8 Oct 2020,$52.63B
15 Oct 2020,$51.3B
30 Oct 2020,$50.39B
5 Nov 2020,$51.87B
13 Nov 2020,$54.46B
20 Nov 2020,$57.41B
30 Nov 2020,$55.35B
11 Dec 2020,$55.2B
18 Dec 2020,$55.76B
31 Dec 2020,$56.8B
8 Jan 2021,$60.18B
22 Jan 2021,$59.93B
29 Jan 2021,$57.79B
26 Feb 2021,$67.37B
24 Mar 2021,$71.55B
31 Mar 2021,$68.89B
5 Apr 2021,$70.87B
12 Apr 2021,$68.27B
21 Apr 2021,$67.86B
30 Apr 2021,$68.17B
12 May 2021,$70.4B
18 May 2021,$73.67B
31 May 2021,$72.45B
4 Jun 2021,$74.13B
30 Jun 2021,$69.73B
6 Jul 2021,$69.92B
20 Jul 2021,$66.64B
6 Aug 2021,$69.56B
13 Aug 2021,$71.61B
20 Aug 2021,$69.74B
31 Aug 2021,$69.38B
10 Sep 2021,$73.79B
17 Sep 2021,$74.95B
24 Sep 2021,$78.29B
2 Oct 2021,$75.21B
30 Oct 2021,$71.05B
6 Nov 2021,$72.25B
13 Nov 2021,$73.02B
20 Nov 2021,$71.58B
4 Dec 2021,$69.85B
9 Dec 2021,$74.18B
