,timestamp,open,high,low,close,volume,datetime,datetime_JST
0,949330800000,505.0,505.0,351.0,415.0,108723000,2000-01-31 15:00:00,2000-02-01 00:00:00
1,951836400000,420.0,450.0,382.0,420.0,98616000,2000-02-29 15:00:00,2000-03-01 00:00:00
2,954514800000,420.0,513.0,404.0,491.0,118479000,2000-03-31 15:00:00,2000-04-01 00:00:00
3,957106800000,498.0,588.0,496.0,565.0,139553000,2000-04-30 15:00:00,2000-05-01 00:00:00
4,959785200000,565.0,636.0,494.0,625.0,122713000,2000-05-31 15:00:00,2000-06-01 00:00:00
5,962377200000,634.0,639.0,524.0,547.0,97579000,2000-06-30 15:00:00,2000-07-01 00:00:00
6,965055600000,547.0,568.0,455.0,536.0,84595000,2000-07-31 15:00:00,2000-08-01 00:00:00
7,967734000000,540.0,637.0,501.0,620.0,130056000,2000-08-31 15:00:00,2000-09-01 00:00:00
8,970326000000,590.0,762.0,583.0,749.0,257570000,2000-09-30 15:00:00,2000-10-01 00:00:00
9,973004400000,750.0,764.0,645.0,677.0,196973000,2000-10-31 15:00:00,2000-11-01 00:00:00
10,975596400000,675.0,725.0,596.0,658.0,139052000,2000-11-30 15:00:00,2000-12-01 00:00:00
11,978274800000,649.0,717.0,612.0,709.0,176150000,2000-12-31 15:00:00,2001-01-01 00:00:00
12,980953200000,707.0,761.0,681.0,756.0,210765000,2001-01-31 15:00:00,2001-02-01 00:00:00
13,983372400000,764.0,890.0,729.0,790.0,309584000,2001-02-28 15:00:00,2001-03-01 00:00:00
14,986050800000,820.0,887.0,800.0,847.0,222729000,2001-03-31 15:00:00,2001-04-01 00:00:00
15,988642800000,856.0,880.0,791.0,806.0,149383000,2001-04-30 15:00:00,2001-05-01 00:00:00
16,991321200000,806.0,873.0,760.0,861.0,191460000,2001-05-31 15:00:00,2001-06-01 00:00:00
17,993913200000,858.0,900.0,823.0,858.0,172634000,2001-06-30 15:00:00,2001-07-01 00:00:00
18,996591600000,859.0,860.0,686.0,694.0,140798000,2001-07-31 15:00:00,2001-08-01 00:00:00
19,999270000000,674.0,711.0,405.0,492.0,288780000,2001-08-31 15:00:00,2001-09-01 00:00:00
20,1001862000000,509.0,624.0,497.0,540.0,273138000,2001-09-30 15:00:00,2001-10-01 00:00:00
21,1004540400000,554.0,628.0,528.0,608.0,200549000,2001-10-31 15:00:00,2001-11-01 00:00:00
22,1007132400000,588.0,695.0,572.0,695.0,176669000,2001-11-30 15:00:00,2001-12-01 00:00:00
23,1009810800000,705.0,768.0,683.0,712.0,208686000,2001-12-31 15:00:00,2002-01-01 00:00:00
24,1012489200000,723.0,886.0,686.0,873.0,283387000,2002-01-31 15:00:00,2002-02-01 00:00:00
25,1014908400000,863.0,973.0,803.0,938.0,322005000,2002-02-28 15:00:00,2002-03-01 00:00:00
26,1017586800000,945.0,999.0,870.0,988.0,328874000,2002-03-31 15:00:00,2002-04-01 00:00:00
27,1020178800000,998.0,1041.0,881.0,881.0,331999000,2002-04-30 15:00:00,2002-05-01 00:00:00
28,1022857200000,921.0,941.0,787.0,830.0,233386000,2002-05-31 15:00:00,2002-06-01 00:00:00
29,1025449200000,840.0,876.0,763.0,838.0,269915000,2002-06-30 15:00:00,2002-07-01 00:00:00
30,1028127600000,852.0,907.0,825.0,866.0,134274100,2002-07-31 15:00:00,2002-08-01 00:00:00
31,1030806000000,850.0,967.0,807.0,904.0,176853400,2002-08-31 15:00:00,2002-09-01 00:00:00
32,1033398000000,888.0,1001.0,770.0,941.0,251106200,2002-09-30 15:00:00,2002-10-01 00:00:00
33,1036076400000,951.0,994.0,895.0,977.0,191952800,2002-10-31 15:00:00,2002-11-01 00:00:00
34,1038668400000,984.0,988.0,906.0,926.0,153761100,2002-11-30 15:00:00,2002-12-01 00:00:00
35,1041346800000,953.0,975.0,895.0,913.0,116513700,2002-12-31 15:00:00,2003-01-01 00:00:00
36,1044025200000,902.0,955.0,867.0,887.0,131394000,2003-01-31 15:00:00,2003-02-01 00:00:00
37,1046444400000,893.0,904.0,772.0,790.0,193503400,2003-02-28 15:00:00,2003-03-01 00:00:00
38,1049122800000,780.0,915.0,776.0,915.0,167024800,2003-03-31 15:00:00,2003-04-01 00:00:00
39,1051714800000,913.0,945.0,863.0,943.0,153493200,2003-04-30 15:00:00,2003-05-01 00:00:00
40,1054393200000,950.0,1149.0,940.0,1148.0,227605000,2003-05-31 15:00:00,2003-06-01 00:00:00
41,1056985200000,1140.0,1287.0,1132.0,1175.0,214762500,2003-06-30 15:00:00,2003-07-01 00:00:00
42,1059663600000,1175.0,1302.0,1148.0,1253.0,138821700,2003-07-31 15:00:00,2003-08-01 00:00:00
43,1062342000000,1273.0,1455.0,1187.0,1205.0,224477500,2003-08-31 15:00:00,2003-09-01 00:00:00
44,1064934000000,1201.0,1330.0,1180.0,1232.0,204144500,2003-09-30 15:00:00,2003-10-01 00:00:00
45,1067612400000,1292.0,1350.0,1164.0,1252.0,153571600,2003-10-31 15:00:00,2003-11-01 00:00:00
46,1070204400000,1212.0,1298.0,1171.0,1224.0,128287600,2003-11-30 15:00:00,2003-12-01 00:00:00
47,1072882800000,1262.0,1278.0,1117.0,1129.0,179180000,2003-12-31 15:00:00,2004-01-01 00:00:00
48,1075561200000,1135.0,1213.0,1050.0,1213.0,217484800,2004-01-31 15:00:00,2004-02-01 00:00:00
49,1078066800000,1214.0,1277.0,1130.0,1165.0,228133300,2004-02-29 15:00:00,2004-03-01 00:00:00
50,1080745200000,1155.0,1284.0,1139.0,1229.0,275280600,2004-03-31 15:00:00,2004-04-01 00:00:00
51,1083337200000,1240.0,1241.0,1088.0,1113.0,199960000,2004-04-30 15:00:00,2004-05-01 00:00:00
52,1086015600000,1109.0,1223.0,1060.0,1213.0,298322600,2004-05-31 15:00:00,2004-06-01 00:00:00
53,1088607600000,1223.0,1234.0,1143.0,1202.0,181181400,2004-06-30 15:00:00,2004-07-01 00:00:00
