timeline,株式会社ＭｏｎｏｔａＲＯ
2006-12,$0.15B
2007-01,$0.13B
2007-02,$0.1B
2007-04,$0.09B
2007-05,$0.08B
2007-06,$0.08B
2007-07,$0.08B
2007-08,$0.07B
2007-09,$0.07B
2007-10,$0.08B
2007-11,$0.07B
2007-12,$0.05B
2008-01,$0.04B
2008-02,$0.08B
2008-03,$0.08B
2008-04,$0.08B
2008-05,$0.17B
2008-06,$0.15B
2008-09,$0.14B
2008-10,$0.1B
2008-12,$0.09B
2009-01,$0.1B
2009-02,$0.07B
2009-03,$0.08B
2009-04,$0.07B
2009-05,$0.08B
2009-06,$0.1B
2009-07,$0.11B
2009-08,$0.14B
2009-09,$0.12B
2009-10,$0.11B
2009-11,$0.09B
2009-12,$0.07B
2010-01,$0.08B
2010-02,$0.08B
2010-03,$0.1B
2010-04,$0.11B
2010-05,$0.1B
2010-06,$0.09B
2010-07,$0.1B
2010-08,$0.1B
2010-09,$0.1B
2010-10,$0.1B
2010-11,$0.09B
2010-12,$0.1B
2011-01,$0.11B
2011-02,$0.13B
2011-05,$0.18B
2011-06,$0.19B
2011-07,$0.24B
2011-08,$0.22B
2011-09,$0.2B
2011-12,$0.21B
2012-01,$0.23B
2012-02,$0.26B
2012-03,$0.34B
2012-04,$0.38B
2012-05,$0.42B
2012-06,$0.46B
2012-07,$0.42B
2012-08,$0.44B
2012-09,$0.56B
2012-11,$0.64B
2012-12,$0.74B
2013-01,$0.9B
2013-02,$1.08B
2013-03,$1.21B
2013-04,$1.32B
2013-05,$1.49B
2013-06,$1.29B
2013-07,$1.22B
2013-08,$1.31B
2013-09,$1.54B
2013-10,$1.23B
2013-11,$1.11B
2013-12,$1.15B
2014-01,$1.19B
2014-02,$1.23B
2014-03,$1.41B
2014-04,$1.11B
2014-05,$1.26B
2014-06,$1.51B
2014-07,$1.5B
2014-08,$1.56B
2014-09,$1.48B
2014-10,$1.56B
2014-11,$1.53B
2014-12,$1.33B
2015-01,$1.63B
2015-02,$2.15B
2015-03,$2.37B
2015-04,$2.25B
2015-05,$2.43B
2015-06,$2.92B
2015-07,$3.55B
2015-08,$3.33B
2015-09,$2.96B
2015-10,$3.41B
2015-11,$3.84B
2015-12,$3.67B
2016-01,$2.98B
2016-02,$2.89B
2016-03,$3.64B
2016-04,$3.66B
2016-05,$4.18B
2016-06,$3.66B
2016-07,$3.27B
2016-08,$2.85B
2016-09,$2.95B
2016-10,$2.8B
2016-11,$2.67B
2016-12,$2.61B
2017-01,$3.24B
2017-02,$3.47B
2017-03,$3.76B
2017-04,$3.97B
2017-05,$4.08B
2017-06,$3.96B
2017-07,$3.98B
2017-08,$3.68B
2017-09,$3.29B
2017-10,$3.4B
2017-11,$3.49B
2017-12,$3.94B
2018-01,$3.77B
2018-03,$4.18B
2018-04,$4.19B
2018-05,$4.79B
2018-06,$5.36B
2018-07,$6.14B
2018-08,$6.91B
2018-09,$7.02B
2018-10,$5.45B
2018-11,$6.73B
2018-12,$5.95B
2019-01,$5.06B
2019-02,$5.75B
2019-03,$5.39B
2019-04,$5.61B
2019-05,$5.08B
2019-06,$5.75B
2019-07,$5.25B
2019-08,$5.72B
2019-09,$6.19B
2019-10,$7.24B
2019-11,$6.75B
2019-12,$6.4B
2020-01,$5.85B
2020-02,$5.26B
2020-03,$6.28B
2020-05,$8.2B
2020-06,$9.46B
2020-07,$9.9B
2020-08,$9.25B
2020-09,$10.45B
2020-10,$12.52B
2020-11,$12.74B
2020-12,$12.05B
2021-02,$13.32B
2021-03,$13.02B
2021-04,$12.65B
2021-05,$10.81B
2021-06,$11.22B
2021-07,$11.3B
2021-08,$10.87B
2021-09,$11.51B
2021-10,$11.14B
2021-11,$10.39B
2021-12,$9.98B
