timeline,ユニ・チャーム株式会社
2006-03,$3.33B
2006-04,$3.76B
2006-05,$3.59B
2006-06,$3.64B
2006-07,$3.66B
2006-08,$3.79B
2006-09,$3.78B
2006-10,$3.75B
2006-11,$3.77B
2006-12,$4.07B
2007-01,$3.76B
2007-02,$4.07B
2007-03,$4.3B
2007-04,$4.02B
2007-05,$3.84B
2007-06,$3.97B
2007-07,$3.69B
2007-08,$3.79B
2007-09,$4.0B
2007-10,$3.89B
2007-11,$4.08B
2007-12,$4.02B
2008-01,$3.98B
2008-02,$4.35B
2008-03,$4.14B
2008-04,$4.11B
2008-05,$4.23B
2008-06,$4.29B
2008-07,$4.33B
2008-08,$4.62B
2008-09,$4.59B
2008-10,$3.95B
2008-11,$3.73B
2008-12,$3.83B
2009-01,$3.53B
2009-02,$3.62B
2009-03,$3.37B
2009-04,$3.86B
2009-05,$3.73B
2009-06,$4.14B
2009-07,$4.3B
2009-08,$4.68B
2009-09,$4.78B
2009-10,$4.87B
2009-11,$4.95B
2009-12,$4.89B
2010-01,$4.81B
2010-02,$4.78B
2010-03,$5.07B
2010-04,$5.13B
2010-05,$5.16B
2010-06,$5.63B
2010-07,$5.77B
2010-08,$5.75B
2010-09,$5.66B
2010-10,$5.18B
2010-11,$5.51B
2010-12,$5.44B
2011-01,$5.32B
2011-02,$5.31B
2011-03,$5.09B
2011-04,$5.4B
2011-05,$5.54B
2011-06,$5.77B
2011-07,$5.72B
2011-08,$5.95B
2011-09,$6.12B
2011-10,$5.79B
2011-11,$5.99B
2011-12,$6.24B
2012-01,$6.58B
2012-02,$6.91B
2012-03,$7.1B
2012-04,$7.24B
2012-05,$6.88B
2012-06,$7.38B
2012-07,$7.04B
2012-08,$7.4B
2012-09,$7.28B
2012-10,$7.02B
2012-11,$6.84B
2012-12,$7.3B
2013-01,$7.88B
2013-02,$8.72B
2013-03,$9.05B
2013-04,$10.58B
2013-05,$9.54B
2013-06,$9.42B
2013-07,$8.76B
2013-08,$8.56B
2013-09,$9.62B
2013-10,$10.56B
2013-11,$10.88B
2013-12,$10.07B
2014-01,$9.43B
2014-02,$9.69B
2014-03,$9.79B
2014-04,$9.83B
2014-05,$10.94B
2014-06,$10.72B
2014-07,$11.26B
2014-08,$12.12B
2014-09,$13.31B
2014-10,$13.7B
2014-11,$14.47B
2014-12,$15.42B
2015-01,$17.32B
2015-02,$17.53B
2015-03,$16.7B
2015-04,$15.98B
2015-05,$14.56B
2015-06,$15.41B
2015-07,$15.79B
2015-08,$12.98B
2015-09,$11.2B
2015-10,$13.75B
2015-12,$13.01B
2016-01,$12.23B
2016-02,$12.9B
2016-03,$12.86B
2016-04,$12.04B
2016-05,$11.39B
2016-06,$12.0B
2016-07,$11.16B
2016-08,$13.2B
2016-09,$13.7B
2016-10,$13.12B
2016-11,$12.79B
2016-12,$13.43B
2017-01,$13.23B
2017-02,$13.15B
2017-03,$13.9B
2017-04,$14.11B
2017-05,$15.61B
2017-06,$14.57B
2017-07,$14.61B
2017-08,$13.36B
2017-09,$13.3B
2017-10,$13.28B
2017-11,$15.2B
2017-12,$15.13B
2018-01,$15.05B
2018-02,$15.51B
2018-03,$15.64B
2018-04,$15.88B
2018-05,$17.46B
2018-06,$17.21B
2018-07,$17.54B
2018-08,$18.76B
2018-09,$19.41B
2018-10,$15.86B
2018-11,$18.69B
2018-12,$18.72B
2019-01,$17.64B
2019-02,$18.65B
2019-03,$19.27B
2019-04,$19.1B
2019-05,$17.04B
2019-06,$16.96B
2019-07,$16.2B
2019-08,$17.07B
2019-09,$17.88B
2019-10,$19.29B
2019-11,$18.74B
2019-12,$19.45B
2020-01,$19.83B
2020-02,$19.51B
2020-03,$21.33B
2020-04,$21.84B
2020-05,$20.98B
2020-06,$23.26B
2020-07,$24.87B
2020-08,$24.37B
2020-09,$24.34B
2020-10,$26.56B
2020-11,$27.14B
2020-12,$25.69B
2021-01,$25.8B
2021-02,$23.76B
2021-03,$24.02B
2021-04,$23.34B
2021-05,$22.64B
2021-06,$23.3B
2021-07,$23.67B
2021-08,$26.1B
2021-09,$27.29B
2021-10,$24.5B
2021-11,$24.68B
2021-12,$25.5B
