timeline,伊藤忠商事株式会社
2009-12,$11.58B
2010-09,$14.42B
2010-10,$13.66B
2010-11,$14.56B
2010-12,$15.94B
2011-01,$17.17B
2011-02,$16.38B
2011-03,$16.55B
2011-04,$16.26B
2011-05,$16.37B
2011-06,$16.31B
2011-07,$18.09B
2011-08,$16.77B
2011-09,$15.4B
2011-10,$16.42B
2011-11,$15.46B
2011-12,$15.91B
2012-01,$17.15B
2012-02,$18.16B
2012-03,$17.34B
2012-04,$17.81B
2012-05,$17.17B
2012-06,$16.57B
2012-07,$16.61B
2012-08,$16.02B
2012-09,$16.15B
2012-10,$15.89B
2012-12,$16.67B
2013-01,$17.94B
2013-02,$18.32B
2013-03,$18.98B
2013-04,$19.46B
2013-05,$20.02B
2013-06,$18.37B
2013-07,$18.8B
2013-08,$17.91B
2013-09,$19.42B
2013-10,$18.9B
2013-11,$19.95B
2013-12,$19.56B
2014-01,$19.45B
2014-02,$19.56B
2014-03,$18.57B
2014-04,$17.67B
2014-05,$18.74B
2014-06,$20.27B
2014-07,$20.39B
2014-08,$20.15B
2014-09,$20.31B
2014-10,$20.29B
2014-11,$19.22B
2014-12,$17.93B
2015-01,$16.83B
2015-02,$18.61B
2015-03,$17.14B
2015-04,$19.66B
2015-05,$21.44B
2015-06,$20.83B
2015-07,$19.37B
2015-08,$18.98B
2015-09,$16.58B
2015-10,$19.9B
2015-11,$19.32B
2015-12,$18.92B
2016-01,$18.58B
2016-02,$18.48B
2016-03,$19.48B
2016-04,$20.68B
2016-05,$19.83B
2016-06,$19.07B
2016-07,$17.69B
2016-08,$18.77B
2016-09,$19.72B
2016-10,$20.09B
2016-11,$21.96B
2016-12,$21.11B
2017-01,$21.62B
2017-02,$22.81B
2017-03,$22.15B
2017-04,$22.2B
2017-05,$22.24B
2017-06,$23.35B
2017-07,$24.78B
2017-08,$25.47B
2017-09,$25.68B
2017-10,$27.43B
2017-11,$27.22B
2017-12,$29.19B
2018-01,$30.83B
2018-02,$30.13B
2018-03,$30.41B
2018-04,$31.19B
2018-05,$29.17B
2018-06,$28.16B
2018-07,$27.65B
2018-08,$27.14B
2018-09,$28.44B
2018-10,$28.72B
2018-11,$26.17B
2018-12,$26.03B
2019-01,$28.09B
2019-02,$27.64B
2019-03,$27.75B
2019-04,$27.14B
2019-05,$27.38B
2019-06,$28.64B
2019-07,$28.62B
2019-08,$29.7B
2019-09,$30.85B
2019-10,$31.15B
2019-11,$32.47B
2019-12,$34.74B
2020-01,$35.19B
2020-02,$33.5B
2020-03,$32.32B
2020-04,$29.75B
2020-05,$32.03B
2020-06,$32.2B
2020-07,$32.91B
2020-08,$36.49B
2020-09,$38.69B
2020-10,$36.45B
2020-11,$38.74B
2020-12,$41.62B
2021-01,$44.1B
2021-02,$44.84B
2021-03,$47.39B
2021-04,$47.33B
2021-05,$44.73B
2021-06,$44.52B
2021-07,$44.0B
2021-08,$45.2B
2021-09,$46.63B
2021-10,$42.9B
2021-11,$44.1B
2021-12,$45.14B
