timeline,株式会社日立製作所
2009-12,$13.79B
2010-12,$23.99B
2011-11,$24.5B
2011-12,$23.49B
2012-12,$27.18B
2013-02,$26.12B
2013-03,$26.74B
2013-04,$29.48B
2013-05,$32.11B
2013-06,$29.99B
2013-07,$31.13B
2013-08,$27.97B
2013-09,$31.94B
2013-10,$33.58B
2013-11,$35.63B
2013-12,$36.64B
2014-01,$37.22B
2014-02,$37.97B
2014-03,$35.76B
2014-04,$34.22B
2014-05,$32.46B
2014-06,$35.33B
2014-07,$37.96B
2014-08,$36.62B
2014-09,$36.97B
2014-10,$37.98B
2014-11,$37.55B
2014-12,$36.4B
2015-01,$36.63B
2015-02,$33.08B
2015-03,$33.11B
2015-04,$33.25B
2015-05,$33.14B
2015-06,$31.75B
2015-07,$31.3B
2015-08,$27.16B
2015-09,$24.2B
2015-10,$28.05B
2015-11,$28.56B
2015-12,$27.71B
2016-01,$23.81B
2016-02,$20.28B
2016-03,$22.62B
2016-04,$23.03B
2016-05,$22.3B
2016-06,$19.91B
2016-07,$21.95B
2016-08,$23.28B
2016-09,$22.35B
2016-10,$25.81B
2016-11,$26.15B
2016-12,$26.24B
2017-01,$27.5B
2017-02,$26.49B
2017-03,$26.02B
2017-04,$26.69B
2017-05,$29.12B
2017-06,$29.71B
2017-07,$33.19B
2017-08,$33.08B
2017-09,$34.03B
2017-10,$38.32B
2017-11,$35.95B
2017-12,$37.54B
2018-01,$38.47B
2018-02,$36.75B
2018-03,$34.94B
2018-04,$35.49B
2018-05,$35.37B
2018-06,$34.14B
2018-07,$33.86B
2018-08,$31.55B
2018-09,$32.87B
2018-10,$29.57B
2018-11,$27.99B
2018-12,$25.69B
2019-01,$30.23B
2019-02,$29.04B
2019-03,$31.28B
2019-04,$31.89B
2019-05,$32.54B
2019-06,$35.4B
2019-07,$34.63B
2019-08,$32.93B
2019-09,$36.01B
2019-10,$36.13B
2019-11,$37.93B
2019-12,$41.04B
2020-01,$37.52B
2020-02,$32.04B
2020-03,$30.61B
2020-04,$28.41B
2020-05,$30.06B
2020-06,$30.56B
2020-07,$29.76B
2020-08,$31.87B
2020-09,$32.7B
2020-10,$32.67B
2020-11,$36.53B
2020-12,$38.12B
2021-01,$40.08B
2021-02,$44.13B
2021-03,$46.32B
2021-04,$45.78B
2021-05,$48.79B
2021-06,$53.89B
2021-07,$56.63B
2021-08,$54.78B
2021-09,$57.97B
2021-10,$56.93B
2021-11,$60.52B
2021-12,$56.71B
