timeline,朝日インテック株式会社
2006-06,$0.42B
2006-07,$0.48B
2006-08,$0.49B
2006-09,$0.5B
2006-10,$0.55B
2006-11,$0.51B
2006-12,$0.48B
2007-01,$0.47B
2007-02,$0.48B
2007-03,$0.5B
2007-04,$0.42B
2007-06,$0.35B
2007-07,$0.3B
2007-08,$0.31B
2007-09,$0.36B
2007-10,$0.4B
2007-11,$0.32B
2008-01,$0.18B
2008-02,$0.11B
2008-03,$0.09B
2008-04,$0.09B
2008-05,$0.1B
2008-06,$0.09B
2008-07,$0.1B
2008-08,$0.09B
2008-09,$0.08B
2008-11,$0.1B
2008-12,$0.11B
2009-02,$0.12B
2009-03,$0.11B
2009-04,$0.1B
2009-05,$0.14B
2009-07,$0.15B
2009-08,$0.22B
2009-09,$0.2B
2009-10,$0.21B
2009-11,$0.2B
2009-12,$0.22B
2010-01,$0.23B
2010-02,$0.22B
2010-03,$0.21B
2010-04,$0.23B
2010-05,$0.22B
2010-07,$0.21B
2010-08,$0.2B
2010-09,$0.19B
2010-12,$0.2B
2011-01,$0.19B
2011-02,$0.24B
2011-04,$0.22B
2011-05,$0.23B
2011-06,$0.25B
2011-07,$0.29B
2011-08,$0.3B
2011-09,$0.29B
2011-10,$0.28B
2011-12,$0.24B
2012-01,$0.25B
2012-02,$0.28B
2012-03,$0.29B
2012-04,$0.3B
2012-05,$0.29B
2012-06,$0.28B
2012-07,$0.29B
2012-08,$0.33B
2012-09,$0.34B
2012-10,$0.32B
2012-11,$0.4B
2012-12,$0.45B
2013-01,$0.49B
2013-02,$0.6B
2013-03,$0.71B
2013-04,$0.79B
2013-05,$0.73B
2013-06,$0.66B
2013-07,$0.72B
2013-08,$0.81B
2013-09,$0.9B
2013-10,$0.93B
2013-11,$0.99B
2013-12,$1.11B
2014-01,$1.17B
2014-02,$1.23B
2014-03,$1.17B
2014-04,$1.06B
2014-05,$1.14B
2014-06,$1.18B
2014-07,$1.21B
2014-08,$1.37B
2014-09,$1.42B
2014-10,$1.43B
2014-11,$1.65B
2014-12,$1.67B
2015-01,$1.78B
2015-02,$2.03B
2015-03,$2.38B
2015-04,$2.09B
2015-05,$2.07B
2015-06,$2.37B
2015-07,$2.35B
2015-08,$2.78B
2015-09,$2.43B
2015-10,$2.66B
2015-11,$3.03B
2015-12,$3.16B
2016-01,$3.11B
2016-02,$2.97B
2016-03,$2.98B
2016-04,$3.0B
2016-05,$3.17B
2016-06,$2.77B
2016-07,$2.65B
2016-08,$2.57B
2016-10,$2.54B
2016-11,$2.49B
2016-12,$2.65B
2017-01,$2.58B
2017-02,$2.48B
2017-03,$2.6B
2017-04,$2.78B
2017-05,$2.87B
2017-06,$2.91B
2017-07,$2.82B
2017-08,$3.28B
2017-09,$3.33B
2017-10,$3.74B
2017-11,$4.22B
2017-12,$4.42B
2018-01,$4.83B
2018-02,$4.33B
2018-03,$4.8B
2018-04,$4.37B
2018-05,$4.46B
2018-06,$4.78B
2018-07,$4.86B
2018-08,$4.83B
2018-09,$5.65B
2018-10,$5.26B
2018-11,$6.1B
2018-12,$5.32B
2019-01,$5.41B
2019-02,$6.14B
2019-03,$5.96B
2019-04,$6.44B
2019-05,$6.38B
2019-06,$6.09B
2019-07,$6.59B
2019-08,$5.45B
2019-09,$6.51B
2019-10,$6.87B
2019-11,$7.32B
2019-12,$7.35B
2020-01,$6.99B
2020-02,$5.94B
2020-03,$6.14B
2020-05,$6.95B
2020-06,$7.04B
2020-07,$6.92B
2020-08,$7.06B
2020-09,$7.38B
2020-10,$7.38B
2020-11,$7.92B
2020-12,$8.52B
2021-01,$8.2B
2021-02,$7.41B
2021-03,$7.07B
2021-04,$6.92B
2021-05,$6.53B
2021-06,$6.13B
2021-07,$6.61B
2021-08,$7.33B
2021-09,$7.83B
2021-10,$7.08B
2021-11,$6.74B
2021-12,$6.06B
