timeline,株式会社オプティム
2014-10,$0.33B
2014-11,$0.38B
2014-12,$0.35B
2015-01,$0.4B
2015-02,$0.36B
2015-03,$0.33B
2015-04,$0.31B
2015-05,$0.29B
2015-06,$0.31B
2015-07,$0.27B
2015-08,$0.28B
2015-09,$0.25B
2015-10,$0.27B
2015-11,$0.29B
2015-12,$0.26B
2016-01,$0.23B
2016-02,$0.28B
2016-03,$0.31B
2016-04,$0.3B
2016-05,$0.29B
2016-06,$0.27B
2016-07,$0.26B
2016-09,$0.3B
2016-10,$0.35B
2016-11,$0.29B
2016-12,$0.31B
2017-01,$0.36B
2017-02,$0.32B
2017-03,$0.34B
2017-04,$0.32B
2017-05,$0.39B
2017-06,$0.36B
2017-08,$0.32B
2017-09,$0.31B
2017-12,$0.32B
2018-01,$0.3B
2018-02,$0.29B
2018-03,$0.3B
2018-04,$0.31B
2018-07,$0.38B
2018-08,$0.47B
2018-09,$0.54B
2018-10,$0.45B
2018-11,$0.58B
2019-01,$0.56B
2019-02,$0.51B
2019-03,$0.6B
2019-04,$0.51B
2019-05,$0.63B
2019-06,$0.85B
2019-07,$0.72B
2019-08,$0.71B
2019-09,$0.67B
2019-10,$0.66B
2019-11,$0.81B
2019-12,$0.83B
2020-01,$0.98B
2020-02,$0.92B
2020-03,$0.97B
2020-04,$1.04B
2020-05,$1.35B
2020-06,$1.67B
2020-07,$1.7B
2020-08,$1.57B
2020-09,$1.53B
2020-10,$1.44B
2020-11,$1.48B
2020-12,$1.42B
2021-01,$1.48B
2021-02,$1.51B
2021-03,$1.41B
2021-04,$1.41B
2021-05,$1.24B
2021-06,$1.11B
2021-07,$1.01B
2021-08,$0.97B
2021-09,$1.03B
2021-10,$0.93B
2021-11,$0.81B
2021-12,$0.69B
