timeline,綜合警備保障株式会社
2006-03,$1.68B
2006-04,$1.66B
2006-05,$1.69B
2006-06,$1.93B
2006-07,$1.87B
2006-08,$1.93B
2006-09,$1.87B
2006-10,$1.86B
2006-11,$2.03B
2006-12,$2.14B
2007-01,$2.1B
2007-02,$2.03B
2007-03,$1.93B
2007-04,$2.08B
2007-05,$2.03B
2007-06,$1.94B
2007-07,$1.76B
2007-08,$1.64B
2007-09,$1.68B
2007-10,$1.72B
2007-11,$1.65B
2007-12,$1.58B
2008-01,$1.53B
2008-02,$1.31B
2008-03,$1.25B
2008-04,$1.31B
2008-05,$1.3B
2008-06,$1.16B
2008-07,$1.14B
2008-08,$1.12B
2008-09,$1.0B
2008-10,$0.82B
2008-11,$0.9B
2008-12,$0.84B
2009-01,$0.77B
2009-02,$0.72B
2009-03,$0.75B
2009-04,$0.79B
2009-05,$0.77B
2009-06,$0.9B
2009-07,$0.95B
2009-08,$1.03B
2009-09,$0.94B
2009-11,$0.88B
2009-12,$0.92B
2010-02,$0.9B
2010-03,$0.96B
2010-04,$0.93B
2010-05,$0.84B
2010-06,$0.8B
2010-07,$0.78B
2010-08,$0.73B
2010-09,$0.77B
2010-10,$0.75B
2010-11,$0.78B
2010-12,$0.85B
2011-01,$0.88B
2011-03,$0.8B
2011-04,$0.82B
2011-05,$0.76B
2011-06,$0.8B
2011-07,$0.79B
2011-08,$0.75B
2011-09,$0.78B
2011-10,$0.74B
2011-11,$0.72B
2012-01,$0.75B
2012-02,$0.86B
2012-03,$0.87B
2012-04,$0.82B
2012-05,$0.91B
2012-06,$0.96B
2012-07,$0.94B
2012-08,$1.02B
2012-09,$0.97B
2012-10,$0.99B
2012-11,$0.96B
2012-12,$0.95B
2013-01,$1.07B
2013-02,$1.1B
2013-03,$1.22B
2013-04,$1.38B
2013-05,$1.47B
2013-06,$1.59B
2013-07,$1.55B
2013-08,$1.57B
2013-09,$1.74B
2013-10,$1.76B
2013-11,$1.81B
2013-12,$1.85B
2014-01,$1.72B
2014-02,$1.83B
2014-03,$1.92B
2014-05,$2.2B
2014-06,$2.15B
2014-07,$2.1B
2014-08,$2.29B
2014-10,$2.28B
2014-11,$2.17B
2014-12,$2.59B
2015-01,$2.69B
2015-02,$3.32B
2015-03,$3.63B
2015-04,$3.46B
2015-05,$3.87B
2015-06,$4.28B
2015-07,$4.89B
2015-08,$4.7B
2015-09,$4.82B
2015-10,$5.2B
2015-11,$5.25B
2015-12,$5.05B
2016-01,$5.17B
2016-02,$5.19B
2016-03,$5.41B
2016-04,$5.44B
2016-05,$4.84B
2016-06,$4.48B
2016-07,$4.52B
2016-08,$4.58B
2016-09,$4.79B
2016-10,$4.25B
2016-11,$4.13B
2016-12,$3.99B
2017-01,$3.76B
2017-02,$3.77B
2017-03,$3.68B
2017-04,$4.31B
2017-05,$4.59B
2017-06,$4.49B
2017-07,$4.14B
2017-08,$4.26B
2017-09,$4.57B
2017-10,$4.82B
2017-11,$5.52B
2017-12,$5.43B
2018-01,$5.24B
2018-02,$4.49B
2018-03,$4.66B
2018-04,$4.83B
2018-05,$4.45B
2018-06,$4.66B
2018-07,$4.56B
2018-08,$4.37B
2018-09,$4.46B
2018-10,$4.49B
2018-11,$4.77B
2018-12,$4.59B
2019-01,$4.23B
2019-02,$4.3B
2019-04,$4.42B
2019-05,$4.69B
2019-06,$4.44B
2019-07,$4.73B
2019-08,$4.79B
2019-09,$5.05B
2019-10,$5.28B
2019-11,$5.08B
2019-12,$5.29B
2020-01,$5.1B
2020-02,$4.61B
2020-03,$4.57B
2020-04,$4.75B
2020-05,$4.73B
2020-06,$4.48B
2020-07,$4.42B
2020-08,$4.57B
2020-09,$4.54B
2020-10,$4.39B
2020-11,$4.78B
2020-12,$4.73B
2021-01,$4.7B
2021-02,$4.46B
2021-03,$4.55B
2021-04,$4.42B
2021-05,$4.41B
2021-06,$4.53B
2021-07,$4.61B
2021-08,$4.79B
2021-09,$4.71B
2021-10,$4.45B
2021-11,$4.4B
2021-12,$4.21B
