timeline,ＫＤＤＩ株式会社
2011-11,$28.84B
2011-12,$28.38B
2012-12,$31.72B
2013-02,$33.76B
2013-03,$36.81B
2013-04,$36.56B
2013-05,$34.85B
2013-06,$40.05B
2013-07,$42.18B
2013-08,$36.5B
2013-09,$39.37B
2013-10,$41.2B
2013-11,$48.02B
2013-12,$47.13B
2014-01,$42.43B
2014-02,$46.41B
2014-03,$48.49B
2014-04,$44.29B
2014-05,$49.67B
2014-06,$50.87B
2014-07,$48.67B
2014-08,$48.29B
2014-09,$50.32B
2014-10,$55.23B
2014-11,$53.87B
2014-12,$53.37B
2015-01,$59.04B
2015-02,$57.98B
2015-03,$56.77B
2015-04,$59.78B
2015-05,$56.86B
2015-06,$60.31B
2015-07,$63.6B
2015-08,$62.37B
2015-09,$55.72B
2015-10,$60.98B
2015-11,$62.36B
2015-12,$65.57B
2016-01,$63.37B
2016-03,$66.58B
2016-04,$72.98B
2016-05,$72.7B
2016-06,$73.25B
2016-07,$72.58B
2016-08,$71.38B
2016-09,$74.44B
2016-10,$73.83B
2016-11,$64.49B
2016-12,$61.56B
2017-01,$64.47B
2017-02,$63.04B
2017-03,$64.23B
2017-04,$65.29B
2017-05,$67.98B
2017-06,$64.97B
2017-07,$64.47B
2017-08,$65.24B
2017-09,$64.08B
2017-10,$64.87B
2017-11,$69.57B
2017-12,$60.22B
2018-01,$61.37B
2018-02,$59.2B
2018-03,$61.57B
2018-04,$64.78B
2018-05,$65.14B
2018-06,$65.95B
2018-07,$67.44B
2018-08,$63.41B
2018-09,$66.26B
2018-10,$59.48B
2018-11,$55.84B
2018-12,$56.25B
2019-01,$59.0B
2019-02,$57.11B
2019-03,$50.76B
2019-04,$53.47B
2019-05,$59.86B
2019-06,$59.77B
2019-07,$61.36B
2019-08,$62.17B
2019-09,$60.77B
2019-10,$63.83B
2019-11,$66.36B
2019-12,$68.7B
2020-01,$69.07B
2020-02,$64.12B
2020-03,$67.69B
2020-04,$67.06B
2020-05,$66.75B
2020-07,$68.33B
2020-08,$69.56B
2020-09,$60.02B
2020-10,$58.87B
2020-11,$66.84B
2020-12,$66.41B
2021-01,$68.81B
2021-02,$72.29B
2021-03,$72.38B
2021-04,$71.1B
2021-05,$73.25B
2021-06,$73.7B
2021-07,$70.41B
2021-08,$69.49B
2021-09,$76.62B
2021-10,$72.8B
2021-11,$67.89B
2021-12,$65.76B
