timeline,東海旅客鉄道株式会社
2006-03,$20.16B
2006-04,$20.33B
2006-05,$19.47B
2006-06,$19.81B
2006-07,$22.07B
2006-09,$21.9B
2006-11,$21.72B
2006-12,$21.55B
2007-01,$22.42B
2007-02,$24.68B
2007-03,$23.29B
2007-04,$22.95B
2007-05,$21.73B
2007-06,$22.6B
2007-07,$21.38B
2007-08,$22.6B
2007-09,$21.21B
2007-10,$20.69B
2007-11,$20.34B
2007-12,$16.57B
2008-01,$17.09B
2008-02,$17.39B
2008-03,$17.91B
2008-04,$17.73B
2008-05,$17.91B
2008-06,$20.34B
2008-07,$19.09B
2008-08,$19.77B
2008-09,$17.3B
2008-10,$13.89B
2008-11,$14.05B
2008-12,$13.51B
2009-01,$11.2B
2009-02,$10.34B
2009-03,$9.63B
2009-04,$10.14B
2009-05,$10.61B
2009-06,$9.83B
2009-07,$9.46B
2009-08,$10.43B
2009-09,$10.69B
2009-10,$10.01B
2009-11,$10.36B
2009-12,$10.31B
2010-01,$11.01B
2010-02,$11.15B
2010-03,$12.38B
2010-04,$13.34B
2010-05,$12.92B
2010-06,$12.76B
2010-07,$12.24B
2010-08,$11.79B
2010-09,$10.68B
2010-10,$10.59B
2010-11,$11.23B
2010-12,$11.82B
2011-01,$12.03B
2011-02,$12.71B
2011-03,$11.43B
2011-04,$10.6B
2011-05,$11.07B
2011-06,$10.97B
2011-07,$11.54B
2011-08,$10.98B
2011-09,$11.75B
2011-10,$11.62B
2011-11,$10.65B
2011-12,$11.28B
2012-01,$11.36B
2012-02,$11.57B
2012-03,$11.83B
2012-04,$11.52B
2012-05,$11.07B
2012-06,$10.38B
2012-07,$10.74B
2012-08,$11.28B
2012-09,$11.36B
2012-10,$11.37B
2012-11,$10.81B
2012-12,$11.59B
2013-01,$13.25B
2013-02,$14.92B
2013-03,$16.42B
2013-04,$20.39B
2013-05,$19.43B
2013-06,$21.05B
2013-07,$20.86B
2013-08,$19.54B
2013-09,$21.83B
2013-10,$22.04B
2013-11,$21.38B
2013-12,$21.48B
2014-01,$19.64B
2014-02,$20.53B
2014-03,$20.92B
2014-04,$21.76B
2014-05,$23.39B
2014-06,$25.07B
2014-07,$25.59B
2014-08,$25.3B
2014-09,$25.7B
2014-10,$28.64B
2014-11,$29.97B
2014-12,$31.47B
2015-01,$35.26B
2015-02,$38.6B
2015-03,$37.73B
2015-04,$37.23B
2015-05,$37.52B
2015-06,$38.35B
2015-07,$37.69B
2015-08,$34.5B
2015-09,$33.36B
2015-10,$38.52B
2015-11,$38.14B
2015-12,$37.48B
2016-01,$38.35B
2016-02,$35.07B
2016-03,$34.54B
2016-04,$33.72B
2016-05,$34.06B
2016-06,$31.45B
2016-07,$33.35B
2016-08,$29.48B
2016-09,$29.86B
2016-10,$31.0B
2016-11,$32.41B
2016-12,$33.36B
2017-01,$31.7B
2017-02,$31.89B
2017-03,$31.47B
2017-04,$32.42B
2017-05,$31.46B
2017-06,$31.77B
2017-07,$30.8B
2017-08,$32.32B
2017-09,$34.23B
2017-10,$35.69B
2017-11,$36.05B
2017-12,$35.01B
2018-01,$35.83B
2018-02,$34.61B
2018-03,$34.93B
2018-04,$37.93B
2018-05,$38.86B
2018-06,$39.64B
2018-07,$40.13B
2018-08,$38.53B
2018-09,$40.85B
2018-10,$37.38B
2018-11,$40.27B
2018-12,$39.99B
2019-01,$40.55B
2019-02,$43.12B
2019-03,$44.39B
2019-04,$41.31B
2019-05,$39.15B
2019-06,$37.3B
2019-07,$37.89B
2019-08,$36.33B
2019-09,$38.41B
2019-10,$38.54B
2019-11,$38.2B
2019-12,$38.03B
2020-01,$37.31B
2020-02,$30.74B
2020-03,$29.98B
2020-04,$29.44B
2020-06,$30.37B
2020-07,$24.9B
2020-08,$26.77B
2020-09,$27.07B
2020-10,$24.0B
2020-11,$24.2B
2020-12,$24.59B
2021-01,$25.2B
2021-02,$29.84B
2021-03,$29.94B
2021-04,$27.16B
2021-05,$27.78B
2021-06,$30.35B
2021-07,$28.27B
2021-08,$28.45B
2021-09,$28.68B
2021-10,$29.8B
2021-11,$28.97B
2021-12,$28.07B
