timeline,株式会社大塚商会
2006-03,$3.85B
2006-04,$3.81B
2006-05,$3.79B
2006-06,$3.59B
2006-07,$3.57B
2006-08,$3.2B
2006-09,$3.5B
2006-10,$3.58B
2006-11,$3.42B
2006-12,$3.37B
2007-01,$3.13B
2007-02,$3.22B
2007-03,$3.14B
2007-04,$3.23B
2007-05,$3.13B
2007-06,$3.26B
2007-07,$3.13B
2007-08,$3.26B
2007-09,$3.14B
2007-10,$3.07B
2007-11,$2.76B
2007-12,$2.67B
2008-01,$2.3B
2008-03,$2.34B
2008-04,$2.22B
2008-05,$2.11B
2008-06,$2.04B
2008-07,$1.99B
2008-08,$2.2B
2008-09,$1.91B
2008-10,$1.35B
2008-11,$1.21B
2008-12,$1.13B
2009-01,$1.12B
2009-02,$0.96B
2009-03,$1.02B
2009-05,$1.21B
2009-06,$1.43B
2009-07,$1.38B
2009-08,$1.57B
2009-09,$1.5B
2009-10,$1.35B
2009-11,$1.15B
2009-12,$1.29B
2010-01,$1.38B
2010-02,$1.52B
2010-03,$1.66B
2010-04,$1.87B
2010-05,$1.65B
2010-06,$1.59B
2010-07,$1.57B
2010-08,$1.54B
2010-10,$1.42B
2010-11,$1.51B
2010-12,$1.54B
2011-01,$1.45B
2011-02,$1.6B
2011-03,$1.49B
2011-04,$1.41B
2011-05,$1.32B
2011-06,$1.39B
2011-07,$1.43B
2011-08,$1.46B
2011-09,$1.49B
2011-10,$1.53B
2011-11,$1.46B
2011-12,$1.48B
2012-01,$1.52B
2012-02,$1.68B
2012-03,$1.88B
2012-04,$1.79B
2012-05,$1.74B
2012-06,$1.89B
2012-07,$1.92B
2012-09,$1.95B
2012-10,$1.81B
2012-11,$1.82B
2013-01,$2.09B
2013-02,$2.62B
2013-03,$2.84B
2013-04,$2.81B
2013-05,$2.62B
2013-06,$3.07B
2013-07,$3.09B
2013-08,$3.3B
2013-09,$3.49B
2013-10,$3.55B
2013-11,$3.65B
2013-12,$3.74B
2014-01,$3.4B
2014-02,$3.64B
2014-03,$3.76B
2014-04,$3.37B
2014-05,$3.88B
2014-06,$4.1B
2014-07,$3.94B
2014-08,$3.69B
2014-09,$3.64B
2014-10,$3.42B
2014-11,$3.41B
2014-12,$3.19B
2015-01,$3.41B
2015-02,$3.96B
2015-03,$4.28B
2015-04,$4.62B
2015-05,$5.05B
2015-06,$4.78B
2015-07,$5.44B
2015-08,$5.35B
2015-09,$4.86B
2015-10,$4.91B
2015-11,$5.16B
2015-12,$4.98B
2016-01,$4.96B
2016-02,$4.66B
2016-03,$4.96B
2016-04,$4.45B
2016-05,$4.39B
2016-06,$3.99B
2016-07,$4.42B
2016-08,$3.67B
2016-09,$3.99B
2016-10,$4.18B
2016-11,$4.66B
2016-12,$4.56B
2017-01,$4.86B
2017-02,$4.77B
2017-03,$5.05B
2017-04,$4.99B
2017-05,$5.69B
2017-06,$5.83B
2017-07,$6.04B
2017-08,$6.08B
2017-09,$6.03B
2017-10,$6.44B
2017-11,$7.02B
2017-12,$7.22B
2018-01,$7.65B
2018-02,$8.33B
2018-03,$4.48B
2018-04,$8.53B
2018-05,$7.51B
2018-06,$7.26B
2018-07,$7.29B
2018-08,$6.73B
2018-09,$7.09B
2018-10,$6.27B
2018-11,$6.39B
2018-12,$5.05B
2019-01,$5.87B
2019-02,$6.69B
2019-03,$6.91B
2019-04,$7.3B
2019-05,$7.05B
2019-06,$7.25B
2019-07,$7.23B
2019-08,$6.59B
2019-09,$7.2B
2019-10,$7.34B
2019-11,$7.33B
2019-12,$7.31B
2020-01,$7.19B
2020-02,$8.2B
2020-03,$7.42B
2020-04,$8.1B
2020-05,$8.69B
2020-06,$9.49B
2020-07,$9.28B
2020-08,$8.89B
2020-09,$9.13B
2020-10,$8.23B
2020-11,$8.27B
2020-12,$8.62B
2021-01,$8.73B
2021-02,$8.44B
2021-03,$8.52B
2021-04,$8.83B
2021-05,$9.51B
2021-06,$9.9B
2021-07,$9.84B
2021-08,$9.74B
2021-09,$10.38B
2021-10,$9.48B
2021-11,$8.92B
2021-12,$8.89B
