timeline,株式会社ＺＯＺＯ
2008-03,$0.37B
2008-04,$0.39B
2008-05,$0.36B
2008-06,$0.33B
2008-07,$0.35B
2008-08,$0.43B
2008-09,$0.31B
2008-10,$0.2B
2008-11,$0.28B
2008-12,$0.33B
2009-01,$0.3B
2009-02,$0.24B
2009-03,$0.27B
2009-04,$0.28B
2009-05,$0.35B
2009-06,$0.42B
2009-07,$0.52B
2009-08,$0.46B
2009-09,$0.58B
2009-11,$0.56B
2009-12,$0.55B
2010-02,$0.46B
2010-03,$0.55B
2010-04,$0.71B
2010-05,$0.65B
2010-06,$0.78B
2010-07,$0.86B
2010-08,$0.67B
2010-09,$0.75B
2010-10,$0.8B
2010-11,$0.88B
2010-12,$1.04B
2011-01,$1.22B
2011-02,$1.31B
2011-03,$1.24B
2011-04,$1.35B
2011-05,$1.64B
2011-06,$1.55B
2011-07,$1.85B
2011-08,$1.99B
2011-09,$1.66B
2011-10,$1.62B
2011-11,$1.41B
2011-12,$1.75B
2012-01,$1.44B
2012-03,$1.48B
2012-04,$1.2B
2012-05,$1.12B
2012-06,$1.08B
2012-07,$1.01B
2012-08,$1.1B
2012-09,$1.09B
2012-10,$0.85B
2012-11,$0.83B
2012-12,$0.78B
2013-01,$0.85B
2013-02,$0.96B
2013-03,$1.13B
2013-04,$1.39B
2013-05,$1.42B
2013-06,$1.83B
2013-07,$1.91B
2013-08,$2.07B
2013-09,$2.61B
2013-10,$2.58B
2013-11,$2.48B
2013-12,$2.46B
2014-01,$2.16B
2014-02,$2.36B
2014-03,$2.5B
2014-04,$2.02B
2014-05,$2.39B
2014-06,$2.52B
2014-07,$2.61B
2014-08,$2.34B
2014-09,$2.26B
2014-10,$2.25B
2014-11,$2.42B
2014-12,$2.39B
2015-01,$2.27B
2015-02,$2.75B
2015-03,$3.0B
2015-04,$2.81B
2015-05,$3.18B
2015-06,$3.25B
2015-07,$3.77B
2015-08,$3.51B
2015-09,$3.74B
2015-10,$3.87B
2015-11,$4.06B
2015-12,$3.64B
2016-01,$3.51B
2016-02,$3.31B
2016-03,$4.16B
2016-04,$4.25B
2016-05,$4.64B
2016-06,$4.93B
2016-07,$4.49B
2016-08,$4.4B
2016-09,$4.76B
2016-10,$5.07B
2016-11,$4.83B
2016-12,$5.55B
2017-01,$5.84B
2017-02,$6.45B
2017-03,$6.77B
2017-04,$6.54B
2017-05,$7.6B
2017-07,$8.56B
2017-08,$9.4B
2017-09,$9.8B
2017-10,$8.49B
2017-11,$9.41B
2018-01,$8.81B
2018-02,$7.65B
2018-03,$7.81B
2018-04,$8.69B
2018-05,$10.19B
2018-06,$10.81B
2018-07,$12.08B
2018-08,$10.31B
2018-09,$9.26B
2018-10,$7.32B
2018-11,$6.8B
2018-12,$5.41B
2019-01,$5.91B
2019-02,$5.64B
2019-03,$5.62B
2019-04,$5.29B
2019-05,$5.03B
2019-06,$5.44B
2019-07,$5.56B
2019-08,$5.71B
2019-09,$6.71B
2019-10,$6.82B
2019-11,$5.87B
2019-12,$5.62B
2020-01,$4.91B
2020-02,$4.08B
2020-03,$3.91B
2020-04,$4.69B
2020-05,$5.34B
2020-06,$6.45B
2020-07,$7.34B
2020-08,$7.97B
2020-09,$7.61B
2020-10,$7.83B
2020-11,$7.11B
2020-12,$6.94B
2021-01,$7.63B
2021-02,$9.43B
2021-03,$8.84B
2021-04,$9.32B
2021-05,$9.75B
2021-06,$9.84B
2021-07,$9.55B
2021-08,$11.13B
2021-09,$11.53B
2021-10,$10.59B
2021-11,$9.69B
2021-12,$9.27B
