timeline,株式会社ワークマン
2010-02,$0.21B
2018-10,$2.57B
2018-12,$2.63B
2019-01,$2.84B
2019-02,$3.07B
2019-03,$4.1B
2019-04,$3.87B
2019-05,$3.74B
2019-06,$3.37B
2019-07,$3.58B
2019-08,$4.15B
2019-09,$5.64B
2019-10,$5.54B
2019-11,$6.52B
2019-12,$7.34B
2020-01,$6.41B
2020-02,$4.77B
2020-03,$4.28B
2020-04,$4.75B
2020-05,$6.33B
2020-06,$6.82B
2020-07,$7.12B
2020-08,$6.77B
2020-09,$6.57B
2020-10,$6.64B
2020-11,$6.64B
2020-12,$6.17B
2021-01,$6.07B
2021-02,$6.01B
2021-03,$5.73B
2021-04,$5.6B
2021-05,$5.51B
2021-06,$5.51B
2021-07,$5.32B
2021-08,$5.43B
2021-09,$5.04B
2021-10,$4.56B
2021-11,$4.5B
2021-12,$4.2B
