timeline,アコム株式会社
2002-03,$9.96B
2002-04,$12.67B
2002-05,$11.02B
2002-06,$10.59B
2002-07,$9.34B
2002-08,$9.04B
2002-09,$6.65B
2002-10,$4.9B
2002-11,$6.03B
2002-12,$5.04B
2003-01,$4.75B
2003-02,$5.02B
2003-03,$4.01B
2003-04,$4.33B
2003-05,$5.3B
2003-06,$5.61B
2003-07,$5.88B
2003-08,$6.26B
2003-09,$6.48B
2003-10,$6.36B
2003-11,$5.72B
2003-12,$6.29B
2004-01,$7.79B
2004-02,$8.51B
2004-03,$9.76B
2004-04,$10.1B
2004-05,$9.53B
2004-06,$9.11B
2004-07,$9.21B
2004-08,$9.26B
2004-09,$8.76B
2004-10,$8.54B
2004-11,$9.95B
2004-12,$9.85B
2005-01,$9.35B
2005-02,$9.24B
2005-03,$10.21B
2005-04,$9.5B
2005-05,$9.84B
2005-06,$10.01B
2005-07,$9.93B
2005-08,$10.22B
2005-09,$11.6B
2005-10,$10.6B
2005-11,$10.07B
2005-12,$10.67B
2006-01,$9.46B
2006-02,$10.05B
2006-03,$9.73B
2006-04,$9.35B
2006-06,$8.74B
2006-07,$7.32B
2006-08,$7.39B
2006-09,$7.1B
2006-10,$6.34B
2006-11,$6.15B
2006-12,$5.63B
2007-01,$6.45B
2007-02,$6.18B
2007-03,$7.05B
2007-04,$6.1B
2007-05,$6.67B
2007-06,$6.22B
2007-07,$5.98B
2007-08,$4.87B
2007-09,$3.6B
2007-10,$3.87B
2007-11,$3.85B
2007-12,$3.22B
2008-01,$3.69B
2008-02,$4.28B
2008-03,$3.72B
2008-04,$4.53B
2008-05,$4.67B
2008-06,$4.63B
2008-07,$4.48B
2008-08,$4.31B
2008-09,$5.05B
2008-10,$5.21B
2008-11,$5.34B
2008-12,$5.29B
2009-01,$4.48B
2009-02,$3.41B
2009-03,$3.85B
2009-04,$3.28B
2009-05,$3.45B
2009-06,$3.35B
2009-07,$2.79B
2009-08,$2.65B
2009-09,$1.92B
2009-10,$1.63B
2009-11,$1.6B
2009-12,$1.96B
2010-01,$2.16B
2010-02,$1.77B
2010-03,$2.12B
2010-04,$2.06B
2010-05,$1.64B
2010-06,$1.6B
2010-07,$2.1B
2010-08,$1.76B
2010-09,$1.75B
2010-10,$1.28B
2010-11,$1.36B
2010-12,$1.39B
2011-01,$2.04B
2011-02,$2.03B
2011-03,$1.55B
2011-04,$1.64B
2011-05,$1.8B
2011-06,$1.83B
2011-07,$1.82B
2011-08,$1.85B
2011-09,$2.07B
2011-10,$1.95B
2011-11,$1.68B
2011-12,$1.9B
2012-02,$2.35B
2012-03,$2.56B
2012-04,$2.39B
2012-05,$2.1B
2012-06,$2.17B
2012-07,$2.27B
2012-08,$2.5B
2012-09,$2.74B
2012-10,$3.26B
2012-11,$3.11B
2012-12,$3.41B
2013-01,$3.3B
2013-02,$3.17B
2013-03,$3.73B
2013-04,$5.5B
2013-05,$5.02B
2013-06,$4.36B
2013-07,$4.17B
2013-08,$3.4B
2013-09,$5.1B
2013-10,$5.29B
2013-11,$5.25B
2013-12,$4.93B
2014-01,$4.24B
2014-02,$4.03B
2014-03,$4.56B
2014-04,$4.81B
2014-05,$5.36B
2014-06,$6.66B
2014-07,$5.69B
2014-08,$4.97B
2014-09,$5.07B
2014-10,$5.03B
2014-11,$4.91B
2014-12,$5.11B
2015-01,$4.46B
2015-02,$5.31B
2015-03,$5.76B
2015-04,$5.53B
2015-06,$6.49B
2015-07,$8.14B
2015-08,$7.59B
2015-09,$8.42B
2015-10,$9.2B
2015-11,$8.44B
2015-12,$7.93B
2016-01,$7.46B
2016-02,$6.95B
2016-03,$7.83B
2016-04,$8.04B
2016-05,$8.44B
2016-06,$6.8B
2016-07,$6.77B
2016-08,$6.84B
2016-09,$6.54B
2016-10,$6.69B
2016-11,$7.56B
2016-12,$7.06B
2017-01,$6.73B
2017-02,$6.49B
2017-03,$6.15B
2017-04,$6.84B
2017-05,$6.47B
2017-06,$7.09B
2017-07,$6.49B
2017-08,$6.22B
2017-09,$6.02B
2017-10,$6.49B
2017-11,$6.45B
2017-12,$6.56B
2018-01,$6.58B
2018-02,$6.72B
2018-03,$6.55B
2018-04,$6.85B
2018-05,$6.31B
2018-06,$5.89B
2018-07,$6.15B
2018-08,$6.27B
2018-09,$6.33B
2018-10,$5.76B
2018-12,$4.96B
2019-01,$5.26B
2019-03,$5.46B
2019-04,$5.39B
2019-05,$5.03B
2019-06,$5.36B
2019-07,$5.33B
2019-08,$5.18B
2019-09,$5.86B
2019-10,$6.04B
2019-11,$6.27B
2019-12,$6.87B
2020-01,$7.13B
2020-02,$6.14B
2020-03,$6.07B
2020-04,$6.05B
2020-05,$5.9B
2020-06,$5.68B
2020-07,$5.21B
2020-08,$5.55B
2020-09,$6.04B
2020-10,$6.33B
2020-11,$6.97B
2020-12,$6.74B
2021-01,$6.23B
2021-02,$6.57B
2021-03,$7.09B
2021-04,$6.86B
2021-05,$6.57B
2021-06,$6.81B
2021-07,$6.35B
2021-08,$6.01B
2021-09,$6.06B
2021-10,$5.31B
2021-11,$4.97B
2021-12,$4.65B
