timeline,いすゞ自動車株式会社
2001-01,$2.7B
2001-02,$2.54B
2001-03,$2.5B
2001-04,$2.86B
2001-05,$3.03B
2001-06,$3.07B
2001-07,$2.35B
2001-08,$2.07B
2001-09,$1.32B
2001-11,$1.02B
2001-12,$0.81B
2002-01,$0.77B
2002-02,$0.79B
2002-03,$0.81B
2002-04,$1.07B
2002-05,$0.99B
2002-06,$0.77B
2002-07,$0.79B
2002-08,$0.75B
2002-09,$0.71B
2002-10,$0.47B
2002-12,$0.46B
2003-01,$0.55B
2003-02,$0.63B
2003-03,$0.43B
2003-04,$0.63B
2003-05,$0.67B
2003-06,$1.17B
2003-07,$1.35B
2003-08,$1.43B
2003-09,$1.23B
2003-10,$1.31B
2003-11,$1.32B
2003-12,$1.42B
2004-01,$1.34B
2004-02,$1.37B
2004-03,$1.68B
2004-04,$2.3B
2004-05,$2.04B
2004-06,$2.42B
2004-07,$2.18B
2004-08,$1.99B
2004-09,$2.18B
2004-10,$2.34B
2004-11,$2.38B
2004-12,$2.35B
2005-02,$2.32B
2005-03,$2.69B
2005-04,$2.55B
2005-05,$2.69B
2005-06,$2.82B
2005-07,$3.03B
2005-08,$3.22B
2005-09,$3.96B
2005-10,$4.27B
2005-11,$4.35B
2005-12,$4.26B
2006-01,$4.01B
2006-02,$3.83B
2006-03,$4.37B
2006-04,$4.14B
2006-05,$3.91B
2006-06,$3.73B
2006-07,$4.17B
2006-08,$3.83B
2006-09,$3.89B
2006-10,$4.08B
2006-11,$5.22B
2006-12,$5.62B
2007-01,$6.08B
2007-02,$6.18B
2007-03,$8.84B
2007-04,$9.5B
2007-05,$8.87B
2007-06,$9.99B
2007-07,$9.72B
2007-08,$9.42B
2007-09,$9.84B
2007-10,$8.5B
2007-11,$7.72B
2007-12,$7.6B
2008-01,$6.7B
2008-02,$7.32B
2008-03,$7.45B
2008-04,$7.55B
2008-05,$8.5B
2008-06,$7.64B
2008-07,$7.02B
2008-08,$6.18B
2008-09,$4.25B
2008-10,$2.51B
2008-11,$1.77B
2008-12,$1.69B
2009-01,$1.6B
2009-02,$1.45B
2009-03,$1.78B
2009-04,$2.44B
2009-06,$2.32B
2009-07,$2.52B
2009-08,$3.23B
2009-09,$2.84B
2009-10,$2.96B
2009-11,$2.21B
2009-12,$2.58B
2010-01,$2.87B
2010-02,$3.33B
2010-03,$3.78B
2010-04,$4.53B
2010-05,$4.21B
2010-06,$4.03B
2010-07,$3.79B
2010-08,$4.17B
2010-09,$4.81B
2010-10,$4.63B
2010-11,$5.57B
2010-12,$5.51B
2011-01,$5.77B
2011-02,$5.48B
2011-03,$4.91B
2011-04,$5.17B
2011-05,$5.66B
2011-07,$5.74B
2011-08,$5.09B
2011-09,$5.02B
2011-10,$5.08B
2011-11,$5.29B
2011-12,$5.32B
2012-01,$5.77B
2012-02,$6.84B
2012-03,$7.24B
2012-04,$6.86B
2012-05,$6.26B
2012-06,$6.32B
2012-07,$6.05B
2012-08,$5.96B
2012-09,$5.63B
2012-10,$6.3B
2012-11,$7.21B
2012-12,$7.63B
2013-01,$8.56B
2013-02,$8.51B
2013-03,$8.29B
2013-04,$9.69B
2013-05,$11.58B
2013-06,$10.14B
2013-07,$10.41B
2013-08,$8.98B
2013-09,$9.65B
2013-10,$9.08B
2013-11,$9.77B
2014-01,$9.25B
2014-03,$8.86B
2014-05,$9.28B
2014-06,$10.01B
2014-07,$10.8B
2014-08,$10.74B
2014-09,$11.58B
2014-10,$10.7B
2014-11,$11.57B
2014-12,$11.07B
2015-01,$11.81B
2015-02,$12.98B
2015-03,$11.74B
2015-04,$11.71B
2015-05,$12.43B
2015-06,$11.81B
2015-07,$12.62B
2015-08,$10.15B
2015-09,$8.78B
2015-10,$10.44B
2015-11,$10.18B
2015-12,$9.65B
2016-01,$8.83B
2016-02,$8.3B
2016-03,$8.08B
2016-04,$8.31B
2016-05,$9.29B
2016-06,$8.68B
2016-07,$9.38B
2016-08,$8.28B
2016-09,$8.2B
2016-10,$9.03B
2016-11,$9.38B
2016-12,$10.29B
2017-01,$10.58B
2017-02,$10.45B
2017-03,$10.22B
2017-04,$10.5B
2017-05,$9.39B
2017-06,$9.62B
2017-07,$10.53B
2017-08,$9.98B
2017-09,$10.35B
2017-10,$11.45B
2017-11,$12.3B
2017-12,$13.1B
2018-01,$12.77B
2018-02,$11.71B
2018-03,$11.33B
2018-04,$11.62B
2018-05,$10.13B
2018-06,$10.22B
2018-07,$10.47B
2018-08,$10.46B
2018-09,$11.66B
2018-10,$9.65B
2018-11,$10.52B
2018-12,$10.08B
2019-01,$10.52B
2019-02,$10.39B
2019-03,$9.47B
2019-04,$10.37B
2019-05,$7.8B
2019-06,$7.98B
2019-07,$7.88B
2019-08,$7.43B
2019-09,$7.74B
2019-10,$8.24B
2019-11,$8.33B
2019-12,$8.45B
2020-01,$7.11B
2020-02,$6.7B
2020-03,$4.65B
2020-04,$5.36B
2020-05,$6.56B
2020-07,$6.01B
2020-08,$6.65B
2020-09,$6.33B
2020-10,$6.0B
2020-11,$6.58B
2020-12,$6.46B
2021-01,$6.44B
2021-02,$7.21B
2021-03,$7.42B
2021-04,$7.5B
2021-05,$8.69B
2021-06,$9.79B
2021-07,$9.2B
2021-08,$9.39B
2021-09,$10.02B
2021-10,$9.73B
2021-11,$10.48B
2021-12,$9.96B
