timeline,ソニーグループ株式会社
2001-01,$67.29B
2001-02,$65.43B
2001-03,$66.44B
2001-04,$70.49B
2001-05,$71.82B
2001-06,$60.43B
2001-07,$45.48B
2001-08,$41.24B
2001-09,$30.49B
2001-10,$35.09B
2001-11,$43.81B
2001-12,$41.42B
2002-01,$41.11B
2002-02,$42.43B
2002-03,$47.71B
2002-04,$50.02B
2002-05,$53.62B
2002-06,$49.0B
2002-07,$41.83B
2002-08,$40.15B
2002-09,$37.93B
2002-10,$39.9B
2002-11,$40.93B
2002-12,$38.04B
2003-01,$36.79B
2003-02,$34.97B
2003-03,$32.51B
2003-04,$22.9B
2003-05,$25.3B
2003-06,$25.91B
2003-07,$28.87B
2003-08,$30.49B
2003-09,$32.13B
2003-10,$32.5B
2003-11,$31.72B
2003-12,$32.07B
2004-01,$37.6B
2004-02,$37.87B
2004-03,$38.73B
2004-04,$35.57B
2004-05,$34.16B
2004-06,$35.19B
2004-07,$32.05B
2004-08,$32.07B
2004-09,$31.83B
2004-10,$32.25B
2004-11,$33.65B
2004-12,$36.05B
2005-01,$34.26B
2005-02,$34.97B
2005-03,$39.86B
2005-04,$36.57B
2005-05,$37.12B
2005-06,$34.31B
2005-07,$32.38B
2005-08,$33.49B
2005-09,$33.07B
2005-10,$32.69B
2005-11,$36.88B
2005-12,$40.71B
2006-01,$48.79B
2006-02,$46.77B
2006-03,$46.11B
2006-04,$48.99B
2006-05,$45.21B
2006-06,$44.09B
2006-07,$46.05B
2006-08,$43.46B
2006-09,$40.41B
2006-10,$41.03B
2006-11,$39.46B
2006-12,$42.89B
2007-01,$46.39B
2007-02,$51.8B
2007-03,$50.59B
2007-04,$53.37B
2007-05,$57.82B
2007-06,$51.5B
2007-07,$52.87B
2007-08,$47.9B
2007-09,$48.2B
2007-10,$49.61B
2007-11,$54.13B
2007-12,$54.47B
2008-01,$47.65B
2008-02,$47.36B
2008-03,$46.73B
2008-04,$53.4B
2008-05,$58.77B
2008-06,$49.08B
2008-07,$42.27B
2008-08,$42.87B
2008-09,$34.64B
2008-10,$26.08B
2008-11,$21.75B
2008-12,$24.54B
2009-01,$21.57B
2009-02,$18.58B
2009-03,$23.15B
2009-04,$29.02B
2009-05,$29.44B
2009-06,$26.31B
2009-07,$28.36B
2009-08,$27.17B
2009-09,$29.76B
2009-10,$31.07B
2009-11,$27.06B
2009-12,$28.79B
2010-01,$33.41B
2010-02,$34.44B
2010-03,$38.69B
2010-04,$34.88B
2010-05,$31.06B
2010-06,$27.0B
2010-07,$31.33B
2010-08,$28.14B
2010-09,$30.95B
2010-10,$33.08B
2010-11,$35.43B
2010-12,$36.04B
2011-01,$34.58B
2011-02,$36.8B
2011-03,$32.14B
2011-04,$27.81B
2011-05,$26.83B
2011-06,$26.32B
2011-07,$25.13B
2011-08,$21.8B
2011-09,$19.71B
2011-10,$22.28B
2011-11,$17.65B
2011-12,$17.85B
2012-01,$18.27B
2012-02,$21.65B
2012-03,$20.78B
2012-04,$16.43B
2012-05,$13.33B
2012-06,$14.2B
2012-07,$12.33B
2012-08,$11.26B
2012-09,$11.88B
2012-10,$12.02B
2012-11,$9.78B
2012-12,$11.18B
2013-01,$15.01B
2013-02,$14.65B
2013-03,$17.63B
2013-04,$16.66B
2013-05,$20.49B
2013-06,$21.33B
2013-07,$21.32B
2013-08,$20.27B
2013-09,$22.25B
2013-10,$19.77B
2013-11,$18.93B
2013-12,$18.06B
2014-01,$16.42B
2014-02,$18.08B
2014-03,$20.0B
2014-04,$18.23B
2014-05,$16.69B
2014-06,$17.31B
2014-07,$17.98B
2014-08,$20.02B
2014-09,$20.9B
2014-10,$21.79B
2014-11,$25.34B
2014-12,$23.77B
2015-01,$26.94B
2015-02,$32.85B
2015-03,$31.06B
2015-04,$35.8B
2015-05,$36.45B
2015-06,$32.98B
2015-07,$33.29B
2015-08,$32.77B
2015-09,$30.49B
2015-10,$36.27B
2015-11,$32.62B
2015-12,$31.43B
2016-01,$26.76B
2016-02,$26.47B
2016-03,$32.47B
2016-04,$32.42B
2016-05,$35.28B
2016-06,$36.66B
2016-07,$39.5B
2016-08,$40.8B
2016-09,$41.08B
2016-10,$40.58B
2016-11,$36.9B
2016-12,$35.55B
2017-01,$38.01B
2017-02,$38.93B
2017-03,$42.53B
2017-04,$42.66B
2017-05,$45.95B
2017-06,$48.32B
2017-07,$51.9B
2017-08,$49.58B
2017-09,$47.01B
2017-10,$49.34B
2017-11,$58.66B
2017-12,$56.89B
2018-01,$60.57B
2018-02,$64.04B
2018-03,$61.11B
2018-04,$62.66B
2018-05,$60.05B
2018-06,$64.85B
2018-07,$66.57B
2018-08,$72.52B
2018-09,$77.91B
2018-10,$68.91B
2018-11,$66.42B
2018-12,$61.27B
2019-01,$63.67B
2019-02,$60.72B
2019-03,$52.91B
2019-04,$58.36B
2019-05,$60.05B
2019-06,$65.48B
2019-07,$70.79B
2019-08,$70.69B
2019-09,$72.33B
2019-10,$74.79B
2019-11,$77.55B
2019-12,$83.35B
2020-01,$86.86B
2020-02,$73.89B
2020-03,$72.49B
2020-04,$79.33B
2020-05,$77.97B
2020-06,$82.6B
2020-07,$92.97B
2020-08,$96.9B
2020-09,$95.64B
2020-10,$96.84B
2020-11,$111.59B
2020-12,$118.25B
2021-01,$124.87B
2021-02,$138.5B
2021-03,$131.26B
2021-04,$124.03B
2021-05,$121.56B
2021-06,$121.23B
2021-07,$120.87B
2021-08,$125.95B
2021-09,$139.1B
2021-10,$138.38B
2021-11,$153.96B
2021-12,$154.06B
