timeline,株式会社ゆうちょ銀行
2015-11,$57.52B
2015-12,$57.85B
2016-01,$48.66B
2016-02,$40.46B
2016-03,$45.78B
2016-04,$44.46B
2016-05,$43.83B
2016-06,$39.63B
2016-07,$41.72B
2016-08,$40.2B
2016-09,$39.5B
2016-10,$40.92B
2016-11,$44.59B
2016-12,$46.37B
2017-01,$45.45B
2017-02,$46.54B
2017-03,$45.65B
2017-04,$45.85B
2017-05,$45.42B
2017-06,$47.53B
2017-07,$46.87B
2017-08,$46.28B
2017-09,$45.94B
2017-10,$47.3B
2017-11,$47.16B
2017-12,$48.49B
2018-01,$48.69B
2018-02,$48.45B
2018-03,$47.2B
2018-04,$49.18B
2018-05,$44.98B
2018-06,$42.64B
2018-07,$44.32B
2018-08,$42.9B
2018-09,$44.39B
2018-10,$43.53B
2018-11,$43.82B
2018-12,$39.99B
2019-01,$41.87B
2019-02,$41.08B
2019-03,$39.96B
2019-04,$40.42B
2019-05,$36.75B
2019-06,$36.16B
2019-07,$34.97B
2019-08,$31.99B
2019-09,$34.6B
2019-10,$35.76B
2019-11,$35.03B
2019-12,$34.7B
2020-01,$33.58B
2020-02,$32.16B
2020-04,$32.33B
2020-05,$29.41B
2020-06,$27.98B
2020-07,$26.74B
2020-08,$27.65B
2020-09,$27.85B
2020-10,$27.24B
2020-11,$28.75B
2020-12,$28.03B
2021-01,$29.34B
2021-02,$32.32B
2021-03,$35.48B
2021-04,$33.01B
2021-05,$32.16B
2021-06,$30.84B
2021-07,$31.06B
2021-08,$32.65B
2021-09,$33.16B
2021-10,$30.96B
2021-11,$29.55B
2021-12,$31.48B
