timeline,日産化学株式会社
2001-01,$1.38B
2001-02,$1.26B
2001-03,$1.2B
2001-04,$1.43B
2001-05,$1.67B
2001-06,$1.69B
2001-07,$1.63B
2001-08,$1.35B
2001-09,$1.22B
2001-10,$1.17B
2001-11,$0.93B
2001-12,$1.12B
2002-01,$1.16B
2002-02,$1.07B
2002-03,$1.16B
2002-04,$1.19B
2002-05,$1.17B
2002-06,$1.15B
2002-07,$1.0B
2002-08,$0.93B
2002-09,$0.9B
2002-10,$0.74B
2002-12,$0.73B
2003-01,$0.76B
2003-02,$0.8B
2003-03,$0.77B
2003-04,$0.89B
2003-05,$1.02B
2003-06,$1.06B
2003-07,$1.23B
2003-08,$1.49B
2003-09,$1.38B
2003-10,$1.58B
2003-11,$1.55B
2003-12,$1.58B
2004-01,$1.51B
2004-02,$1.47B
2004-03,$1.5B
2004-04,$1.37B
2004-05,$1.27B
2004-06,$1.45B
2004-07,$1.37B
2004-08,$1.45B
2004-09,$1.4B
2004-10,$1.42B
2004-11,$1.33B
2004-12,$1.34B
2005-01,$1.44B
2005-02,$1.56B
2005-03,$1.53B
2005-04,$1.51B
2005-05,$1.85B
2005-06,$1.98B
2005-07,$2.14B
2005-08,$2.23B
2005-09,$2.35B
2005-10,$2.23B
2005-11,$2.72B
2005-12,$2.78B
2006-01,$3.14B
2006-02,$3.19B
2006-03,$3.31B
2006-04,$3.19B
2006-05,$2.55B
2006-06,$2.36B
2006-07,$2.39B
2006-08,$2.52B
2006-09,$2.31B
2006-10,$2.49B
2006-11,$2.28B
2006-12,$2.45B
2007-01,$2.43B
2007-02,$2.51B
2007-03,$2.48B
2007-04,$2.22B
2007-05,$2.15B
2007-06,$2.36B
2007-07,$2.42B
2007-08,$2.36B
2007-09,$2.31B
2007-10,$2.57B
2007-11,$2.47B
2007-12,$2.38B
2008-01,$2.13B
2008-02,$1.96B
2008-03,$1.68B
2008-04,$2.19B
2008-05,$2.27B
2008-06,$2.08B
2008-07,$2.05B
2008-08,$1.92B
2008-09,$1.52B
2008-10,$1.24B
2008-11,$1.33B
2008-12,$1.36B
2009-01,$1.1B
2009-02,$1.04B
2009-03,$1.25B
2009-04,$1.24B
2009-05,$1.52B
2009-06,$1.65B
2009-07,$1.94B
2009-08,$2.07B
2009-09,$1.97B
2009-10,$1.81B
2009-11,$1.74B
2009-12,$2.01B
2010-01,$1.81B
2010-02,$1.82B
2010-03,$1.99B
2010-04,$1.95B
2010-05,$1.63B
2010-06,$1.53B
2010-07,$1.56B
2010-08,$1.3B
2010-09,$1.43B
2010-10,$1.4B
2010-11,$1.53B
2010-12,$1.6B
2011-01,$1.54B
2011-02,$1.44B
2011-03,$1.29B
2011-04,$1.26B
2011-06,$1.33B
2011-07,$1.38B
2011-08,$1.19B
2011-09,$1.1B
2011-10,$1.17B
2011-11,$1.07B
2011-12,$1.12B
2012-01,$1.14B
2012-02,$1.21B
2012-03,$1.17B
2012-04,$1.09B
2012-05,$0.99B
2012-06,$1.16B
2012-07,$1.22B
2012-08,$1.3B
2012-09,$1.31B
2012-10,$1.32B
2012-11,$1.49B
2012-12,$1.52B
2013-01,$1.66B
2013-02,$1.77B
2013-03,$1.7B
2013-04,$1.82B
2013-05,$1.81B
2013-06,$1.93B
2013-07,$1.96B
2013-08,$1.95B
2013-09,$2.13B
2013-10,$2.22B
2013-11,$2.32B
2013-12,$2.41B
2014-01,$2.14B
2014-02,$2.19B
2014-04,$2.16B
2014-05,$2.17B
2014-06,$2.23B
2014-07,$2.7B
2014-08,$2.65B
2014-09,$2.75B
2014-10,$2.88B
2014-11,$3.11B
2015-01,$3.1B
2015-02,$3.24B
2015-03,$3.46B
2015-04,$3.31B
2015-05,$3.76B
2015-07,$3.79B
2015-08,$3.84B
2015-09,$3.6B
2015-10,$4.15B
2015-11,$4.06B
2015-12,$3.8B
2016-01,$3.78B
2016-02,$3.5B
2016-03,$3.95B
2016-04,$4.02B
2016-05,$4.44B
2016-06,$4.01B
2016-07,$4.45B
2016-08,$4.3B
2016-09,$4.1B
2016-10,$4.79B
2016-11,$5.11B
2016-12,$5.25B
2017-01,$5.42B
2017-02,$4.86B
2017-03,$4.33B
2017-04,$4.62B
2017-05,$5.2B
2017-06,$4.92B
2017-07,$4.87B
2017-08,$4.89B
2017-09,$5.25B
2017-10,$5.55B
2017-11,$5.93B
2017-12,$5.92B
2018-01,$5.9B
2018-02,$5.62B
2018-03,$5.84B
2018-04,$6.42B
2018-05,$6.72B
2018-06,$6.79B
2018-07,$6.54B
2018-08,$6.94B
2018-09,$7.85B
2018-10,$6.94B
2018-11,$8.01B
2018-12,$7.49B
2019-01,$7.52B
2019-02,$7.33B
2019-03,$6.61B
2019-04,$6.42B
2019-05,$6.0B
2019-06,$6.31B
2019-07,$6.18B
2019-08,$5.82B
2019-09,$5.81B
2019-10,$5.79B
2019-11,$5.6B
2019-12,$5.91B
2020-01,$5.88B
2020-02,$5.97B
2020-03,$5.05B
2020-04,$5.31B
2020-05,$6.1B
2020-06,$7.04B
2020-07,$7.11B
2020-08,$7.05B
2020-09,$7.06B
2020-10,$7.07B
2020-11,$8.05B
2020-12,$8.03B
2021-01,$8.02B
2021-02,$7.63B
2021-03,$7.66B
2021-04,$7.48B
2021-05,$7.34B
2021-06,$7.03B
2021-07,$6.59B
2021-08,$7.38B
2021-09,$9.02B
2021-10,$7.98B
2021-11,$8.47B
2021-12,$8.34B
