timeline,キリンホールディングス株式会社
2001-01,$9.91B
2001-02,$10.04B
2001-03,$10.09B
2001-04,$10.51B
2001-05,$10.03B
2001-06,$9.38B
2001-07,$9.04B
2001-08,$8.07B
2001-09,$7.96B
2001-10,$8.24B
2001-11,$7.91B
2001-12,$8.14B
2002-01,$7.75B
2002-02,$7.48B
2002-03,$7.65B
2002-04,$8.45B
2002-05,$8.89B
2002-06,$7.29B
2002-07,$6.86B
2002-08,$6.71B
2002-09,$6.25B
2002-10,$6.58B
2002-11,$6.41B
2002-12,$6.56B
2003-01,$7.44B
2003-02,$7.6B
2003-03,$7.7B
2003-04,$7.99B
2003-05,$7.73B
2003-06,$7.33B
2003-07,$6.62B
2003-08,$7.25B
2003-09,$7.42B
2003-10,$7.63B
2003-11,$7.6B
2003-12,$7.79B
2004-01,$7.74B
2004-02,$8.49B
2004-03,$9.57B
2004-04,$9.32B
2004-05,$9.19B
2004-06,$9.2B
2004-07,$9.29B
2004-08,$8.42B
2004-09,$8.11B
2004-11,$8.41B
2004-12,$8.76B
2005-01,$9.1B
2005-02,$9.24B
2005-03,$9.07B
2005-04,$8.87B
2005-05,$9.25B
2005-06,$9.33B
2005-07,$9.14B
2005-08,$9.64B
2005-09,$10.85B
2005-10,$11.16B
2005-12,$11.94B
2006-01,$12.71B
2006-02,$13.36B
2006-03,$13.91B
2006-04,$14.66B
2006-05,$15.51B
2006-06,$15.62B
2006-07,$14.76B
2006-08,$14.16B
2006-09,$13.69B
2006-10,$13.51B
2006-11,$14.17B
2006-12,$16.25B
2007-01,$16.11B
2007-02,$15.9B
2007-03,$14.78B
2007-04,$15.72B
2007-05,$16.36B
2007-06,$16.0B
2007-07,$14.67B
2007-08,$12.53B
2007-09,$13.2B
2007-10,$13.94B
2007-11,$15.19B
2007-12,$13.82B
2008-01,$14.36B
2008-02,$14.86B
2008-03,$15.87B
2008-04,$15.58B
2008-05,$14.69B
2008-06,$13.96B
2008-07,$13.88B
2008-08,$13.77B
2008-09,$11.59B
2008-10,$8.98B
2008-11,$9.75B
2008-12,$9.9B
2009-01,$9.64B
2009-02,$8.01B
2009-03,$9.05B
2009-04,$9.4B
2009-05,$10.4B
2009-06,$11.72B
2009-07,$12.3B
2009-08,$11.84B
2009-09,$11.95B
2009-10,$13.0B
2009-11,$12.26B
2009-12,$12.53B
2010-01,$11.6B
2010-02,$10.31B
2010-03,$11.6B
2010-04,$11.34B
2010-05,$10.33B
2010-06,$9.43B
2010-07,$9.7B
2010-08,$9.77B
2010-09,$9.96B
2010-10,$9.28B
2010-11,$9.8B
2010-12,$9.58B
2011-01,$9.28B
2011-02,$9.8B
2011-03,$9.19B
2011-04,$9.49B
2011-05,$9.56B
2011-06,$9.41B
2011-07,$9.54B
2011-08,$8.54B
2011-09,$8.55B
2011-10,$8.15B
2011-11,$7.85B
2011-12,$7.87B
2012-01,$7.85B
2012-02,$8.04B
2012-03,$9.09B
2012-04,$8.67B
2012-05,$7.64B
2012-06,$7.94B
2012-07,$7.58B
2012-08,$8.27B
2012-09,$8.86B
2012-10,$8.5B
2012-11,$8.58B
2013-01,$9.68B
2013-02,$11.41B
2013-03,$12.81B
2013-04,$14.48B
2013-05,$14.06B
2013-06,$13.18B
2013-07,$12.31B
2013-08,$11.45B
2013-09,$12.12B
2013-10,$12.14B
2013-11,$13.38B
2013-12,$12.4B
2014-01,$11.53B
2014-02,$11.35B
2014-03,$11.72B
2014-04,$11.6B
2014-05,$11.8B
2014-06,$11.99B
2014-07,$11.91B
2014-08,$11.43B
2014-09,$11.94B
2014-10,$11.71B
2014-11,$12.49B
2014-12,$12.05B
2015-01,$12.8B
2015-02,$12.59B
2015-03,$11.98B
2015-04,$12.05B
2015-05,$13.6B
2015-06,$12.81B
2015-07,$14.51B
2015-08,$13.54B
2015-09,$11.9B
2015-10,$13.08B
2015-11,$13.16B
2015-12,$13.26B
2016-01,$13.64B
2016-02,$11.97B
2016-03,$12.7B
2016-04,$12.81B
2016-05,$15.0B
2016-06,$13.87B
2016-07,$14.22B
2016-08,$13.57B
2016-09,$13.45B
2016-10,$14.55B
2016-11,$15.0B
2016-12,$15.3B
2017-01,$14.87B
2017-02,$15.57B
2017-03,$16.91B
2017-04,$17.43B
2017-05,$18.81B
2017-06,$18.42B
2017-07,$19.56B
2017-08,$20.09B
2017-09,$21.31B
2017-10,$21.77B
2017-11,$21.16B
2017-12,$22.86B
2018-01,$21.9B
2018-02,$22.37B
2018-03,$22.8B
2018-04,$24.67B
2018-05,$24.65B
2018-06,$23.6B
2018-07,$22.45B
2018-08,$21.38B
2018-09,$22.65B
2018-10,$20.9B
2018-11,$20.64B
2018-12,$17.8B
2019-01,$20.06B
2019-02,$19.28B
2019-03,$20.46B
2019-04,$19.51B
2019-05,$18.24B
2019-06,$17.99B
2019-07,$18.35B
2019-08,$16.25B
2019-09,$17.72B
2019-10,$17.85B
2019-11,$18.76B
2019-12,$18.31B
2020-01,$18.36B
2020-02,$15.79B
2020-03,$15.83B
2020-04,$15.28B
2020-05,$16.24B
2020-06,$16.73B
2020-07,$15.28B
2020-08,$15.33B
2020-09,$14.79B
2020-10,$14.14B
2020-11,$15.83B
2020-12,$17.75B
2021-01,$16.69B
2021-02,$15.67B
2021-03,$15.9B
2021-04,$15.14B
2021-05,$15.76B
2021-06,$16.41B
2021-07,$15.31B
2021-08,$14.94B
2021-09,$15.74B
2021-10,$15.01B
2021-11,$14.13B
2021-12,$13.65B
