timeline,本田技研工業株式会社
2001-01,$37.3B
2001-02,$38.49B
2001-03,$40.0B
2001-04,$40.1B
2001-05,$40.76B
2001-06,$42.87B
2001-07,$44.77B
2001-08,$35.57B
2001-09,$31.3B
2001-10,$35.37B
2001-11,$37.03B
2001-12,$39.71B
2002-01,$39.44B
2002-02,$38.8B
2002-03,$41.26B
2002-04,$44.22B
2002-05,$42.33B
2002-06,$40.36B
2002-07,$40.93B
2002-08,$41.32B
2002-09,$38.72B
2002-10,$35.23B
2002-11,$37.05B
2002-12,$35.2B
2003-01,$32.55B
2003-02,$35.8B
2003-03,$32.35B
2003-04,$32.51B
2003-05,$35.0B
2003-06,$37.13B
2003-07,$38.51B
2003-08,$39.68B
2003-09,$38.53B
2003-10,$38.32B
2003-11,$38.66B
2003-12,$43.85B
2004-01,$41.59B
2004-02,$42.5B
2004-03,$43.55B
2004-04,$37.92B
2004-05,$40.65B
2004-06,$47.4B
2004-07,$47.3B
2004-08,$48.68B
2004-09,$45.51B
2004-10,$45.38B
2004-11,$44.75B
2004-12,$48.42B
2005-01,$48.77B
2005-02,$49.89B
2005-03,$48.15B
2005-04,$46.34B
2005-05,$47.53B
2005-06,$47.32B
2005-07,$49.55B
2005-08,$51.76B
2005-09,$52.31B
2005-10,$51.23B
2005-11,$51.5B
2005-12,$53.79B
2006-01,$52.83B
2006-02,$54.55B
2006-03,$56.54B
2006-04,$64.7B
2006-05,$60.32B
2006-06,$58.11B
2006-07,$60.17B
2006-08,$61.87B
2006-09,$61.33B
2006-10,$64.43B
2006-11,$64.36B
2006-12,$72.11B
2007-01,$71.73B
2007-02,$67.75B
2007-03,$63.53B
2007-04,$62.73B
2007-05,$64.37B
2007-06,$65.82B
2007-07,$65.33B
2007-08,$59.71B
2007-09,$60.51B
2007-10,$67.89B
2007-11,$62.41B
2007-12,$60.14B
2008-01,$57.23B
2008-02,$55.53B
2008-03,$52.28B
2008-04,$57.61B
2008-05,$60.3B
2008-06,$62.44B
2008-07,$58.7B
2008-08,$59.74B
2008-09,$55.25B
2008-10,$45.45B
2008-11,$40.51B
2008-12,$39.16B
2009-01,$41.58B
2009-02,$43.36B
2009-03,$43.01B
2009-04,$52.73B
2009-05,$52.68B
2009-06,$50.63B
2009-07,$59.07B
2009-08,$57.92B
2009-09,$55.99B
2009-10,$58.04B
2009-11,$56.77B
2009-12,$60.64B
2010-01,$61.73B
2010-02,$62.89B
2010-03,$64.49B
2010-04,$62.01B
2010-05,$55.24B
2010-06,$53.05B
2010-07,$56.57B
2010-08,$59.54B
2010-09,$63.75B
2010-10,$64.79B
2010-11,$64.39B
2010-12,$71.1B
2011-01,$76.28B
2011-02,$78.27B
2011-03,$67.7B
2011-04,$70.49B
2011-05,$68.83B
2011-06,$68.89B
2011-07,$71.39B
2011-08,$58.14B
2011-09,$53.99B
2011-10,$57.24B
2011-11,$55.2B
2011-12,$54.46B
2012-01,$62.9B
2012-02,$69.28B
2012-03,$68.87B
2012-04,$64.93B
2012-05,$57.27B
2012-06,$62.43B
2012-07,$58.97B
2012-08,$56.72B
2012-09,$55.64B
2012-10,$54.06B
2012-11,$59.92B
2012-12,$65.92B
2013-01,$69.36B
2013-02,$67.44B
2013-03,$68.04B
2013-04,$71.38B
2013-05,$68.27B
2013-06,$67.43B
2013-07,$66.73B
2013-08,$64.98B
2013-09,$68.8B
2013-10,$71.61B
2013-11,$76.24B
2013-12,$74.37B
2014-01,$68.26B
2014-02,$64.35B
2014-03,$63.64B
2014-04,$59.38B
2014-05,$63.11B
2014-06,$62.85B
2014-07,$64.01B
2014-08,$61.04B
2014-09,$62.6B
2014-10,$57.41B
2014-11,$54.62B
2014-12,$53.19B
2015-01,$54.57B
2015-02,$59.62B
2015-03,$58.6B
2015-04,$61.21B
2015-05,$62.01B
2015-06,$58.19B
2015-07,$57.8B
2015-08,$56.86B
2015-09,$53.2B
2015-10,$60.23B
2015-11,$58.71B
2015-12,$58.49B
2016-01,$50.64B
2016-02,$45.74B
2016-03,$49.48B
2016-04,$49.89B
2016-05,$51.24B
2016-06,$45.1B
2016-07,$48.86B
2016-08,$55.53B
2016-09,$51.41B
2016-10,$54.18B
2016-11,$53.38B
2016-12,$52.92B
2017-01,$53.69B
2017-02,$55.76B
2017-03,$54.02B
2017-04,$52.35B
2017-05,$50.68B
2017-06,$49.29B
2017-07,$50.69B
2017-08,$50.25B
2017-09,$53.38B
2017-10,$56.18B
2017-11,$59.45B
2017-12,$60.85B
2018-01,$62.56B
2018-02,$64.28B
2018-03,$61.11B
2018-04,$61.43B
2018-05,$56.18B
2018-06,$52.17B
2018-07,$53.2B
2018-08,$52.2B
2018-09,$53.39B
2018-10,$50.46B
2018-11,$49.69B
2018-12,$46.17B
2019-01,$52.47B
2019-02,$50.06B
2019-03,$47.64B
2019-04,$48.85B
2019-05,$42.64B
2019-06,$45.47B
2019-07,$43.92B
2019-08,$41.7B
2019-09,$45.61B
2019-10,$47.57B
2019-11,$49.27B
2019-12,$49.73B
2020-01,$45.28B
2020-02,$44.46B
2020-03,$42.12B
2020-05,$41.85B
2020-06,$47.86B
2020-07,$43.77B
2020-08,$43.95B
2020-09,$41.89B
2020-10,$41.58B
2020-11,$46.76B
2020-12,$49.78B
2021-01,$47.35B
2021-02,$49.23B
2021-03,$51.03B
2021-04,$51.61B
2021-05,$53.4B
2021-06,$56.19B
2021-07,$53.68B
2021-08,$54.45B
2021-09,$53.42B
2021-10,$52.11B
2021-11,$49.97B
2021-12,$48.51B
