timeline,大日本印刷株式会社
2001-03,$8.52B
2001-04,$9.54B
2001-05,$9.21B
2001-06,$8.65B
2001-07,$8.1B
2001-08,$7.21B
2001-09,$6.57B
2001-10,$7.41B
2001-11,$7.5B
2001-12,$7.44B
2002-01,$6.67B
2002-02,$7.31B
2002-03,$8.07B
2002-04,$9.19B
2002-05,$9.78B
2002-06,$9.04B
2002-07,$7.72B
2002-08,$7.75B
2002-09,$7.5B
2002-10,$7.11B
2002-11,$8.26B
2002-12,$7.46B
2003-01,$7.13B
2003-02,$6.78B
2003-03,$6.45B
2003-04,$6.59B
2003-05,$7.01B
2003-06,$7.22B
2003-07,$8.05B
2003-08,$8.46B
2003-09,$8.71B
2003-10,$9.66B
2003-11,$8.59B
2003-12,$8.56B
2004-01,$9.04B
2004-02,$9.67B
2004-03,$9.78B
2004-04,$9.51B
2004-05,$9.71B
2004-06,$9.9B
2004-07,$8.96B
2004-08,$9.14B
2004-09,$8.38B
2004-10,$8.25B
2004-11,$8.74B
2004-12,$9.34B
2005-01,$9.29B
2005-02,$10.01B
2005-03,$9.94B
2005-04,$9.57B
2005-05,$9.78B
2005-06,$10.16B
2005-07,$10.0B
2005-08,$10.01B
2005-09,$10.4B
2005-10,$10.79B
2005-11,$11.62B
2005-12,$11.94B
2006-01,$12.02B
2006-02,$11.71B
2006-03,$12.1B
2006-04,$11.59B
2006-05,$10.5B
2006-06,$10.06B
2006-07,$10.26B
2006-08,$9.93B
2006-09,$10.36B
2006-10,$9.89B
2006-11,$9.86B
2006-12,$10.44B
2007-01,$10.75B
2007-02,$10.17B
2007-03,$10.54B
2007-04,$10.86B
2007-05,$10.14B
2007-06,$10.45B
2007-07,$9.94B
2007-08,$9.61B
2007-09,$9.33B
2007-10,$9.47B
2007-11,$9.19B
2007-12,$9.34B
2008-01,$8.75B
2008-02,$9.4B
2008-03,$9.01B
2008-04,$9.1B
2008-05,$9.17B
2008-06,$8.89B
2008-07,$8.46B
2008-08,$8.81B
2008-09,$8.06B
2008-10,$6.48B
2008-11,$5.72B
2008-12,$5.56B
2009-01,$5.07B
2009-02,$4.77B
2009-03,$5.11B
2009-04,$5.92B
2009-05,$6.92B
2009-06,$7.52B
2009-07,$7.88B
2009-08,$7.72B
2009-09,$7.02B
2009-10,$6.55B
2009-11,$6.06B
2009-12,$6.71B
2010-01,$7.04B
2010-02,$6.68B
2010-03,$7.18B
2010-04,$7.42B
2010-05,$6.34B
2010-06,$5.87B
2010-07,$5.94B
2010-08,$5.55B
2010-09,$5.79B
2010-10,$5.77B
2010-11,$5.99B
2010-12,$6.28B
2011-01,$6.38B
2011-02,$6.26B
2011-03,$5.76B
2011-04,$5.49B
2011-05,$5.28B
2011-06,$5.13B
2011-07,$4.98B
2011-08,$4.52B
2011-09,$4.59B
2011-10,$4.72B
2011-11,$4.23B
2011-12,$4.2B
2012-01,$4.66B
2012-02,$4.76B
2012-03,$4.81B
2012-04,$4.05B
2012-05,$3.37B
2012-06,$3.53B
2012-07,$3.4B
2012-08,$3.15B
2012-09,$3.09B
2012-10,$3.21B
2012-11,$3.51B
2012-12,$3.82B
2013-01,$4.2B
2013-02,$4.63B
2013-03,$5.03B
2013-04,$5.41B
2013-05,$4.97B
2013-06,$5.15B
2013-07,$4.96B
2013-08,$5.42B
2013-09,$5.9B
2013-10,$5.84B
2013-11,$6.0B
2013-12,$6.34B
2014-01,$5.82B
2014-02,$5.81B
2014-03,$5.62B
2014-04,$5.24B
2014-05,$5.79B
2014-06,$6.01B
2014-07,$6.04B
2014-08,$6.2B
2014-09,$6.24B
2014-10,$6.15B
2014-11,$5.92B
2014-12,$6.19B
2015-01,$6.05B
2015-02,$6.58B
2015-03,$6.63B
2015-04,$7.06B
2015-05,$7.46B
2015-06,$6.96B
2015-07,$7.58B
2015-08,$6.87B
2015-09,$6.35B
2015-10,$6.92B
2015-11,$6.62B
2015-12,$6.63B
2016-01,$6.13B
2016-02,$5.34B
2016-03,$5.54B
2016-04,$5.77B
2016-05,$6.3B
2016-06,$6.12B
2016-07,$6.22B
2016-08,$5.67B
2016-09,$5.32B
2016-10,$5.69B
2016-11,$5.84B
2016-12,$6.23B
2017-01,$6.2B
2017-02,$6.59B
2017-03,$6.51B
2017-04,$6.73B
2017-05,$6.68B
2017-07,$6.48B
2017-08,$6.91B
2017-09,$7.17B
2017-10,$7.2B
2017-11,$6.54B
2017-12,$6.69B
2018-01,$6.47B
2018-02,$5.99B
2018-03,$5.85B
2018-04,$6.27B
2018-05,$6.23B
2018-06,$6.59B
2018-07,$6.48B
2018-08,$6.63B
2018-09,$7.03B
2018-10,$6.74B
2018-11,$6.98B
2018-12,$6.11B
2019-01,$6.69B
2019-02,$6.86B
2019-03,$7.04B
2019-04,$7.01B
2019-05,$6.27B
2019-06,$6.11B
2019-08,$6.12B
2019-09,$7.4B
2019-10,$7.61B
2019-11,$7.66B
2019-12,$7.57B
2020-01,$7.7B
2020-02,$6.56B
2020-03,$5.64B
2020-05,$5.74B
2020-06,$6.12B
2020-07,$5.83B
2020-08,$5.64B
2020-09,$5.38B
2020-10,$5.0B
2020-11,$4.96B
2020-12,$4.67B
2021-01,$4.58B
2021-02,$4.78B
2021-03,$5.64B
2021-04,$5.52B
2021-05,$5.75B
2021-06,$5.87B
2021-07,$6.21B
2021-08,$6.38B
2021-09,$6.85B
2021-10,$6.66B
2021-11,$6.71B
2021-12,$6.56B
