timeline,小田急電鉄株式会社
2012-03,$4.98B
2012-04,$4.71B
2012-05,$4.53B
2012-06,$5.04B
2012-07,$5.12B
2012-08,$5.29B
2012-09,$5.23B
2012-10,$5.39B
2012-11,$5.35B
2012-12,$5.72B
2013-01,$5.83B
2013-02,$6.23B
2013-03,$7.46B
2013-04,$7.47B
2013-05,$6.3B
2013-06,$6.16B
2013-07,$5.93B
2013-08,$5.71B
2013-09,$6.21B
2013-10,$6.02B
2013-11,$5.8B
2013-12,$6.05B
2014-01,$5.77B
2014-02,$5.79B
2014-03,$5.66B
2014-04,$5.71B
2014-05,$5.82B
2014-06,$6.2B
2014-07,$6.46B
2014-08,$6.53B
2014-09,$6.38B
2014-10,$6.6B
2014-11,$6.92B
2014-12,$6.82B
2015-01,$7.33B
2015-02,$7.93B
2015-03,$7.79B
2015-04,$7.68B
2015-05,$7.5B
2015-06,$7.27B
2015-07,$7.89B
2015-08,$7.05B
2015-09,$6.83B
2015-10,$7.56B
2015-11,$7.96B
2015-12,$8.33B
2016-01,$8.07B
2016-02,$8.27B
2016-03,$7.65B
2016-04,$7.45B
2016-05,$7.52B
2016-06,$7.61B
2016-07,$7.76B
2016-08,$6.75B
2016-09,$7.12B
2016-10,$6.82B
2016-11,$7.11B
2016-12,$7.35B
2017-01,$7.11B
2017-02,$7.06B
2017-03,$6.89B
2017-04,$6.87B
2017-05,$7.06B
2017-06,$7.2B
2017-07,$6.95B
2017-08,$6.77B
2017-09,$6.79B
2017-10,$7.03B
2017-11,$7.58B
2017-12,$7.66B
2018-01,$7.63B
2018-02,$6.94B
2018-03,$6.85B
2018-04,$7.51B
2018-05,$7.49B
2018-06,$7.56B
2018-07,$7.52B
2018-08,$7.64B
2018-09,$8.55B
2018-10,$7.59B
2018-11,$8.09B
2018-12,$7.68B
2019-01,$7.77B
2019-02,$8.27B
2019-03,$8.53B
2019-04,$8.31B
2019-05,$8.52B
2019-06,$8.38B
2019-07,$7.75B
2019-08,$7.66B
2019-09,$8.22B
2019-10,$8.4B
2019-11,$8.7B
2019-12,$8.11B
2020-01,$7.74B
2020-02,$6.79B
2020-03,$7.71B
2020-04,$7.67B
2020-05,$8.61B
2020-06,$8.49B
2020-07,$7.67B
2020-08,$8.3B
2020-09,$8.47B
2020-10,$8.01B
2020-11,$10.11B
2020-12,$10.16B
2021-01,$10.0B
2021-02,$10.47B
2021-03,$10.13B
2021-04,$9.38B
2021-05,$9.18B
2021-06,$9.26B
2021-07,$8.75B
2021-08,$8.51B
2021-09,$8.45B
2021-10,$7.93B
2021-11,$7.31B
2021-12,$7.04B
