timeline,株式会社オービック
2006-03,$2.12B
2006-04,$2.0B
2006-05,$1.97B
2006-06,$1.98B
2006-07,$2.08B
2006-08,$2.02B
2006-09,$2.14B
2006-10,$2.12B
2006-11,$2.06B
2006-12,$2.11B
2007-01,$2.18B
2007-02,$2.05B
2007-03,$1.99B
2007-04,$1.91B
2007-05,$2.06B
2007-06,$2.08B
2007-07,$2.01B
2007-08,$1.96B
2007-09,$1.91B
2007-10,$1.97B
2007-11,$1.81B
2007-12,$1.77B
2008-01,$1.71B
2008-02,$1.67B
2008-03,$1.51B
2008-04,$1.63B
2008-05,$1.57B
2008-06,$1.52B
2008-07,$1.68B
2008-08,$1.65B
2008-09,$1.46B
2008-10,$1.02B
2008-11,$1.27B
2008-12,$1.24B
2009-01,$1.21B
2009-02,$1.12B
2009-03,$1.05B
2009-04,$1.13B
2009-05,$1.2B
2009-06,$1.33B
2009-07,$1.37B
2009-08,$1.29B
2009-10,$1.31B
2009-11,$1.22B
2009-12,$1.29B
2010-01,$1.43B
2010-02,$1.32B
2010-03,$1.44B
2010-04,$1.61B
2010-05,$1.49B
2010-06,$1.46B
2010-07,$1.39B
2010-08,$1.34B
2010-10,$1.26B
2010-11,$1.28B
2010-12,$1.42B
2011-01,$1.34B
2011-02,$1.39B
2011-03,$1.34B
2011-04,$1.28B
2011-05,$1.23B
2011-06,$1.25B
2011-07,$1.26B
2011-08,$1.19B
2011-09,$1.25B
2011-11,$1.16B
2011-12,$1.22B
2012-01,$1.23B
2012-02,$1.29B
2012-03,$1.39B
2012-04,$1.4B
2012-05,$1.27B
2012-07,$1.32B
2012-08,$1.37B
2012-09,$1.36B
2012-11,$1.52B
2012-12,$1.43B
2013-01,$1.63B
2013-03,$1.8B
2013-04,$2.03B
2013-05,$1.97B
2013-06,$2.05B
2013-07,$2.18B
2013-08,$2.28B
2013-09,$2.5B
2013-10,$2.44B
2013-11,$2.38B
2013-12,$2.46B
2014-01,$2.51B
2014-02,$2.53B
2014-03,$2.58B
2014-04,$2.42B
2014-05,$2.56B
2014-06,$2.64B
2014-07,$2.9B
2014-08,$2.82B
2014-09,$3.1B
2014-10,$3.09B
2014-11,$2.99B
2014-12,$3.11B
2015-01,$3.14B
2015-02,$3.51B
2015-03,$4.03B
2015-04,$3.97B
2015-05,$4.02B
2015-06,$4.32B
2015-07,$4.66B
2015-08,$4.28B
2015-09,$4.31B
2015-10,$5.08B
2015-11,$5.18B
2015-12,$5.09B
2016-01,$4.88B
2016-02,$4.44B
2016-03,$4.67B
2016-04,$4.56B
2016-05,$4.73B
2016-06,$4.4B
2016-07,$4.73B
2016-08,$4.16B
2016-09,$4.2B
2016-10,$4.28B
2016-11,$3.94B
2016-12,$4.01B
2017-01,$4.25B
2017-02,$4.1B
2017-03,$4.16B
2017-04,$4.72B
2017-05,$5.04B
2017-06,$5.41B
2017-07,$5.4B
2017-09,$5.55B
2017-10,$5.86B
2017-11,$6.11B
2017-12,$6.49B
2018-01,$6.66B
2018-02,$7.01B
2018-03,$6.94B
2018-04,$7.19B
2018-05,$7.39B
2018-06,$7.19B
2018-07,$7.51B
2018-08,$8.19B
2018-09,$8.43B
2018-10,$8.06B
2018-11,$7.69B
2018-12,$6.66B
2019-01,$8.06B
2019-02,$8.34B
2019-03,$8.75B
2019-04,$10.09B
2019-05,$10.3B
2019-06,$9.57B
2019-07,$9.15B
2019-08,$9.53B
2019-09,$9.66B
2019-10,$10.7B
2019-11,$11.39B
2019-12,$11.58B
2020-01,$11.77B
2020-02,$10.42B
2020-03,$11.1B
2020-05,$13.76B
2020-06,$14.54B
2020-07,$14.9B
2020-08,$14.68B
2020-09,$14.84B
2020-10,$14.15B
2020-11,$17.05B
2020-12,$16.75B
2021-01,$15.91B
2021-02,$14.94B
2021-03,$15.46B
2021-04,$15.67B
2021-05,$15.69B
2021-06,$16.01B
2021-07,$15.91B
2021-08,$16.36B
2021-09,$18.67B
2021-10,$16.76B
2021-11,$16.37B
2021-12,$16.39B
