timeline,東京瓦斯株式会社
2009-12,$8.82B
2010-01,$8.7B
2010-02,$9.15B
2010-03,$9.79B
2010-04,$9.48B
2010-05,$9.43B
2010-06,$9.55B
2010-07,$9.27B
2010-08,$9.25B
2010-09,$8.94B
2010-11,$8.61B
2010-12,$8.49B
2011-01,$8.42B
2011-02,$8.61B
2011-03,$8.96B
2011-04,$8.47B
2011-05,$8.16B
2011-06,$8.56B
2011-07,$8.65B
2011-08,$8.28B
2011-09,$8.51B
2011-10,$7.95B
2011-11,$7.78B
2011-12,$8.35B
2012-01,$8.01B
2012-02,$8.44B
2012-03,$8.88B
2012-04,$8.78B
2012-05,$8.47B
2012-06,$9.22B
2012-07,$9.06B
2012-08,$9.78B
2012-09,$9.74B
2012-10,$9.58B
2012-11,$9.17B
2012-12,$8.94B
2013-01,$9.76B
2013-02,$10.14B
2013-03,$11.64B
2013-04,$12.59B
2013-05,$12.34B
2013-06,$12.41B
2013-07,$12.2B
2013-08,$11.28B
2013-09,$11.9B
2013-10,$11.76B
2013-11,$11.28B
2013-12,$11.45B
2014-01,$11.32B
2014-02,$11.28B
2014-03,$11.59B
2014-04,$11.83B
2014-05,$12.73B
2014-06,$13.09B
2014-07,$13.1B
2014-08,$12.7B
2014-09,$13.25B
2014-10,$13.66B
2014-11,$13.91B
2014-12,$14.01B
2015-01,$15.18B
2015-02,$15.65B
2015-03,$16.25B
2015-04,$14.88B
2015-05,$14.78B
2015-06,$13.96B
2015-07,$14.39B
2015-08,$14.25B
2015-09,$12.16B
2015-10,$12.66B
2015-11,$12.38B
2015-12,$12.01B
2016-01,$11.57B
2016-02,$10.97B
2016-03,$11.04B
2016-04,$10.21B
2016-05,$9.43B
2016-06,$8.85B
2016-07,$9.24B
2016-08,$9.33B
2016-09,$9.05B
2016-10,$9.63B
2016-11,$10.08B
2016-12,$10.69B
2017-01,$10.1B
2017-02,$10.31B
2017-03,$10.24B
2017-04,$10.46B
2017-05,$11.62B
2017-06,$11.75B
2017-07,$11.76B
2017-08,$11.72B
2017-09,$11.09B
2017-10,$11.34B
2017-11,$10.59B
2017-12,$10.37B
2018-01,$10.43B
2018-02,$10.8B
2018-03,$11.34B
2018-04,$11.79B
2018-05,$11.81B
2018-06,$11.71B
2018-07,$10.79B
2018-08,$10.43B
2018-09,$11.06B
2018-10,$11.02B
2018-11,$11.59B
2018-12,$11.03B
2019-01,$11.32B
2019-02,$12.14B
2019-03,$11.86B
2019-04,$11.2B
2019-05,$10.6B
2019-06,$9.97B
2019-07,$10.57B
2019-08,$10.43B
2019-09,$10.58B
2019-10,$10.27B
2019-12,$10.3B
2020-01,$9.35B
2020-02,$8.48B
2020-03,$9.49B
2020-04,$9.16B
2020-05,$9.98B
2020-06,$10.02B
2020-07,$9.52B
2020-08,$9.05B
2020-09,$9.21B
2020-10,$9.11B
2020-11,$9.72B
2020-12,$9.0B
2021-01,$9.08B
2021-02,$8.86B
2021-03,$9.32B
2021-04,$8.95B
2021-05,$8.7B
2021-06,$8.25B
2021-07,$8.12B
2021-08,$8.57B
2021-09,$8.68B
2021-10,$7.68B
2021-11,$7.68B
2021-12,$7.7B
