timeline,シャープ株式会社
2001-01,$162.97B
2001-02,$148.66B
2001-03,$158.6B
2001-04,$168.84B
2001-05,$169.24B
2001-06,$168.94B
2001-07,$142.7B
2001-08,$126.01B
2001-09,$104.94B
2001-10,$125.81B
2001-11,$158.8B
2001-12,$152.34B
2002-01,$134.95B
2002-02,$159.0B
2002-03,$172.29B
2002-04,$176.96B
2002-05,$159.67B
2002-06,$151.23B
2002-07,$145.66B
2002-08,$125.2B
2002-09,$116.15B
2002-10,$102.34B
2002-11,$132.25B
2002-12,$111.98B
2003-01,$116.25B
2003-02,$127.58B
2003-03,$11.25B
2003-04,$12.02B
2003-05,$12.64B
2003-06,$14.81B
2003-07,$16.39B
2003-08,$16.82B
2003-09,$15.72B
2003-10,$16.64B
2003-11,$15.76B
2003-12,$16.26B
2004-01,$18.3B
2004-02,$17.42B
2004-03,$17.88B
2004-04,$19.14B
2004-05,$18.06B
2004-06,$16.77B
2004-07,$15.48B
2004-08,$14.72B
2004-09,$14.58B
2004-10,$14.08B
2004-11,$15.9B
2004-12,$16.09B
2005-01,$15.27B
2005-02,$16.04B
2005-03,$15.89B
2005-04,$16.05B
2005-05,$16.52B
2005-06,$16.99B
2005-07,$16.67B
2005-08,$16.33B
2005-09,$16.11B
2005-10,$15.58B
2005-11,$18.18B
2005-12,$17.58B
2006-01,$21.01B
2006-02,$20.28B
2006-03,$20.43B
2006-04,$19.58B
2006-05,$18.22B
2006-06,$17.71B
2006-07,$18.98B
2006-08,$20.57B
2006-09,$19.84B
2006-10,$20.43B
2006-11,$19.09B
2006-12,$20.08B
2007-01,$20.13B
2007-02,$21.5B
2007-03,$21.84B
2007-04,$21.26B
2007-05,$22.42B
2007-06,$22.51B
2007-07,$19.87B
2007-08,$19.38B
2007-09,$20.06B
2007-10,$17.36B
2007-11,$17.51B
2007-12,$19.34B
2008-01,$17.69B
2008-02,$18.55B
2008-03,$16.44B
2008-04,$16.96B
2008-05,$17.86B
2008-06,$16.78B
2008-07,$14.62B
2008-08,$13.59B
2008-09,$10.93B
2008-10,$6.67B
2008-11,$6.25B
2008-12,$6.17B
2009-01,$6.57B
2009-02,$7.44B
2009-03,$7.53B
2009-04,$9.96B
2009-05,$10.49B
2009-06,$9.74B
2009-07,$10.22B
2009-08,$10.43B
2009-09,$9.69B
2009-10,$9.62B
2009-11,$9.59B
2009-12,$11.33B
2010-01,$10.52B
2010-02,$10.0B
2010-03,$11.35B
2010-04,$11.9B
2010-05,$9.63B
2010-06,$9.18B
2010-07,$9.19B
2010-08,$7.8B
2010-09,$8.07B
2010-10,$7.72B
2010-11,$7.81B
2010-12,$8.12B
2011-01,$8.26B
2011-02,$8.59B
2011-03,$8.01B
2011-04,$7.19B
2011-05,$7.38B
2011-06,$7.09B
2011-07,$6.9B
2011-08,$6.11B
2011-09,$6.37B
2011-10,$7.13B
2011-11,$7.48B
2011-12,$6.53B
2012-01,$6.37B
2012-02,$5.55B
2012-03,$5.86B
2012-04,$5.01B
2012-05,$3.99B
2012-06,$3.9B
2012-07,$2.64B
2012-08,$1.92B
2012-09,$1.87B
2012-10,$1.67B
2012-12,$3.02B
2013-01,$3.1B
2013-02,$2.93B
2013-03,$2.8B
2013-04,$3.48B
2013-05,$4.9B
2013-06,$4.16B
2013-07,$4.2B
2013-08,$3.99B
2013-09,$3.74B
2013-10,$3.0B
2013-11,$4.87B
2013-12,$4.98B
2014-01,$5.28B
2014-02,$4.91B
2014-03,$4.68B
2014-04,$3.82B
2014-05,$4.3B
2014-06,$4.85B
2014-07,$4.86B
2014-08,$4.89B
2014-09,$4.65B
2014-10,$4.09B
2014-11,$4.22B
2014-12,$4.0B
2015-01,$3.46B
2015-02,$3.79B
2015-03,$3.5B
2015-04,$3.88B
2015-05,$2.59B
2015-06,$2.22B
2015-07,$2.45B
2015-08,$2.64B
2015-09,$2.04B
2015-10,$1.98B
2015-11,$1.88B
2015-12,$1.86B
2016-01,$2.07B
2016-02,$1.92B
2016-04,$2.21B
2016-05,$2.24B
2016-06,$1.64B
2016-07,$1.37B
2016-08,$2.13B
2016-09,$5.92B
2016-10,$7.94B
2016-11,$8.29B
2016-12,$11.84B
2017-01,$13.33B
2017-02,$14.61B
2017-03,$20.61B
2017-04,$17.63B
2017-05,$17.76B
2017-06,$18.29B
2017-07,$17.02B
2017-08,$14.47B
2017-09,$14.89B
2017-10,$15.72B
2017-11,$15.5B
2017-12,$17.01B
2018-01,$17.91B
2018-02,$16.49B
2018-03,$13.98B
2018-04,$14.13B
2018-05,$12.73B
2018-06,$11.87B
2018-07,$11.36B
2018-08,$12.36B
2018-09,$10.84B
2018-10,$8.12B
2018-11,$7.9B
2018-12,$5.17B
2019-01,$5.41B
2019-02,$6.11B
2019-03,$5.72B
2019-04,$5.8B
2019-05,$4.64B
2019-06,$5.55B
2019-07,$6.47B
2019-08,$5.14B
2019-09,$5.61B
2019-10,$5.91B
2019-11,$7.76B
2019-12,$7.91B
2020-01,$7.14B
2020-02,$5.91B
2020-03,$5.33B
2020-04,$5.63B
2020-05,$5.48B
2020-06,$5.38B
2020-07,$4.83B
2020-08,$5.98B
2020-09,$6.18B
2020-10,$5.63B
2020-11,$6.46B
2020-12,$6.87B
2021-01,$9.09B
2021-02,$10.34B
2021-03,$9.97B
2021-04,$9.95B
2021-05,$10.45B
2021-06,$10.33B
2021-07,$9.17B
2021-08,$8.37B
2021-09,$7.91B
2021-10,$7.37B
2021-11,$7.23B
2021-12,$6.94B
