timeline,株式会社神戸物産
2009-10,$0.1B
2009-11,$0.09B
2009-12,$0.1B
2010-01,$0.1B
2010-02,$0.1B
2010-03,$0.11B
2010-11,$0.13B
2011-02,$0.14B
2011-03,$0.15B
2011-08,$0.16B
2011-09,$0.15B
2011-11,$0.14B
2012-03,$0.15B
2012-06,$0.14B
2012-08,$0.15B
2012-12,$0.16B
2013-05,$0.15B
2013-06,$0.16B
2013-08,$0.17B
2013-10,$0.14B
2014-01,$0.15B
2014-03,$0.19B
2014-06,$0.2B
2014-08,$0.21B
2014-09,$0.26B
2014-10,$0.3B
2014-11,$0.4B
2014-12,$0.6B
2015-01,$0.61B
2015-02,$0.51B
2015-03,$0.52B
2015-04,$0.61B
2015-05,$0.65B
2015-06,$0.79B
2015-07,$1.41B
2015-08,$1.36B
2015-09,$1.3B
2015-10,$1.12B
2015-11,$1.06B
2015-12,$0.89B
2016-01,$0.65B
2016-02,$0.6B
2016-04,$0.55B
2016-05,$0.58B
2016-06,$0.48B
2016-07,$0.47B
2016-08,$0.49B
2016-09,$0.64B
2016-10,$0.76B
2016-11,$0.7B
2016-12,$0.95B
2017-01,$0.84B
2017-02,$0.88B
2017-03,$0.99B
2017-04,$0.95B
2017-05,$0.99B
2017-06,$1.23B
2017-07,$1.26B
2017-08,$1.31B
2017-09,$1.16B
2017-10,$1.14B
2017-11,$1.19B
2017-12,$1.01B
2018-01,$1.05B
2018-02,$1.0B
2018-03,$1.12B
2018-04,$1.24B
2018-05,$1.23B
2018-06,$1.27B
2018-07,$1.28B
2018-08,$1.27B
2018-09,$1.5B
2018-10,$1.35B
2018-11,$1.64B
2018-12,$1.53B
2019-01,$1.58B
2019-02,$1.79B
2019-03,$1.97B
2019-04,$2.08B
2019-05,$2.35B
2019-06,$2.46B
2019-07,$2.88B
2019-08,$2.46B
2019-10,$3.04B
2019-11,$3.22B
2019-12,$3.55B
2020-01,$3.98B
2020-02,$3.73B
2020-03,$4.04B
2020-04,$4.91B
2020-05,$5.29B
2020-06,$5.76B
2020-07,$6.21B
2020-08,$6.4B
2020-09,$5.59B
2020-10,$5.4B
2020-11,$6.12B
2020-12,$6.22B
2021-01,$5.62B
2021-02,$5.53B
2021-03,$5.66B
2021-04,$5.7B
2021-05,$5.39B
2021-06,$5.79B
2021-07,$7.35B
2021-08,$7.97B
2021-09,$8.4B
2021-10,$7.18B
2021-11,$8.17B
2021-12,$7.89B
