timeline,株式会社極洋
2009-03,$0.17B
2009-05,$0.18B
2009-06,$0.19B
2009-07,$0.18B
2009-10,$0.17B
2009-11,$0.16B
2009-12,$0.17B
2010-02,$0.18B
2010-03,$0.19B
2010-04,$0.18B
2010-05,$0.17B
2010-08,$0.16B
2010-10,$0.15B
2010-11,$0.16B
2010-12,$0.17B
2011-02,$0.18B
2011-03,$0.16B
2011-04,$0.15B
2011-05,$0.16B
2011-06,$0.17B
2011-10,$0.16B
2012-01,$0.17B
2012-02,$0.18B
2012-05,$0.17B
2012-06,$0.18B
2012-07,$0.17B
2012-08,$0.16B
2012-11,$0.17B
2012-12,$0.18B
2013-01,$0.19B
2013-02,$0.2B
2013-04,$0.23B
2013-05,$0.25B
2013-06,$0.24B
2013-09,$0.26B
2013-10,$0.25B
2013-11,$0.24B
2013-12,$0.25B
2014-03,$0.24B
2014-08,$0.23B
2014-09,$0.24B
2014-11,$0.25B
2015-01,$0.26B
2015-02,$0.28B
2015-03,$0.26B
2015-05,$0.27B
2015-06,$0.26B
2015-08,$0.25B
2015-09,$0.24B
2015-11,$0.25B
2015-12,$0.26B
2016-01,$0.25B
2016-02,$0.24B
2016-05,$0.25B
2016-06,$0.24B
2016-07,$0.25B
2016-08,$0.24B
2016-09,$0.25B
2016-10,$0.26B
2016-11,$0.25B
2017-02,$0.28B
2017-03,$0.27B
2017-05,$0.28B
2017-06,$0.29B
2017-08,$0.31B
2017-10,$0.34B
2017-11,$0.36B
2017-12,$0.4B
2018-01,$0.38B
2018-02,$0.36B
2018-03,$0.35B
2018-04,$0.36B
2018-06,$0.34B
2018-07,$0.33B
2018-08,$0.3B
2018-09,$0.32B
2018-10,$0.29B
2018-11,$0.31B
2018-12,$0.27B
2019-01,$0.26B
2019-02,$0.29B
2019-03,$0.27B
2019-04,$0.26B
2019-06,$0.27B
2019-07,$0.29B
2019-08,$0.27B
2019-10,$0.28B
2019-12,$0.27B
2020-02,$0.25B
2020-03,$0.24B
2020-05,$0.26B
2020-07,$0.25B
2020-08,$0.26B
2020-09,$0.27B
2020-10,$0.26B
2020-11,$0.26B
2020-12,$0.28B
2021-01,$0.29B
2021-02,$0.28B
2021-03,$0.3B
2021-04,$0.29B
2021-06,$0.27B
2021-07,$0.29B
2021-08,$0.29B
2021-09,$0.3B
2021-10,$0.29B
2021-11,$0.28B
2021-12,$0.29B
