timeline,株式会社リクルートホールディングス
2015-11,$17.67B
2015-12,$16.69B
2016-01,$17.98B
2016-02,$16.63B
2016-03,$17.26B
2016-04,$17.84B
2016-05,$19.23B
2016-06,$20.52B
2016-07,$21.15B
2016-08,$21.6B
2016-09,$22.93B
2016-10,$22.79B
2016-11,$21.91B
2016-12,$22.77B
2017-01,$24.56B
2017-02,$27.59B
2017-03,$28.29B
2017-04,$28.18B
2017-05,$29.49B
2017-06,$29.67B
2017-07,$29.74B
2017-08,$33.13B
2017-09,$36.19B
2017-10,$41.04B
2017-11,$39.47B
2017-12,$41.43B
2018-01,$40.85B
2018-02,$40.29B
2018-03,$41.48B
2018-04,$38.71B
2018-05,$46.55B
2018-06,$46.34B
2018-07,$45.97B
2018-08,$50.97B
2018-09,$55.87B
2018-10,$44.87B
2018-11,$46.0B
2018-12,$40.31B
2019-01,$44.64B
2019-02,$46.92B
2019-03,$47.72B
2019-04,$49.79B
2019-05,$52.97B
2019-06,$55.71B
2019-07,$57.21B
2019-08,$50.51B
2019-09,$50.82B
2019-10,$54.98B
2019-11,$59.92B
2019-12,$62.06B
2020-01,$65.15B
2020-02,$56.48B
2020-03,$42.65B
2020-04,$49.2B
2020-05,$56.81B
2020-06,$56.41B
2020-07,$54.46B
2020-08,$58.49B
2020-09,$65.51B
2020-10,$65.7B
2020-11,$71.6B
2020-12,$66.89B
2021-01,$71.18B
2021-02,$81.31B
2021-03,$79.09B
2021-04,$76.08B
2021-05,$78.78B
2021-06,$82.83B
2021-07,$83.93B
2021-08,$93.11B
2021-09,$103.78B
2021-10,$103.65B
2021-11,$110.4B
2021-12,$105.3B
