timeline,エーザイ株式会社
2001-01,$7.71B
2001-02,$7.81B
2001-03,$8.15B
2001-04,$8.29B
2001-05,$7.68B
2001-06,$7.31B
2001-07,$6.85B
2001-08,$7.67B
2001-09,$7.25B
2001-10,$8.18B
2001-11,$7.89B
2001-12,$8.52B
2002-01,$7.97B
2002-02,$8.42B
2002-03,$8.1B
2002-04,$8.49B
2002-05,$8.64B
2002-06,$7.92B
2002-07,$7.42B
2002-08,$7.92B
2002-09,$7.23B
2002-10,$6.8B
2002-11,$6.49B
2002-12,$6.85B
2003-01,$6.15B
2003-02,$5.92B
2003-03,$5.71B
2003-04,$5.5B
2003-05,$6.48B
2003-06,$6.46B
2003-07,$6.2B
2003-08,$6.38B
2003-09,$6.82B
2003-10,$6.75B
2003-11,$7.26B
2003-12,$7.56B
2004-01,$7.29B
2004-02,$7.75B
2004-03,$7.15B
2004-05,$7.28B
2004-06,$7.97B
2004-07,$8.3B
2004-08,$7.92B
2004-09,$7.61B
2004-10,$7.74B
2004-11,$7.79B
2004-12,$8.55B
2005-01,$8.52B
2005-02,$8.96B
2005-03,$9.17B
2005-04,$8.82B
2005-05,$9.27B
2005-06,$9.4B
2005-07,$9.65B
2005-08,$10.56B
2005-09,$12.22B
2005-10,$11.44B
2005-11,$11.62B
2005-12,$12.47B
2006-01,$12.62B
2006-02,$13.63B
2006-03,$12.93B
2006-04,$13.13B
2006-05,$12.83B
2006-06,$12.98B
2006-07,$13.33B
2006-08,$14.09B
2006-09,$14.39B
2006-10,$15.1B
2006-11,$15.58B
2006-12,$16.48B
2007-01,$15.6B
2007-02,$15.2B
2007-03,$14.77B
2007-04,$14.9B
2007-05,$14.8B
2007-06,$14.07B
2007-07,$13.15B
2007-08,$12.6B
2007-09,$14.2B
2007-10,$12.6B
2007-11,$12.81B
2007-12,$11.5B
2008-01,$11.45B
2008-02,$9.88B
2008-03,$8.89B
2008-04,$9.62B
2008-05,$9.99B
2008-06,$9.8B
2008-07,$10.14B
2008-08,$11.4B
2008-09,$10.69B
2008-10,$8.24B
2008-11,$8.45B
2008-12,$9.67B
2009-01,$8.71B
2009-02,$7.95B
2009-03,$7.23B
2009-04,$6.67B
2009-05,$8.16B
2009-06,$8.64B
2009-07,$8.46B
2009-08,$8.57B
2009-09,$8.49B
2009-10,$8.16B
2009-11,$7.96B
2009-12,$8.59B
2010-01,$8.45B
2010-02,$8.7B
2010-03,$8.38B
2010-04,$8.1B
2010-05,$7.62B
2010-06,$7.42B
2010-07,$7.41B
2010-08,$7.61B
2010-09,$7.33B
2010-10,$6.95B
2010-11,$7.23B
2010-12,$7.39B
2011-01,$7.14B
2011-02,$7.67B
2011-03,$7.5B
2011-04,$7.39B
2011-05,$7.76B
2011-06,$7.88B
2011-07,$7.86B
2011-08,$8.18B
2011-09,$7.85B
2011-10,$7.84B
2011-11,$7.44B
2011-12,$8.0B
2012-01,$7.93B
2012-02,$8.27B
2012-03,$8.6B
2012-04,$8.16B
2012-05,$8.35B
2012-06,$9.13B
2012-07,$8.68B
2012-08,$8.98B
2012-09,$8.84B
2012-10,$8.93B
2012-11,$8.69B
2012-12,$9.04B
2013-01,$10.05B
2013-02,$10.38B
2013-03,$10.55B
2013-04,$11.17B
2013-05,$9.8B
2013-06,$10.17B
2013-07,$10.42B
2013-08,$10.07B
2013-09,$10.03B
2013-10,$9.68B
2013-11,$10.05B
2013-12,$10.24B
2014-01,$9.91B
2014-02,$9.98B
2014-03,$10.11B
2014-04,$9.92B
2014-05,$10.47B
2014-06,$10.67B
2014-07,$11.06B
2014-08,$10.93B
2014-09,$11.15B
2014-10,$10.82B
2014-11,$10.7B
2014-12,$11.75B
2015-01,$14.81B
2015-02,$15.7B
2015-03,$21.49B
2015-04,$20.22B
2015-05,$19.64B
2015-06,$20.69B
2015-07,$20.38B
2015-08,$20.83B
2015-09,$17.7B
2015-10,$19.16B
2015-11,$20.14B
2015-12,$20.3B
2016-01,$18.1B
2016-02,$17.52B
2016-03,$17.07B
2016-04,$17.23B
2016-05,$17.34B
2016-06,$14.34B
2016-07,$15.24B
2016-08,$15.2B
2016-09,$15.85B
2016-10,$16.89B
2016-11,$16.66B
2016-12,$16.91B
2017-01,$15.67B
2017-02,$15.88B
2017-03,$14.54B
2017-04,$14.76B
2017-05,$14.72B
2017-06,$15.65B
2017-07,$14.93B
2017-08,$14.36B
2017-09,$14.57B
2017-10,$15.88B
2017-11,$16.07B
2017-12,$16.18B
2018-01,$15.72B
2018-02,$14.37B
2018-03,$17.1B
2018-04,$18.54B
2018-05,$19.88B
2018-06,$19.7B
2018-07,$24.18B
2018-08,$25.39B
2018-09,$27.91B
2018-10,$23.75B
2018-11,$26.29B
2018-12,$21.46B
2019-01,$21.25B
2019-02,$23.21B
2019-03,$15.68B
2019-04,$16.3B
2019-05,$16.12B
2019-06,$15.38B
2019-07,$14.92B
2019-08,$13.71B
2019-09,$13.87B
2019-10,$19.92B
2019-11,$20.48B
2019-12,$20.72B
2020-01,$21.04B
2020-02,$20.16B
2020-03,$20.04B
2020-05,$19.72B
2020-06,$22.03B
2020-07,$21.44B
2020-08,$23.24B
2020-09,$23.84B
2020-10,$21.85B
2020-11,$21.73B
2020-12,$19.09B
2021-01,$18.94B
2021-02,$19.37B
2021-03,$18.93B
2021-04,$18.35B
2021-05,$18.12B
2021-06,$24.61B
2021-07,$24.42B
2021-08,$23.57B
2021-09,$22.89B
2021-10,$20.62B
2021-11,$20.04B
2021-12,$17.43B
