timeline,三井住友トラスト・ホールディングス株式会社
2001-01,$0.66B
2001-02,$0.73B
2001-03,$1.74B
2001-04,$2.02B
2001-05,$1.85B
2001-06,$1.89B
2001-07,$1.74B
2001-08,$1.82B
2001-09,$1.49B
2001-10,$1.64B
2001-11,$1.46B
2001-12,$1.28B
2002-01,$1.03B
2002-02,$1.31B
2002-03,$1.46B
2002-04,$1.34B
2002-05,$1.71B
2002-06,$1.8B
2002-07,$2.06B
2002-08,$1.96B
2002-09,$2.18B
2002-10,$1.6B
2002-11,$1.39B
2003-01,$1.5B
2003-02,$1.52B
2003-03,$1.53B
2003-04,$1.65B
2003-05,$1.75B
2003-06,$1.91B
2003-07,$2.06B
2003-08,$2.79B
2003-09,$4.43B
2003-10,$4.22B
2003-11,$3.85B
2003-12,$4.32B
2004-01,$3.91B
2004-02,$3.54B
2004-03,$5.22B
2004-04,$5.67B
2004-05,$5.36B
2004-06,$5.81B
2004-07,$5.67B
2004-08,$5.71B
2004-09,$5.05B
2004-10,$5.3B
2004-11,$5.72B
2004-12,$7.44B
2005-01,$7.96B
2005-02,$8.04B
2005-03,$7.73B
2005-04,$7.56B
2005-05,$7.74B
2005-06,$8.27B
2005-07,$8.26B
2005-08,$8.96B
2005-09,$11.4B
2005-10,$10.11B
2005-11,$10.7B
2005-12,$10.27B
2006-01,$12.57B
2006-02,$12.46B
2006-03,$12.51B
2006-04,$11.43B
2006-05,$9.75B
2006-06,$9.99B
2006-07,$9.16B
2006-08,$9.99B
2006-09,$9.77B
2006-10,$10.01B
2006-11,$8.92B
2006-12,$9.93B
2007-01,$9.6B
2007-03,$9.27B
2007-04,$8.69B
2007-05,$9.0B
2007-06,$8.57B
2007-07,$8.45B
2007-08,$7.71B
2007-09,$7.15B
2007-10,$7.3B
2007-11,$7.5B
2007-12,$6.84B
2008-01,$5.83B
2008-02,$5.84B
2008-03,$5.25B
2008-04,$6.43B
2008-05,$6.53B
2008-06,$5.5B
2008-07,$5.9B
2008-08,$5.3B
2008-09,$4.79B
2008-10,$3.26B
2008-11,$3.11B
2008-12,$3.74B
2009-01,$3.14B
2009-02,$2.64B
2009-03,$3.06B
2009-04,$3.28B
2009-05,$3.57B
2009-06,$3.76B
2009-07,$3.37B
2009-08,$4.0B
2009-09,$3.4B
2009-10,$3.48B
2009-11,$3.1B
2009-12,$3.17B
2010-01,$3.28B
2010-02,$3.26B
2010-03,$3.58B
2010-04,$3.67B
2010-05,$3.31B
2010-06,$3.22B
2010-07,$3.13B
2010-08,$3.04B
2010-09,$2.83B
2010-10,$2.97B
2010-11,$3.01B
2010-12,$3.44B
2011-01,$3.37B
2011-02,$3.55B
2011-03,$3.01B
2011-04,$2.82B
2011-05,$2.85B
2011-06,$10.22B
2011-07,$10.4B
2011-08,$9.45B
2011-09,$9.48B
2011-10,$9.96B
2011-11,$8.46B
2011-12,$8.27B
2012-01,$8.71B
2012-02,$10.33B
2012-03,$9.67B
2012-04,$8.64B
2012-05,$7.25B
2012-06,$8.64B
2012-07,$8.26B
2012-08,$7.98B
2012-09,$8.49B
2012-10,$8.86B
2012-11,$9.15B
2012-12,$11.02B
2013-01,$12.37B
2013-02,$13.18B
2013-03,$16.22B
2013-04,$15.89B
2013-05,$13.91B
2013-06,$15.04B
2013-07,$14.69B
2013-08,$13.91B
2013-09,$16.69B
2013-10,$16.58B
2013-11,$17.3B
2013-12,$19.06B
2014-01,$17.03B
2014-02,$16.41B
2014-03,$16.03B
2014-04,$14.48B
2014-05,$14.14B
2014-06,$15.93B
2014-07,$15.55B
2014-08,$14.69B
2014-09,$15.7B
2014-10,$15.27B
2014-11,$16.97B
2014-12,$15.94B
2015-01,$14.33B
2015-02,$17.05B
2015-04,$18.24B
2015-05,$19.61B
2015-06,$19.29B
2015-07,$19.81B
2015-08,$17.24B
2015-09,$15.05B
2015-10,$16.09B
2015-11,$16.17B
2015-12,$15.86B
2016-01,$13.07B
2016-02,$11.31B
2016-03,$11.17B
2016-04,$11.68B
2016-05,$13.08B
2016-06,$11.18B
2016-07,$11.76B
2016-08,$12.55B
2016-09,$11.03B
2016-10,$11.97B
2016-11,$14.0B
2016-12,$14.11B
2017-01,$14.27B
2017-02,$13.59B
2017-03,$13.02B
2017-04,$12.87B
2017-05,$12.65B
2017-06,$13.55B
2017-07,$13.64B
2017-08,$12.77B
2017-09,$13.62B
2017-10,$14.91B
2017-11,$13.97B
2017-12,$15.01B
2018-01,$15.19B
2018-02,$14.53B
2018-03,$14.45B
2018-04,$15.59B
2018-05,$15.17B
2018-06,$14.74B
2018-07,$14.81B
2018-08,$14.89B
2018-09,$15.61B
2018-10,$15.0B
2018-11,$15.19B
2018-12,$13.42B
2019-01,$13.78B
2019-02,$14.08B
2019-03,$13.27B
2019-04,$12.9B
2019-05,$13.25B
2019-06,$12.99B
2019-07,$12.33B
2019-08,$11.49B
2019-09,$12.86B
2019-10,$13.13B
2019-11,$13.83B
2019-12,$14.32B
2020-01,$13.48B
2020-02,$12.22B
2020-03,$10.32B
2020-04,$10.44B
2020-05,$10.47B
2020-06,$9.99B
2020-07,$8.95B
2020-08,$9.72B
2020-09,$9.77B
2020-10,$9.36B
2020-11,$10.53B
2020-12,$10.46B
2021-01,$10.77B
2021-02,$11.38B
2021-03,$12.69B
2021-04,$12.35B
2021-05,$12.61B
2021-06,$12.02B
2021-07,$11.64B
2021-08,$12.38B
2021-09,$13.1B
2021-10,$12.64B
2021-11,$12.31B
2021-12,$12.53B
