timeline,丸紅株式会社
2001-01,$3.17B
2001-02,$3.07B
2001-03,$2.95B
2001-04,$3.4B
2001-05,$2.96B
2001-06,$3.16B
2001-07,$2.53B
2001-08,$2.38B
2001-09,$1.65B
2001-10,$1.79B
2001-11,$1.38B
2001-12,$1.04B
2002-02,$1.32B
2002-03,$1.25B
2002-04,$1.2B
2002-05,$1.75B
2002-06,$1.62B
2002-07,$1.67B
2002-08,$1.88B
2002-09,$1.94B
2002-10,$1.62B
2002-11,$1.49B
2002-12,$1.44B
2003-01,$1.57B
2003-02,$1.53B
2003-03,$1.46B
2003-04,$1.49B
2003-05,$1.58B
2003-06,$2.05B
2003-07,$1.98B
2003-08,$2.32B
2003-09,$2.29B
2003-10,$2.61B
2003-11,$2.37B
2003-12,$2.7B
2004-01,$2.69B
2004-02,$2.9B
2004-03,$3.73B
2004-04,$3.66B
2004-05,$3.33B
2004-06,$3.53B
2004-07,$3.32B
2004-08,$3.44B
2004-09,$3.85B
2004-10,$3.66B
2004-11,$3.85B
2004-12,$3.74B
2005-01,$3.98B
2005-02,$4.43B
2005-03,$4.53B
2005-04,$4.5B
2005-05,$4.54B
2005-06,$5.02B
2005-07,$5.51B
2005-08,$6.06B
2005-09,$6.95B
2005-10,$7.14B
2005-11,$7.84B
2005-12,$8.34B
2006-01,$8.25B
2006-02,$7.65B
2006-03,$8.74B
2006-04,$9.3B
2006-05,$8.61B
2006-06,$8.65B
2006-07,$8.64B
2006-08,$8.89B
2006-09,$8.34B
2006-10,$8.49B
2006-11,$8.35B
2006-12,$8.57B
2007-01,$9.22B
2007-02,$10.54B
2007-03,$10.95B
2007-04,$11.07B
2007-05,$13.02B
2007-06,$15.52B
2007-07,$17.64B
2007-08,$14.45B
2007-09,$16.12B
2007-10,$14.96B
2007-11,$12.92B
2007-12,$12.13B
2008-01,$11.14B
2008-02,$12.4B
2008-03,$11.12B
2008-04,$12.7B
2008-05,$14.4B
2008-06,$13.59B
2008-07,$12.15B
2008-08,$10.47B
2008-09,$7.17B
2008-10,$5.7B
2008-11,$5.12B
2008-12,$5.15B
2009-01,$5.01B
2009-02,$4.75B
2009-03,$4.67B
2009-04,$5.45B
2009-05,$6.6B
2009-06,$6.55B
2009-07,$6.69B
2009-08,$7.09B
2009-09,$6.94B
2009-10,$7.04B
2009-11,$6.98B
2009-12,$7.83B
2010-01,$8.07B
2010-02,$8.14B
2010-03,$8.9B
2010-04,$8.58B
2010-05,$7.77B
2010-06,$7.06B
2010-07,$7.11B
2010-08,$6.63B
2010-09,$7.23B
2010-10,$7.75B
2010-11,$8.32B
2010-12,$8.75B
2011-01,$9.45B
2011-02,$9.58B
2011-03,$9.18B
2011-04,$8.98B
2011-05,$8.69B
2011-06,$8.15B
2011-07,$8.86B
2011-08,$7.3B
2011-09,$6.73B
2011-10,$7.11B
2011-11,$7.06B
2011-12,$7.19B
2012-01,$8.05B
2012-02,$8.89B
2012-03,$9.14B
2012-04,$8.55B
2012-05,$7.69B
2012-06,$8.06B
2012-07,$8.11B
2012-08,$7.68B
2012-09,$7.62B
2012-10,$7.92B
2012-11,$8.32B
2012-12,$9.41B
2013-01,$10.28B
2013-02,$10.37B
2013-03,$10.77B
2013-04,$10.68B
2013-05,$10.94B
2013-06,$10.16B
2013-07,$10.44B
2013-08,$10.96B
2013-09,$11.82B
2013-10,$11.74B
2013-11,$11.37B
2013-12,$11.58B
2014-01,$11.08B
2014-02,$10.92B
2014-03,$10.62B
2014-04,$10.45B
2014-05,$10.63B
2014-06,$11.34B
2014-07,$11.19B
2014-08,$11.49B
2014-10,$10.83B
2014-11,$11.45B
2014-12,$11.09B
2015-01,$10.0B
2015-02,$11.25B
2015-03,$10.65B
2015-04,$11.38B
2015-05,$11.14B
2015-06,$10.74B
2015-07,$10.56B
2015-08,$10.18B
2015-09,$8.93B
2015-10,$10.75B
2015-11,$10.43B
2015-12,$9.56B
2016-01,$8.73B
2016-02,$8.65B
2016-03,$8.72B
2016-04,$8.97B
2016-05,$8.15B
2016-06,$7.03B
2016-07,$7.36B
2016-08,$7.89B
2016-10,$8.46B
2016-11,$9.58B
2016-12,$10.14B
2017-01,$10.52B
2017-02,$11.12B
2017-03,$10.49B
2017-04,$10.5B
2017-05,$10.46B
2017-06,$11.1B
2017-07,$11.19B
2017-08,$10.95B
2017-09,$11.76B
2017-10,$11.58B
2017-11,$11.41B
2017-12,$12.49B
2018-01,$12.52B
2018-02,$12.54B
2018-03,$11.78B
2018-04,$12.61B
2018-05,$12.98B
2018-06,$12.93B
2018-07,$13.02B
2018-08,$13.95B
2018-09,$15.91B
2018-10,$14.02B
2018-11,$12.97B
2018-12,$11.82B
2019-01,$12.95B
2019-02,$12.16B
2019-03,$11.7B
2019-04,$12.16B
2019-05,$10.46B
2019-06,$10.91B
2019-07,$10.86B
2019-08,$10.37B
2019-09,$10.98B
2019-10,$11.72B
2019-11,$12.36B
2019-12,$12.4B
2020-01,$12.17B
2020-02,$11.19B
2020-03,$8.25B
2020-04,$8.02B
2020-05,$8.01B
2020-06,$7.46B
2020-07,$7.42B
2020-08,$9.32B
2020-09,$9.64B
2020-10,$8.61B
2020-11,$9.48B
2020-12,$10.27B
2021-01,$10.93B
2021-02,$11.64B
2021-03,$13.65B
2021-04,$13.92B
2021-05,$14.38B
2021-06,$15.21B
2021-07,$14.09B
2021-08,$13.95B
2021-09,$14.51B
2021-10,$14.45B
2021-11,$15.63B
2021-12,$16.04B
