timeline,株式会社ニコン
2001-01,$3.85B
2001-03,$4.27B
2001-04,$4.62B
2001-07,$3.42B
2002-02,$2.92B
2002-03,$3.88B
2002-05,$4.31B
2002-06,$3.96B
2002-07,$3.98B
2002-08,$3.09B
2002-10,$2.79B
2002-12,$2.61B
2003-03,$2.6B
2003-07,$3.49B
2003-08,$4.16B
2003-09,$5.39B
2003-10,$5.54B
2003-11,$4.73B
2003-12,$5.47B
2004-01,$5.82B
2004-02,$4.53B
2004-03,$4.6B
2004-04,$4.52B
2004-05,$3.75B
2004-06,$4.17B
2004-07,$3.53B
2004-08,$3.55B
2004-09,$3.5B
2004-10,$3.69B
2004-11,$3.87B
2004-12,$4.47B
2005-01,$4.79B
2005-02,$4.47B
2005-03,$4.16B
2005-04,$4.03B
2005-05,$3.61B
2005-07,$4.08B
2005-08,$4.54B
2005-09,$4.78B
2005-10,$4.62B
2005-11,$5.73B
2005-12,$5.79B
2006-01,$6.43B
2006-02,$6.56B
2006-03,$6.55B
2006-07,$5.79B
2006-08,$6.75B
2006-09,$7.57B
2006-10,$7.79B
2006-11,$7.57B
2006-12,$7.87B
2007-01,$8.39B
2007-02,$8.26B
2007-03,$8.38B
2007-04,$9.18B
2007-05,$9.98B
2007-06,$11.54B
2007-08,$12.59B
2007-09,$13.88B
2007-10,$12.7B
2007-11,$12.64B
2008-01,$11.87B
2008-02,$11.76B
2008-03,$10.95B
2008-04,$11.5B
2008-05,$12.6B
2008-06,$12.14B
2008-07,$11.65B
2008-08,$13.03B
2008-09,$9.2B
2008-10,$5.66B
2008-11,$4.33B
2008-12,$4.68B
2009-01,$4.56B
2009-02,$3.69B
2009-03,$4.54B
2009-04,$5.27B
2009-05,$5.82B
2009-06,$6.78B
2009-07,$7.99B
2009-08,$6.7B
2009-09,$7.2B
2009-10,$7.33B
2009-11,$7.23B
2009-12,$7.77B
2010-01,$8.08B
2010-02,$8.76B
2010-03,$8.7B
2010-04,$8.95B
2010-05,$7.73B
2010-06,$6.87B
2010-07,$6.92B
2010-08,$6.66B
2010-09,$7.45B
2010-10,$7.56B
2010-11,$7.78B
2010-12,$8.1B
2011-01,$9.3B
2011-02,$9.38B
2011-03,$8.11B
2011-04,$8.28B
2011-05,$9.21B
2011-06,$9.28B
2011-07,$9.4B
2011-08,$8.78B
2011-09,$9.56B
2011-10,$9.06B
2011-11,$9.38B
2011-12,$8.52B
2012-01,$9.79B
2012-02,$10.83B
2012-03,$12.2B
2012-04,$11.8B
2012-05,$10.96B
2012-06,$12.0B
2012-07,$11.12B
2012-08,$10.86B
2012-09,$10.97B
2012-10,$10.1B
2012-11,$11.02B
2012-12,$11.65B
2013-01,$11.37B
2013-02,$8.93B
2013-03,$9.4B
2013-04,$8.58B
2013-05,$10.61B
2013-06,$9.32B
2013-07,$8.29B
2013-08,$6.7B
2013-09,$6.94B
2013-10,$7.29B
2013-11,$7.52B
2013-12,$7.59B
2014-01,$6.83B
2014-02,$7.23B
2014-03,$6.41B
2014-04,$6.2B
2014-05,$6.28B
2014-06,$6.24B
2014-07,$6.22B
2014-08,$5.78B
2014-09,$5.75B
2014-10,$5.45B
2014-11,$5.69B
2014-12,$5.33B
2015-01,$5.04B
2015-02,$5.13B
2015-03,$5.32B
2015-04,$5.67B
2015-05,$4.94B
2015-06,$4.58B
2015-07,$4.71B
2015-08,$5.09B
2015-09,$4.77B
2015-10,$5.15B
2015-11,$5.34B
2015-12,$5.35B
2016-01,$5.88B
2016-02,$5.99B
2016-03,$6.07B
2016-04,$5.9B
2016-05,$5.57B
2016-06,$5.34B
2016-07,$5.52B
2016-08,$5.85B
2016-09,$5.89B
2016-10,$6.01B
2016-11,$5.92B
2016-12,$6.19B
2017-01,$6.36B
2017-02,$6.03B
2017-03,$5.72B
2017-04,$5.66B
2017-05,$6.1B
2017-06,$6.35B
2017-07,$6.97B
2017-08,$6.5B
2017-09,$6.87B
2017-10,$7.51B
2017-11,$7.88B
2017-12,$7.97B
2018-01,$7.71B
2018-02,$8.04B
2018-03,$7.05B
2018-04,$6.93B
2018-05,$6.43B
2018-06,$6.32B
2018-07,$6.72B
2018-08,$7.59B
2018-09,$7.46B
2018-10,$6.89B
2018-11,$6.22B
2018-12,$5.87B
2019-01,$6.78B
2019-02,$6.02B
2019-03,$5.59B
2019-04,$5.5B
2019-05,$5.34B
2019-06,$5.56B
2019-07,$5.3B
2019-08,$4.81B
2019-09,$4.86B
2019-10,$4.98B
2019-11,$5.34B
2019-12,$4.69B
2020-01,$4.62B
2020-02,$3.8B
2020-03,$3.38B
2020-04,$3.38B
2020-05,$3.37B
2020-06,$3.14B
2020-07,$2.89B
2020-08,$2.86B
2020-09,$2.56B
2020-10,$2.24B
2020-11,$2.42B
2020-12,$2.38B
2021-01,$2.84B
2021-02,$3.16B
2021-03,$3.3B
2021-04,$3.46B
2021-05,$3.69B
2021-06,$4.0B
2021-07,$3.41B
2021-08,$3.79B
2021-09,$4.39B
2021-10,$4.1B
2021-11,$3.81B
2021-12,$3.92B
