timeline,日本製鉄株式会社
2001-01,$12.24B
2001-02,$12.84B
2001-03,$12.48B
2001-04,$13.68B
2001-05,$11.82B
2001-06,$11.34B
2001-07,$10.62B
2001-08,$10.8B
2001-09,$9.0B
2001-10,$9.84B
2001-11,$10.44B
2001-12,$11.34B
2002-01,$10.56B
2002-02,$12.12B
2002-03,$11.4B
2002-04,$11.76B
2002-05,$12.12B
2002-06,$11.22B
2002-07,$10.38B
2002-08,$10.02B
2002-09,$9.6B
2002-10,$8.4B
2002-11,$8.94B
2002-12,$8.34B
2003-01,$8.46B
2003-02,$9.72B
2003-03,$8.52B
2003-04,$7.98B
2003-05,$8.16B
2003-06,$9.9B
2003-07,$11.04B
2003-08,$12.54B
2003-09,$11.94B
2003-10,$13.56B
2003-11,$12.6B
2003-12,$13.8B
2004-01,$13.08B
2004-02,$12.84B
2004-03,$14.58B
2004-04,$13.86B
2004-05,$13.38B
2004-06,$13.74B
2004-07,$13.56B
2004-08,$15.06B
2004-09,$15.72B
2004-10,$14.88B
2004-11,$15.24B
2004-12,$15.06B
2005-01,$15.12B
2005-02,$17.28B
2005-03,$16.26B
2005-04,$15.96B
2005-05,$15.24B
2005-06,$15.48B
2005-07,$17.04B
2005-08,$19.32B
2005-09,$25.57B
2005-10,$24.79B
2005-11,$24.49B
2005-12,$25.21B
2006-01,$26.05B
2006-02,$28.03B
2006-03,$27.37B
2006-04,$25.21B
2006-05,$25.15B
2006-06,$25.99B
2006-07,$26.77B
2006-08,$29.41B
2006-09,$29.17B
2006-10,$28.57B
2006-11,$31.21B
2006-12,$41.05B
2007-01,$42.73B
2007-02,$48.31B
2007-03,$49.69B
2007-04,$46.57B
2007-05,$51.07B
2007-06,$52.09B
2007-07,$54.01B
2007-08,$48.73B
2007-09,$49.63B
2007-10,$45.55B
2007-11,$39.91B
2007-12,$41.53B
2008-01,$38.29B
2008-02,$33.61B
2008-03,$30.31B
2008-04,$35.05B
2008-05,$39.55B
2008-06,$34.51B
2008-07,$37.21B
2008-08,$31.39B
2008-09,$23.22B
2008-10,$19.44B
2008-11,$17.82B
2008-12,$17.4B
2009-01,$16.14B
2009-02,$15.66B
2009-03,$14.59B
2009-04,$18.3B
2009-05,$20.19B
2009-06,$20.52B
2009-07,$21.02B
2009-08,$20.24B
2009-09,$18.19B
2009-10,$19.58B
2009-11,$17.8B
2009-12,$20.8B
2010-01,$18.25B
2010-02,$18.41B
2010-03,$22.02B
2010-04,$20.16B
2010-05,$19.14B
2010-06,$17.76B
2010-07,$17.7B
2010-08,$16.62B
2010-09,$17.04B
2010-10,$15.18B
2010-11,$16.62B
2010-12,$17.52B
2011-01,$16.8B
2011-02,$17.76B
2011-03,$14.75B
2011-04,$13.97B
2011-05,$13.42B
2011-06,$14.42B
2011-08,$12.7B
2011-09,$12.42B
2011-10,$11.53B
2011-11,$10.15B
2011-12,$10.65B
2012-01,$10.37B
2012-02,$12.98B
2012-03,$12.59B
2012-04,$11.03B
2012-05,$9.76B
2012-06,$9.93B
2012-07,$8.71B
2012-08,$8.37B
2012-09,$8.87B
2012-10,$9.76B
2012-11,$14.97B
2012-12,$16.64B
2013-01,$20.04B
2013-02,$19.88B
2013-03,$18.62B
2013-04,$20.72B
2013-05,$20.8B
2013-06,$21.44B
2013-07,$22.8B
2013-08,$22.4B
2013-09,$26.64B
2013-10,$25.84B
2013-11,$26.56B
2013-12,$28.16B
2014-01,$25.2B
2014-02,$23.76B
2014-03,$22.69B
2014-04,$21.56B
2014-05,$23.09B
2014-06,$26.06B
2014-07,$25.27B
2014-08,$23.68B
2014-09,$22.89B
2014-10,$23.33B
2014-11,$24.6B
2014-12,$24.21B
2015-01,$22.32B
2015-02,$25.57B
2015-03,$24.35B
2015-04,$25.19B
2015-05,$27.52B
2015-06,$25.54B
2015-07,$23.59B
2015-08,$20.1B
2015-09,$17.45B
2015-10,$19.89B
2015-11,$19.9B
2015-12,$19.44B
2016-01,$17.11B
2016-02,$15.69B
2016-03,$17.2B
2016-04,$18.61B
2016-05,$18.22B
2016-06,$15.58B
2016-07,$15.51B
2016-08,$17.47B
2016-09,$16.36B
2016-10,$16.53B
2016-11,$19.51B
2016-12,$20.74B
2017-01,$21.77B
2017-02,$21.98B
2017-03,$19.96B
2017-04,$19.54B
2017-05,$18.34B
2017-06,$19.75B
2017-07,$21.1B
2017-08,$20.42B
2017-09,$20.1B
2017-10,$21.02B
2017-11,$21.17B
2017-12,$22.5B
2018-01,$21.62B
2018-02,$19.89B
2018-03,$18.18B
2018-04,$18.56B
2018-05,$17.76B
2018-06,$16.93B
2018-07,$17.3B
2018-08,$17.4B
2018-09,$18.7B
2018-10,$16.24B
2018-11,$16.15B
2018-12,$14.73B
2019-01,$15.64B
2019-02,$15.59B
2019-03,$15.2B
2019-04,$16.07B
2019-05,$14.66B
2019-06,$15.01B
2019-07,$13.93B
2019-08,$12.06B
2019-09,$12.22B
2019-10,$12.92B
2019-11,$13.03B
2019-12,$13.42B
2020-01,$12.46B
2020-02,$10.45B
2020-03,$7.51B
2020-04,$7.4B
2020-05,$8.06B
2020-06,$8.23B
2020-07,$6.96B
2020-08,$8.22B
2020-09,$8.03B
2020-10,$8.41B
2020-11,$10.12B
2020-12,$10.71B
2021-01,$10.66B
2021-02,$11.69B
2021-03,$14.27B
2021-04,$15.25B
2021-05,$17.54B
2021-06,$15.72B
2021-07,$14.22B
2021-08,$17.42B
2021-09,$18.2B
2021-10,$16.05B
2021-11,$15.36B
2021-12,$14.78B
