,株式コード,資本金,提出者名,業種,提出者業種,残業時間,有休消化率,待遇面の満足度,社員の士気,風通しの良さ,社員の相互尊重,20代成長環境,人材の長期育成,法令遵守意識,人事評価の適正感,時価総額,設立年月日,上場年月日,従業員数(単独),従業員数(連結),平均年齢,平均年収
0,7203.T,635401.0,トヨタ自動車株式会社,機械系,輸送用機器,27.0,87.8,4.2,3.7,3.5,4.2,3.4,4.0,4.9,3.2,$251.66B,1937年8月28日,1949年5月,None,"372,434人",40.0歳,"8,580千円"
1,6861.T,30637.0,株式会社キーエンス,機械系,電気機器,59.6,29.2,4.8,4.4,4.1,3.5,4.6,2.6,3.9,4.3,$154.37B,1974年5月27日,1987年10月29日,"2,607人","8,380人",35.8歳,"17,510千円"
2,6758.T,880214.0,ソニーグループ株式会社,機械系,電気機器,34.9,61.0,4.1,3.7,4.1,3.7,4.1,3.0,4.6,3.8,$154.06B,1946年5月7日,1958年12月,"2,973人","109,700人",42.2歳,"10,440千円"
3,6098.T,40000.0,株式会社リクルートホールディングス,サービス業,サービス業,36.8,57.3,4.1,4.4,4.4,4.1,4.7,3.1,4.0,4.1,$105.3B,1963年8月26日,2014年10月16日,138人,"47,786人",38.7歳,"9,500千円"
4,9432.T,937950.0,日本電信電話株式会社,IT,IT,20.8,92.3,3.3,3.0,3.7,3.5,3.6,3.2,4.9,3.0,$97.0B,1985年4月1日,1987年2月9日,None,"332,950人",41.8歳,"9,300千円"
5,8035.T,54961.0,東京エレクトロン株式会社,機械系,電気機器,31.5,57.5,4.0,3.3,4.1,3.6,3.5,2.7,4.5,3.5,$84.86B,1963年11月11日,1980年6月,"1,677人","14,804人",44.3歳,"11,790千円"
6,9434.T,204309.0,ソフトバンク株式会社,IT,IT,28.5,64.9,3.2,3.4,3.7,3.2,3.7,2.7,4.1,3.4,$84.09B,1986年12月9日,2018年12月19日,"18,173人","47,313人",40.1歳,"8,200千円"
7,8306.T,2141513.0,株式会社三菱ＵＦＪフィナンシャル・グループ,金融・保険,銀行業,18.3,67.3,3.1,3.0,2.9,3.2,2.9,3.1,4.7,3.0,$72.44B,2001年4月2日,2001年4月1日,"30,554人","138,161人",38.3歳,"7,730千円"
8,4063.T,119419.0,信越化学工業株式会社,化学・石油・石炭,化学,30.0,61.5,2.5,2.8,2.8,2.9,2.9,2.5,4.1,2.5,$71.47B,1926年9月16日,1949年5月,"3,278人","24,196人",42.2歳,"8,480千円"
9,6594.T,87784.0,日本電産株式会社,機械系,電気機器,27.9,41.1,2.3,2.8,3.0,2.7,3.9,2.1,3.3,3.0,$69.48B,1973年7月23日,1988年11月7日,"2,607人","110,602人",38.7歳,"5,870千円"
