,株式コード,資本金,提出者名,業種,提出者業種,残業時間,有休消化率,待遇面の満足度,社員の士気,風通しの良さ,社員の相互尊重,20代成長環境,人材の長期育成,法令遵守意識,人事評価の適正感,時価総額,設立年月日,上場年月日,従業員数(単独),従業員数(連結),平均年齢,平均年収
10,6367.T,85032.0,ダイキン工業株式会社,機械系,機械,25.0,90.5,3.0,2.8,3.4,3.2,2.8,2.6,4.2,2.9,$66.87B,1934年2月14日,1949年5月,"7,732人","84,870人",39.0歳,"7,280千円"
11,9433.T,141852.0,ＫＤＤＩ株式会社,IT,IT,26.5,65.7,3.8,2.8,2.9,3.2,2.7,2.9,4.8,2.8,$65.76B,1984年6月1日,1993年9月3日,"10,779人","48,636人",42.8歳,"9,480千円"
12,9983.T,10273.0,株式会社ファーストリテイリング,卸売・小売・食料,小売業,26.7,55.2,3.3,3.7,3.3,3.3,4.0,2.5,3.9,3.5,$61.36B,1963年5月1日,1994年7月14日,None,"56,591人",37.8歳,"9,010千円"
13,6902.T,187457.0,株式会社デンソー,機械系,輸送用機器,24.7,71.2,4.3,3.0,3.3,3.5,3.0,3.2,4.8,2.9,$58.12B,1949年12月16日,1951年12月,"46,386人","168,738人",43.8歳,"7,210千円"
14,7741.T,6264.0,ＨＯＹＡ株式会社,機械系,精密機器,23.7,41.0,3.0,2.6,2.7,2.6,2.5,2.0,3.8,3.1,$58.72B,1944年8月23日,1961年10月,"2,992人","37,245人",46.3歳,"7,120千円"
15,6501.T,461731.0,株式会社日立製作所,機械系,電気機器,34.5,57.2,3.8,2.9,3.1,3.4,2.9,3.4,4.7,3.0,$56.71B,1920年2月1日,1949年5月,"30,351人","353,520人",42.6歳,"8,900千円"
16,7974.T,10065.0,任天堂株式会社,その他,その他製品,25.6,78.8,4.3,3.5,3.7,3.7,2.7,2.7,4.8,2.8,$53.59B,1947年11月20日,1962年1月,"2,498人","6,574人",39.6歳,"9,710千円"
17,4519.T,73201.0,中外製薬株式会社,医薬品,医薬品,22.3,55.7,4.4,4.1,4.1,4.0,4.3,4.1,4.9,3.7,$54.44B,1943年3月8日,1956年3月,None,"7,679人",43.3歳,"11,000千円"
18,4661.T,63201.0,株式会社オリエンタルランド,サービス業,サービス業,17.7,83.8,2.8,3.5,3.1,4.2,2.7,2.7,4.8,2.7,$53.22B,1960年7月11日,1996年12月11日,"5,375人","8,782人",39.2歳,"4,510千円"
19,6981.T,69376.0,株式会社村田製作所,機械系,電気機器,23.0,63.7,3.7,3.6,3.9,3.7,3.6,3.3,4.7,3.3,$48.42B,1950年12月23日,1963年3月,"9,827人","76,565人",40.1歳,"7,310千円"
20,7267.T,86067.0,本田技研工業株式会社,機械系,輸送用機器,21.7,94.4,3.7,2.6,3.2,3.0,2.5,2.4,4.7,2.6,$48.51B,1948年9月24日,1957年12月,"35,781人","211,374人",44.9歳,"7,980千円"
21,4689.T,237404.0,Ｚホールディングス株式会社,IT,IT,None,None,2.9,2.9,3.0,3.0,3.0,3.2,3.2,2.9,$49.91B,1996年1月31日,1997年11月4日,243人,"22,531人",42.0歳,"10,790千円"
22,8316.T,2341878.0,株式会社三井住友フィナンシャルグループ,金融・保険,銀行業,32.8,66.1,3.4,3.4,3.1,3.1,2.9,2.9,3.8,3.1,$46.33B,2002年12月2日,2002年12月1日,"28,104人","86,781人",38.0歳,"8,420千円"
23,8001.T,253448.0,伊藤忠商事株式会社,卸売・小売・食料,卸売業,40.8,56.8,4.8,4.2,4.0,3.8,4.0,3.7,4.7,3.7,$45.14B,1949年12月1日,1950年7月,"4,245人","119,240人",42.0歳,"16,270千円"
24,6273.T,61005.0,ＳＭＣ株式会社,機械系,機械,21.3,76.6,3.1,2.4,2.7,2.7,2.5,2.5,3.5,2.6,$43.78B,1959年4月27日,1987年12月23日,"5,980人","20,861人",41.6歳,"7,750千円"
25,4568.T,50000.0,第一三共株式会社,医薬品,医薬品,29.2,62.9,4.5,3.8,3.5,4.2,3.7,3.6,4.6,3.0,$43.35B,2005年9月28日,2005年9月28日,None,"16,214人",44.4歳,"11,160千円"
26,4502.T,77923.0,武田薬品工業株式会社,医薬品,医薬品,23.9,65.5,4.4,2.8,2.9,3.3,3.3,2.7,4.7,3.1,$42.52B,1925年1月29日,1949年5月,"4,966人","47,099人",42.0歳,"10,760千円"
27,6954.T,69014.0,ファナック株式会社,機械系,電気機器,49.2,74.5,4.5,2.1,2.1,2.2,2.2,1.9,4.0,2.3,$40.21B,1972年5月12日,1976年11月,"4,105人","8,256人",40.2歳,"10,980千円"
28,3382.T,50000.0,株式会社セブン＆アイ・ホールディングス,卸売・小売・食料,小売業,22.0,61.7,2.6,3.0,2.7,2.9,2.6,2.4,3.7,2.3,$37.48B,2005年9月1日,2005年9月1日,857人,"72,954人",43.9歳,"7,420千円"
29,8031.T,342384.0,三井物産株式会社,卸売・小売・食料,卸売業,30.0,59.4,4.7,3.9,4.0,4.0,4.0,3.8,4.8,3.3,$36.67B,1947年7月25日,1949年5月,"5,587人","44,509人",42.1歳,"14,820千円"
30,8766.T,150000.0,東京海上ホールディングス株式会社,金融・保険,保険業,None,None,3.0,3.2,3.0,3.0,3.2,3.2,3.2,3.0,$36.02B,2002年4月2日,2002年4月1日,"17,176人","43,257人",41.9歳,"7,720千円"
31,2914.T,100000.0,日本たばこ産業株式会社,卸売・小売・食料,食料品,20.2,84.1,4.4,2.7,3.7,3.9,2.7,3.2,4.9,2.8,$36.14B,1985年4月1日,1994年10月27日,"7,366人","58,300人",43.2歳,"8,290千円"
32,6702.T,324625.0,富士通株式会社,機械系,電気機器,31.4,57.3,2.9,2.7,3.1,3.2,2.8,2.9,4.5,2.7,$33.67B,1935年6月20日,1949年5月,"32,026人","126,371人",43.8歳,"8,650千円"
33,8411.T,2256767.0,株式会社みずほフィナンシャルグループ,金融・保険,銀行業,35.3,63.0,3.3,2.8,2.9,3.0,2.9,2.8,4.8,2.9,$32.42B,2003年1月8日,2003年3月12日,"27,659人","54,492人",38.1歳,"7,290千円"
34,4543.T,38716.0,テルモ株式会社,機械系,精密機器,28.5,60.2,2.8,2.9,3.1,3.2,2.7,2.7,4.6,2.7,$31.61B,1921年9月17日,1982年6月21日,"5,448人","26,846人",40.5歳,"7,440千円"
35,7182.T,3500000.0,株式会社ゆうちょ銀行,金融・保険,銀行業,15.6,86.8,2.8,2.3,2.7,2.8,2.3,2.5,4.6,2.5,$31.48B,2006年9月1日,2015年11月4日,"12,484人","12,535人",43.8歳,"6,740千円"
36,5108.T,126354.0,株式会社ブリヂストン,その他,ゴム製品,30.1,60.1,3.3,2.6,2.8,2.9,2.9,2.6,4.7,2.9,$30.55B,1931年3月1日,1961年10月,"14,858人","138,036人",40.4歳,"6,850千円"
37,4901.T,40363.0,富士フイルムホールディングス株式会社,化学・石油・石炭,化学,10.0,85.7,3.2,3.2,3.1,3.2,3.1,3.2,3.2,3.2,$31.07B,1934年1月20日,1949年5月,825人,"75,879人",45.5歳,"9,700千円"
38,9613.T,142520.0,株式会社エヌ・ティ・ティ・データ,IT,IT,30.7,85.6,4.0,3.2,3.7,4.0,3.2,3.8,4.8,3.1,$29.8B,1988年5月23日,1995年4月26日,None,"142,750人",38.9歳,"8,410千円"
39,6178.T,3500000.0,日本郵政株式会社,サービス業,サービス業,18.9,73.9,2.7,2.2,2.7,2.9,2.2,2.5,4.6,2.3,$29.19B,2006年1月23日,2015年11月4日,"2,122人","246,688人",44.3歳,"7,880千円"
40,4503.T,103000.0,アステラス製薬株式会社,医薬品,医薬品,25.1,66.1,4.5,3.1,3.7,3.6,3.5,3.0,4.9,3.4,$28.95B,1939年3月20日,1949年5月,"4,647人","15,455人",43.0歳,"10,510千円"
41,7733.T,124643.0,オリンパス株式会社,機械系,精密機器,19.6,53.5,3.7,2.7,2.8,3.0,2.6,2.6,4.6,2.7,$28.74B,1919年10月12日,1949年5月16日,"4,358人","31,986人",42.8歳,"8,690千円"
42,6503.T,175820.0,三菱電機株式会社,機械系,電気機器,34.9,45.1,3.4,2.7,2.8,3.0,2.7,2.8,4.4,2.7,$27.89B,1921年1月15日,1949年5月,"36,162人","145,653人",40.7歳,"7,960千円"
43,9022.T,112000.0,東海旅客鉄道株式会社,運輸,陸運業,24.7,58.1,3.8,2.7,2.4,3.7,2.1,2.8,5.0,2.4,$28.07B,1987年4月1日,1997年10月8日,"19,272人","31,337人",36.5歳,"7,130千円"
44,6326.T,84130.0,株式会社クボタ,機械系,機械,29.9,76.5,4.1,2.9,2.8,2.9,2.9,2.9,4.2,2.8,$26.75B,1930年12月22日,1949年5月,"11,686人","42,710人",40.7歳,"7,990千円"
45,6869.T,12723.0,シスメックス株式会社,機械系,電気機器,25.5,58.9,3.7,2.6,2.9,2.9,2.7,2.4,4.5,2.8,$26.29B,1968年2月20日,1995年11月15日,"2,235人","8,568人",41.4歳,"7,390千円"
46,4612.T,671432.0,日本ペイントホールディングス株式会社,化学・石油・石炭,化学,19.3,55.3,4.0,2.7,3.0,2.9,2.7,2.4,3.7,2.7,$25.59B,1898年3月,1949年5月,342人,"27,318人",42.7歳,"8,320千円"
47,7309.T,35613.0,株式会社シマノ,機械系,輸送用機器,29.3,60.2,3.9,3.4,3.7,2.7,3.0,2.3,3.8,2.9,$26.53B,1940年1月29日,1972年11月,"1,442人","12,244人",39.9歳,"7,870千円"
48,4307.T,22414.0,株式会社野村総合研究所,IT,IT,45.8,51.8,4.6,3.7,4.0,3.8,4.4,3.7,4.6,3.4,$25.83B,1966年1月5日,2001年12月17日,None,"15,395人",40.5歳,"12,250千円"
49,4452.T,85424.0,花王株式会社,化学・石油・石炭,化学,25.3,69.6,3.8,3.4,3.7,3.8,2.9,3.1,4.9,2.9,$10.24B,1940年5月21日,1949年5月,"8,643人","33,482人",40.5歳,"8,230千円"
50,6752.T,259168.0,パナソニック株式会社,機械系,電気機器,26.6,63.5,3.7,2.9,3.3,3.5,2.9,3.2,4.8,2.9,$25.7B,1935年12月15日,1949年5月,None,"240,202人",45.8歳,"7,430千円"
51,8113.T,15992.0,ユニ・チャーム株式会社,化学・石油・石炭,化学,41.7,42.8,3.7,3.2,3.3,3.6,4.2,3.1,3.3,3.0,$25.5B,1961年2月10日,1976年8月,"1,466人","16,665人",41.4歳,"8,390千円"
52,6201.T,80462.0,株式会社豊田自動織機,機械系,輸送用機器,26.5,93.9,4.1,2.6,3.1,3.5,2.6,3.1,4.8,2.5,$25.71B,1926年11月18日,1949年5月,"14,406人","68,311人",41.0歳,"7,690千円"
53,6723.T,10000.0,ルネサスエレクトロニクス株式会社,機械系,電気機器,34.3,44.0,3.1,2.5,3.0,3.0,2.9,2.4,4.4,2.9,$24.62B,2002年11月1日,2003年7月24日,"6,205人","18,612人",46.9歳,"7,910千円"
54,6920.T,931.0,レーザーテック株式会社,機械系,電気機器,24.9,48.6,3.4,3.4,3.2,2.7,3.5,3.4,3.2,3.8,$24.26B,1962年8月13日,1990年12月25日,328人,529人,None,None
55,7751.T,174762.0,キヤノン株式会社,機械系,電気機器,18.4,69.2,2.6,2.4,3.0,3.4,2.5,2.6,4.9,2.7,$24.07B,1937年8月10日,1949年5月,None,"178,809人",44.4歳,"7,440千円"
56,4911.T,64506.0,株式会社資生堂,化学・石油・石炭,化学,27.8,55.7,3.0,2.9,3.0,3.4,2.8,2.8,4.7,2.9,$23.84B,1927年6月24日,1949年5月,"4,309人","39,035人",38.8歳,"6,580千円"
57,8591.T,221111.0,オリックス株式会社,金融・保険,その他金融業,34.2,62.7,4.1,3.6,3.8,3.3,4.1,2.9,4.0,3.6,$24.07B,1964年4月17日,1970年4月,None,"33,344人",43.2歳,"8,580千円"
58,9020.T,200000.0,東日本旅客鉄道株式会社,運輸,陸運業,17.9,84.4,3.4,2.5,2.7,3.6,2.2,2.8,4.7,2.4,$23.93B,1987年4月1日,1993年10月26日,"45,047人","74,198人",38.2歳,"6,730千円"
59,6301.T,71678.0,株式会社小松製作所,機械系,機械,22.8,88.9,3.8,3.0,3.8,3.5,2.9,3.0,4.9,3.0,$22.62B,1921年5月13日,1949年5月,"11,795人","61,564人",39.8歳,"7,180千円"
60,6971.T,115703.0,京セラ株式会社,機械系,電気機器,29.5,45.9,3.1,2.8,2.9,3.3,2.7,2.6,4.6,2.7,$22.31B,1959年4月1日,1971年10月,"19,858人","80,308人",41.1歳,"6,840千円"
61,8750.T,343926.0,第一生命ホールディングス株式会社,金融・保険,保険業,28.8,44.8,2.8,2.9,2.8,3.3,2.8,2.7,4.2,3.4,$22.38B,2010年4月1日,2010年4月1日,"11,235人","64,674人",45.9歳,"6,210千円"
62,8267.T,220007.0,イオン株式会社,卸売・小売・食料,小売業,25.2,56.2,3.2,2.9,3.4,3.0,2.9,3.1,4.3,3.1,$20.48B,1926年9月21日,1974年9月,455人,"155,578人",49.9歳,"8,290千円"
63,4507.T,21279.0,塩野義製薬株式会社,医薬品,医薬品,20.2,59.7,3.7,2.6,3.2,3.6,2.9,2.9,4.8,2.8,$20.69B,1919年6月5日,1949年5月,"2,589人","5,485人",41.2歳,"9,020千円"
64,6645.T,64099.0,オムロン株式会社,機械系,電気機器,20.5,50.3,3.4,2.6,3.2,3.1,2.7,2.8,4.8,2.7,$20.32B,1948年5月19日,1962年4月,"4,829人","28,254人",45.0歳,"8,030千円"
65,4578.T,81690.0,大塚ホールディングス株式会社,医薬品,医薬品,21.1,54.2,2.9,2.9,3.0,3.2,3.2,2.9,3.0,2.9,$19.63B,2008年7月8日,2010年12月15日,111人,"33,151人",44.1歳,"9,910千円"
66,7269.T,138318.0,スズキ株式会社,機械系,輸送用機器,31.7,54.0,2.1,2.3,2.8,2.9,3.8,2.4,3.0,2.6,$19.88B,1920年3月15日,1949年5月,None,"70,419人",40.5歳,"6,650千円"
67,1925.T,161699.0,大和ハウス工業株式会社,建設・不動産,建設業,35.0,38.3,3.8,2.8,2.5,2.4,3.0,2.5,3.5,4.0,$19.37B,1947年3月,1961年9月,"16,609人","49,314人",39.1歳,"8,670千円"
68,7201.T,605813.0,日産自動車株式会社,機械系,輸送用機器,28.2,81.1,3.8,2.8,3.2,2.9,3.2,2.8,3.9,3.6,$19.61B,1933年12月26日,1951年1月,"24,010人","134,885人",41.6歳,"7,960千円"
69,9843.T,13370.0,株式会社ニトリホールディングス,卸売・小売・食料,小売業,15.1,63.4,3.1,3.2,3.3,3.3,2.5,3.1,4.7,3.1,$18.52B,1972年3月3日,1989年9月27日,774人,"18,400人",40.7歳,"8,680千円"
70,8053.T,219893.0,住友商事株式会社,卸売・小売・食料,卸売業,36.8,67.8,4.8,3.2,3.5,4.2,3.5,3.5,4.9,2.7,$17.78B,1919年12月24日,1949年8月3日,"5,240人","74,920人",42.7歳,"13,560千円"
71,3659.T,51987.0,株式会社ネクソン,IT,IT,19.9,82.1,2.7,2.3,3.4,2.9,2.5,1.9,4.2,2.2,$17.91B,2002年12月18日,2011年12月14日,265人,"6,407人",37.0歳,"5,980千円"
72,7832.T,10000.0,株式会社バンダイナムコホールディングス,その他,その他製品,9.2,69.1,2.8,3.0,3.1,3.4,3.0,2.8,3.1,3.4,$17.8B,2005年9月29日,2005年9月29日,"2,931人","9,806人",None,None
73,6502.T,200175.0,株式会社東芝,機械系,電気機器,32.8,65.6,3.5,2.7,2.9,3.1,3.2,3.0,3.7,2.9,$17.94B,1904年6月25日,1949年5月,"3,751人","118,131人",45.0歳,"8,660千円"
74,6857.T,32363.0,株式会社アドバンテスト,機械系,電気機器,10.5,70.3,3.7,2.7,3.7,3.5,3.1,3.0,4.6,3.1,$17.52B,1954年12月16日,1983年2月9日,"2,056人","5,314人",46.1歳,"9,800千円"
75,4523.T,44985.0,エーザイ株式会社,医薬品,医薬品,33.0,54.2,4.1,2.7,2.9,3.4,3.5,2.8,4.2,3.1,$17.43B,1941年12月6日,1961年9月,"3,005人","11,237人",43.9歳,"10,420千円"
76,8725.T,100276.0,ＭＳ＆ＡＤインシュアランスグループホールディングス株式会社,金融・保険,保険業,4.0,95.0,3.0,2.9,3.1,3.1,2.9,2.9,3.2,2.9,$16.76B,2008年4月1日,2008年4月1日,411人,"41,219人",47.8歳,"10,740千円"
77,4684.T,19178.0,株式会社オービック,IT,IT,42.0,33.7,2.7,3.2,3.9,4.1,4.4,2.6,3.1,3.0,$16.39B,1968年4月8日,1998年12月17日,"1,947人","2,155人",36.4歳,"9,330千円"
78,2802.T,79863.0,味の素株式会社,卸売・小売・食料,食料品,22.6,69.3,4.4,3.8,3.8,4.1,3.1,3.6,4.9,3.2,$16.41B,1925年12月17日,1949年5月,"3,184人","33,461人",44.1歳,"9,970千円"
79,8002.T,262947.0,丸紅株式会社,卸売・小売・食料,卸売業,35.6,55.1,4.6,3.3,3.6,3.6,3.8,3.1,4.4,3.1,$16.04B,1949年12月1日,1950年7月,"4,446人",None,42.2歳,"11,920千円"
80,4755.T,205924.0,楽天グループ株式会社,サービス業,サービス業,32.5,60.1,3.2,3.8,3.9,3.9,4.2,2.6,3.9,3.4,$15.39B,1997年2月7日,2000年4月19日,"7,390人","23,841人",34.2歳,"7,450千円"
81,4151.T,26745.0,協和キリン株式会社,医薬品,医薬品,21.2,66.0,3.1,2.8,3.3,3.7,3.0,2.7,4.5,2.7,$15.46B,1949年7月1日,1949年8月,"3,841人","5,700人",42.6歳,"8,770千円"
82,6762.T,32641.0,ＴＤＫ株式会社,機械系,電気機器,26.0,49.1,3.3,2.6,3.7,2.9,2.8,2.6,4.0,2.7,$15.05B,1935年12月7日,1961年9月,"5,733人","128,742人",43.5歳,"7,860千円"
83,8015.T,64936.0,豊田通商株式会社,卸売・小売・食料,卸売業,33.3,48.4,4.2,3.0,3.6,4.0,3.4,2.8,4.8,2.9,$15.3B,1948年7月1日,1961年10月,"2,692人","64,402人",42.4歳,"11,000千円"
84,2801.T,11599.0,キッコーマン株式会社,卸売・小売・食料,食料品,21.6,64.3,4.4,3.4,3.0,3.7,3.0,3.3,4.8,3.2,$14.91B,1917年12月7日,1949年5月,506人,"7,645人",43.6歳,"7,760千円"
85,8630.T,100045.0,ＳＯＭＰＯホールディングス株式会社,金融・保険,保険業,20.4,44.2,3.1,3.0,3.0,3.1,3.1,2.9,3.1,2.9,$15.18B,2010年4月1日,2010年4月1日,450人,"48,163人",43.4歳,"11,090千円"
86,9735.T,66392.0,セコム株式会社,サービス業,サービス業,32.1,52.7,2.6,2.5,2.5,2.9,2.4,2.2,4.7,2.9,$14.96B,1962年7月7日,1974年6月,"16,290人","59,436人",43.2歳,"5,910千円"
87,5401.T,419524.0,日本製鉄株式会社,その他,金属,32.3,53.3,2.9,2.9,2.8,3.3,3.1,3.0,4.5,2.8,$14.78B,1950年4月1日,1950年10月,"29,579人","106,226人",37.2歳,"4,940千円"
88,9143.T,11882.0,ＳＧホールディングス株式会社,運輸,陸運業,26.2,65.0,2.1,2.4,2.8,2.9,2.4,2.3,3.6,2.2,$14.44B,2006年3月22日,2017年12月13日,229人,"52,900人",37.6歳,"7,040千円"
89,8421.T,690998.0,信金中央金庫,金融・保険,その他金融業,22.3,39.9,3.6,2.5,2.9,3.0,2.5,2.5,4.7,2.4,$14.32B,None,None,None,None,None,None
90,7270.T,153795.0,株式会社ＳＵＢＡＲＵ,機械系,輸送用機器,28.8,76.0,2.7,2.6,2.9,2.8,2.9,2.5,3.6,2.7,$14.35B,1953年7月17日,1960年3月,"16,478人","36,070人",38.9歳,"6,510千円"
91,1928.T,202591.0,積水ハウス株式会社,建設・不動産,建設業,34.7,35.7,3.6,3.1,2.9,2.8,3.0,2.7,4.3,4.1,$13.94B,1960年8月,1970年8月,"15,071人","28,362人",43.0歳,"7,920千円"
92,2503.T,102045.0,キリンホールディングス株式会社,卸売・小売・食料,食料品,30.3,62.7,4.4,3.3,3.7,3.9,2.9,3.5,4.9,3.0,$13.65B,1907年2月23日,1949年5月,"1,133人","29,818人",42.6歳,"8,730千円"
93,8604.T,594493.0,野村ホールディングス株式会社,金融・保険,証券、商品先物取引業,31.8,44.5,4.1,3.2,2.9,3.2,3.9,3.3,4.5,3.4,$13.45B,1925年12月25日,1961年10月,None,"26,647人",41.9歳,"10,130千円"
94,3407.T,103389.0,旭化成株式会社,化学・石油・石炭,化学,23.1,71.8,4.5,3.7,4.4,4.0,3.9,3.9,4.8,3.5,$13.54B,1931年5月21日,1949年5月,"8,696人","46,124人",41.5歳,"7,510千円"
95,6701.T,427831.0,日本電気株式会社,機械系,電気機器,28.1,54.2,3.2,2.7,3.4,3.4,2.9,2.9,4.7,2.7,$12.86B,1899年7月17日,1949年5月,"20,589人","114,714人",43.7歳,"8,290千円"
96,6506.T,30562.0,株式会社安川電機,機械系,電気機器,25.6,67.6,3.3,2.8,3.9,3.1,2.9,2.8,4.0,2.6,$12.79B,1915年7月,1949年5月,"3,306人","12,925人",42.0歳,"7,640千円"
97,8309.T,261608.0,三井住友トラスト・ホールディングス株式会社,金融・保険,銀行業,65.5,11.0,3.2,2.8,2.9,2.9,3.1,2.9,3.2,2.9,$12.53B,2002年2月1日,2002年1月31日,184人,"22,139人",51.5歳,"12,610千円"
98,1605.T,290809.0,株式会社ＩＮＰＥＸ,その他,金属,20.1,67.9,3.4,2.5,2.8,3.4,2.3,2.2,4.7,2.4,$12.52B,2006年4月3日,2006年4月3日,"1,377人","3,153人",39.5歳,"9,070千円"
99,5020.T,100000.0,ＥＮＥＯＳホールディングス株式会社,化学・石油・石炭,石油・石炭製品,23.2,71.2,3.6,2.9,3.3,3.0,2.7,2.8,4.1,2.9,$12.26B,2010年4月1日,2010年4月1日,818人,"40,753人",44.7歳,"10,350千円"
100,4528.T,17358.0,小野薬品工業株式会社,医薬品,医薬品,23.0,51.8,3.9,3.1,2.8,4.1,3.1,2.6,3.5,2.5,$11.79B,1947年7月4日,1962年6月,"3,319人","3,607人",42.6歳,"9,370千円"
101,9101.T,144319.0,日本郵船株式会社,運輸,海運業,32.0,58.8,4.3,3.9,4.4,4.6,3.5,4.2,4.6,3.0,$12.11B,1885年9月29日,1949年5月,"1,267人","34,695人",39.9歳,"9,550千円"
102,6586.T,24206.0,株式会社マキタ,機械系,機械,37.3,42.0,3.1,2.6,2.5,2.9,2.8,2.2,4.0,2.8,$12.07B,1938年12月10日,1962年8月,"3,274人","19,210人",40.5歳,"6,980千円"
103,6479.T,68259.0,ミネベアミツミ株式会社,機械系,電気機器,26.1,51.3,2.7,2.6,2.6,2.8,3.5,2.5,3.7,2.6,$11.34B,1951年7月16日,1961年10月,"4,550人","83,519人",44.7歳,"6,890千円"
104,4716.T,24935.0,日本オラクル株式会社,IT,IT,28.0,62.4,2.8,3.0,3.7,2.9,3.3,2.3,4.6,2.8,$11.79B,1985年10月15日,1999年2月5日,"2,407人",None,43.6歳,"10,730千円"
105,2587.T,168384.0,サントリー食品インターナショナル株式会社,卸売・小売・食料,食料品,24.3,82.5,4.2,4.6,4.5,4.6,3.9,4.1,4.5,3.6,$11.3B,2009年1月23日,2013年7月3日,510人,"24,139人",41.3歳,"11,180千円"
106,8697.T,11500.0,株式会社日本取引所グループ,金融・保険,その他金融業,31.6,60.5,3.8,2.9,3.5,3.4,2.8,2.8,4.8,2.8,$11.28B,2001年4月1日,2004年4月1日,206人,"1,197人",45.3歳,"10,280千円"
107,6988.T,26783.0,日東電工株式会社,化学・石油・石炭,化学,23.7,57.3,3.9,2.7,3.3,3.1,3.0,2.6,4.0,2.9,$10.91B,1918年10月25日,1962年8月,"6,017人","25,964人",40.4歳,"7,340千円"
108,5201.T,90873.0,ＡＧＣ株式会社,その他,ガラス・土石製品,31.3,59.5,3.7,3.2,3.9,3.4,3.6,2.9,4.6,2.9,$10.97B,1950年6月1日,1950年6月,"7,263人","56,430人",43.2歳,"7,950千円"
109,9021.T,100000.0,西日本旅客鉄道株式会社,運輸,陸運業,16.5,74.6,2.8,2.6,2.7,3.2,2.3,2.7,4.7,2.5,$10.88B,1987年4月1日,1996年10月8日,"24,124人","48,737人",38.4歳,"6,110千円"
110,6383.T,31865.0,株式会社ダイフク,機械系,機械,34.9,54.6,3.4,2.9,3.3,2.9,2.9,2.5,3.6,2.4,$10.7B,1937年5月20日,1961年10月,"3,169人","11,874人",42.7歳,"8,460千円"
111,4188.T,50000.0,株式会社三菱ケミカルホールディングス,化学・石油・石炭,化学,12.1,70.7,3.0,2.8,2.9,3.5,2.8,2.8,3.7,2.9,$10.98B,2005年10月3日,2005年10月1日,201人,"69,607人",45.6歳,"10,110千円"
112,6146.T,14517.0,株式会社ディスコ,機械系,機械,42.2,47.0,2.7,2.8,3.5,2.9,3.6,2.1,3.6,2.6,$10.45B,1940年3月2日,1989年10月31日,"3,004人","4,238人",38.1歳,"9,650千円"
113,5802.T,99736.0,住友電気工業株式会社,その他,金属,24.5,62.4,3.8,2.8,3.3,3.0,3.0,3.0,4.7,2.6,$8.15B,1911年8月,1949年5月,"6,136人","286,784人",41.7歳,"7,780千円"
114,8951.T,,日本ビルファンド投資法人,建設・不動産,不動産業,None,None,3.0,2.9,2.9,2.8,2.9,2.9,2.9,3.0,$10.32B,None,2001年9月10日,None,None,None,None
