,株式コード,ＥＤＩＮＥＴコード,上場区分,連結の有無,資本金,提出者名,所在地,提出者業種,緯度,経度,都道府県名
0,1301.T,E00012,上場,有,5664.0,株式会社極洋,港区赤坂三丁目３番５号,水産・農林業,35.674698,139.738098,東京都
1,1605.T,E00043,上場,有,290809.0,株式会社ＩＮＰＥＸ,港区赤坂五丁目３番１号,金属,35.673569,139.736704,東京都
2,1925.T,E00048,上場,有,161699.0,大和ハウス工業株式会社,大阪市北区梅田三丁目３番５号,建設業,34.69958,135.492698,大阪府
3,1802.T,E00055,上場,有,57752.0,株式会社大林組,港区港南二丁目１５番２号,建設業,35.626151,139.74206,東京都
4,1812.T,E00058,上場,有,81447.0,鹿島建設株式会社,港区元赤坂一丁目３番１号,建設業,35.677310999999996,139.734376,東京都
5,1928.T,E00143,上場,有,202591.0,積水ハウス株式会社,大阪市北区大淀中一丁目１番８８号,建設業,34.705302,135.49053600000002,大阪府
6,1860.T,E00147,上場,有,23001.0,戸田建設株式会社,中央区京橋１－７－１,建設業,35.678335,139.771515,東京都
7,1878.T,E00218,上場,有,29060.0,大東建託株式会社,港区港南二丁目１６番１号,建設業,35.627788,139.740748,東京都
8,2002.T,E00346,上場,有,17117.0,株式会社日清製粉グループ本社,千代田区神田錦町一丁目２５番地,食料品,35.690582,139.763546,東京都
9,2503.T,E00395,上場,有,102045.0,キリンホールディングス株式会社,中野区中野四丁目１０番２号,食料品,35.707006,139.661695,東京都
10,2267.T,E00406,上場,有,31117.0,株式会社ヤクルト本社,港区海岸１丁目１０番３０号,食料品,35.655961,139.762878,東京都
11,2801.T,E00435,上場,有,11599.0,キッコーマン株式会社,野田市野田２５０番地,食料品,35.942741999999996,139.863559,千葉県
12,2802.T,E00436,上場,有,79863.0,味の素株式会社,中央区京橋一丁目１５番１号,食料品,35.676999,139.77335300000001,東京都
13,2897.T,E00457,上場,有,25122.0,日清食品ホールディングス株式会社,大阪市淀川区西中島四丁目１番１号,食料品,34.725977,135.49801599999998,大阪府
14,2875.T,E00461,上場,有,18969.0,東洋水産株式会社,港区港南二丁目１３番４０号,食料品,35.628735999999996,139.7453,東京都
15,2914.T,E00492,上場,有,100000.0,日本たばこ産業株式会社,港区虎ノ門四丁目１番１号,食料品,35.665437,139.745261,東京都
16,3003.T,E00523,上場,有,62718.0,ヒューリック株式会社,中央区日本橋大伝馬町７番３号,不動産業,35.68997,139.779559,東京都
17,8113.T,E00678,上場,有,15992.0,ユニ・チャーム株式会社,四国中央市金生町下分１８２番地,化学,34.0053,133.57638300000002,愛媛県
18,7911.T,E00692,上場,有,104986.0,凸版印刷株式会社,台東区台東一丁目５番１号,その他製品,35.700803,139.778157,東京都
19,7912.T,E00693,上場,有,114464.0,大日本印刷株式会社,新宿区市谷加賀町一丁目１番１号,その他製品,35.695623,139.73101699999998,東京都
20,4005.T,E00752,上場,有,89699.0,住友化学株式会社,中央区新川二丁目２７番１号,化学,35.673592,139.784448,東京都
21,4021.T,E00759,上場,有,18942.0,日産化学株式会社,中央区日本橋二丁目５番１号,化学,35.681472,139.773827,東京都
22,4062.T,E00775,上場,有,64152.0,イビデン株式会社,大垣市神田町２丁目１番地,電気機器,35.361684999999994,136.60458,岐阜県
23,4063.T,E00776,上場,有,119419.0,信越化学工業株式会社,千代田区丸の内一丁目４番１号,化学,35.684356,139.76493200000002,東京都
24,4188.T,E00808,上場,有,50000.0,株式会社三菱ケミカルホールディングス,千代田区丸の内一丁目１番１号,化学,35.6845,139.761221,東京都
25,4151.T,E00816,上場,有,26745.0,協和キリン株式会社,千代田区大手町一丁目９番２号,医薬品,35.688781,139.764566,東京都
26,4204.T,E00820,上場,有,100002.0,積水化学工業株式会社,大阪市北区西天満二丁目４番４号,化学,34.695469,135.50277,大阪府
