,株式コード,資本金,提出者名,提出者業種,残業時間,有休消化率,待遇面の満足度,社員の士気,風通しの良さ,社員の相互尊重,20代成長環境,人材の長期育成,法令遵守意識,人事評価の適正感,従業員数(連結),平均年齢,平均年収,設立年,上場年
161,3141.T,7736.0,ウエルシアホールディングス株式会社,小売業,22.2,48.3,3.0,2.8,3.0,3.1,3.3,2.7,3.4,2.9,11708,58.3,8310,2008,2008
162,4922.T,4848.0,株式会社コーセー,化学,14.0,58.7,2.4,2.9,2.9,3.2,2.7,2.4,4.0,2.3,8912,41.7,8180,1948,1999
163,6753.T,5000.0,シャープ株式会社,電気機器,22.4,60.4,2.6,2.6,3.0,3.3,2.9,2.5,4.4,2.8,49965,45.7,7430,1935,1949
164,9007.T,60359.0,小田急電鉄株式会社,陸運業,22.3,80.6,3.3,2.6,2.8,3.9,2.1,2.7,4.7,2.6,13861,40.3,7200,1948,1949
165,8795.T,207111.0,株式会社Ｔ＆Ｄホールディングス,保険業,None,None,None,None,None,None,None,None,None,None,20036,46.1,10470,2004,2004
166,9532.T,132166.0,大阪瓦斯株式会社,電気・ガス業,26.3,58.7,4.0,3.0,3.9,3.9,2.8,3.2,4.8,2.9,21256,43.9,6540,1897,1949
167,3462.T,,野村不動産マスターファンド投資法人,その他金融業,None,None,None,None,None,None,None,None,None,None,0,0,0,None,2015
168,3291.T,10000.0,飯田グループホールディングス株式会社,不動産業,22.0,69.4,2.8,2.8,2.7,2.8,2.7,2.6,3.5,3.0,10134,42.4,7330,2013,2013
169,7912.T,114464.0,大日本印刷株式会社,その他製品,30.8,51.0,2.7,2.5,3.0,2.9,2.8,2.6,4.7,2.5,36900,42.8,7660,1894,1949
170,9684.T,23664.0,株式会社スクウェア・エニックス・ホールディングス,情報・通信業,None,None,3.0,3.0,3.2,3.0,3.2,3.0,3.2,3.0,5550,47.3,14690,1980,1991
171,7181.T,500000.0,株式会社かんぽ生命保険,保険業,11.6,86.4,2.8,2.4,2.6,2.7,2.3,2.5,4.4,2.5,8400,39.9,6400,2006,2015
172,6305.T,81577.0,日立建機株式会社,機械,26.7,53.8,3.4,2.7,3.1,3.0,2.8,2.6,4.4,2.7,24937,39.9,7020,1970,1981
173,4967.T,3450.0,小林製薬株式会社,化学,26.3,54.5,3.4,3.2,4.1,3.3,3.4,2.7,4.3,2.8,3473,40.4,6760,1919,1999
174,9719.T,21152.0,ＳＣＳＫ株式会社,情報・通信業,23.4,88.9,2.8,2.9,3.6,3.3,2.9,3.1,4.7,2.7,14983,43.5,7520,1969,1989
175,3349.T,4178.0,株式会社コスモス薬品,小売業,13.5,48.2,2.4,3.3,3.3,3.9,3.0,2.5,4.7,3.0,4872,29.9,4150,1991,2004
176,7747.T,18860.0,朝日インテック株式会社,精密機器,23.7,54.1,2.9,2.7,3.2,3.0,2.4,2.1,4.5,2.5,9409,36.4,6130,1976,2004
177,8439.T,81129.0,東京センチュリー株式会社,その他金融業,22.3,66.2,3.6,2.8,2.7,2.8,2.7,2.7,4.6,2.6,7559,43.3,8560,1969,2003
178,4613.T,25658.0,関西ペイント株式会社,化学,21.0,59.3,3.9,2.9,4.1,3.6,2.9,2.6,3.9,2.7,15908,43.1,8150,1918,1949
179,2702.T,24113.0,日本マクドナルドホールディングス株式会社,小売業,39.8,41.6,3.0,3.1,2.5,4.0,4.2,2.7,3.4,2.9,2083,0,0,1971,2001
180,1812.T,81447.0,鹿島建設株式会社,建設業,53.0,37.1,4.2,3.8,3.5,4.0,3.5,3.6,4.4,3.1,19284,44.1,11350,1930,1961
181,9107.T,75457.0,川崎汽船株式会社,海運業,47.0,61.7,4.0,2.8,3.9,3.7,3.4,2.7,3.9,2.4,5760,38.9,9060,1919,1950
182,1802.T,57752.0,株式会社大林組,建設業,59.4,32.0,4.1,3.6,3.4,3.8,3.2,3.3,3.9,3.0,15703,42.6,10320,1936,1958
183,9041.T,126476.0,近鉄グループホールディングス株式会社,陸運業,17.2,53.3,3.5,2.4,2.4,3.3,2.6,2.6,4.8,2.2,30343,45.7,7210,1944,1949
184,7911.T,104986.0,凸版印刷株式会社,その他製品,34.9,48.7,2.3,2.6,3.2,3.0,2.9,2.8,4.4,2.5,52401,42.8,6770,1908,1949
185,9697.T,33239.0,株式会社カプコン,情報・通信業,27.9,64.6,2.5,3.2,2.8,3.3,3.2,2.5,4.1,2.6,3319,37.1,6030,1979,1990
186,9062.T,70175.0,日本通運株式会社,陸運業,29.3,38.3,2.4,2.5,2.8,3.0,2.5,2.7,4.6,2.3,73970,43.7,5670,1937,1950
187,3391.T,6563.0,株式会社ツルハホールディングス,小売業,31.1,15.5,2.5,2.7,3.1,3.0,3.1,2.2,3.5,3.0,10822,45.0,6540,1963,2005
188,7261.T,283957.0,マツダ株式会社,輸送用機器,20.2,77.9,2.7,2.9,3.3,3.3,2.9,2.8,4.7,3.2,49786,41.5,6280,1920,1949
189,2651.T,58506.0,株式会社ローソン,小売業,28.9,44.0,3.0,2.8,3.1,3.0,2.9,2.6,3.8,3.1,10385,40.7,6200,1975,2000
190,4536.T,8525.0,参天製薬株式会社,医薬品,28.2,54.6,3.3,2.9,2.9,3.0,2.8,2.5,4.3,3.0,4260,43.4,8260,1925,1963
191,4516.T,5174.0,日本新薬株式会社,医薬品,18.2,52.6,4.0,3.4,3.1,3.7,3.4,3.4,4.6,2.9,2059,41.0,7950,1919,1949
192,9001.T,102135.0,東武鉄道株式会社,陸運業,30.5,71.4,2.9,2.4,2.6,2.9,2.4,2.8,4.5,2.6,20077,46.9,6690,1897,1949
193,4506.T,22400.0,大日本住友製薬株式会社,医薬品,20.3,62.9,4.0,2.8,3.5,3.6,3.1,3.0,4.8,2.9,7032,43.1,8960,1897,1949
194,8572.T,63832.0,アコム株式会社,その他金融業,19.5,81.5,3.8,2.8,3.7,3.4,2.7,3.2,4.9,3.0,5468,40.5,6250,1978,1993
195,8331.T,145069.0,株式会社千葉銀行,銀行業,23.1,84.6,3.1,2.9,2.7,2.9,2.8,2.7,4.6,2.9,4380,38.5,7400,1943,1970
196,2002.T,17117.0,株式会社日清製粉グループ本社,食料品,38.4,43.8,3.8,2.8,2.5,2.7,3.2,2.6,4.8,2.6,9060,42.1,8790,1907,1949
197,2875.T,18969.0,東洋水産株式会社,食料品,22.4,51.8,2.9,2.7,2.8,2.9,2.6,2.5,4.3,2.5,4880,40.4,6130,1948,1970
198,7564.T,1622.0,株式会社ワークマン,小売業,29.0,34.5,3.1,2.7,3.2,2.7,3.2,2.7,2.9,2.9,0,36.9,6910,1982,1997
199,9706.T,17489.0,日本空港ビルデング株式会社,不動産業,13.4,65.9,2.9,2.5,2.7,2.8,2.1,2.4,4.3,2.4,3110,39.3,6060,1953,1990
200,2331.T,18675.0,綜合警備保障株式会社,サービス業,35.2,46.2,2.4,2.4,2.4,2.9,2.3,2.2,4.2,2.6,39105,40.5,5790,1965,2002
201,4912.T,34433.0,ライオン株式会社,化学,20.0,57.9,3.8,3.1,4.2,4.0,3.1,3.5,4.9,2.9,7452,43.7,6920,1918,1949
202,7731.T,65476.0,株式会社ニコン,精密機器,17.6,57.3,3.4,2.5,2.8,2.9,2.5,2.5,4.7,2.7,19357,43.4,7380,1917,1949
203,6324.T,7100.0,株式会社ハーモニック・ドライブ・システムズ,機械,23.7,43.5,3.1,3.0,2.9,2.9,2.9,2.8,2.9,2.9,1104,41.3,6910,1970,1998
204,4581.T,30000.0,大正製薬ホールディングス株式会社,医薬品,28.7,42.1,3.0,2.5,2.4,3.0,2.3,2.3,3.9,2.3,9254,45.2,8660,2011,2011
205,9506.T,251441.0,東北電力株式会社,電気・ガス業,23.3,61.0,3.7,2.6,2.8,3.3,2.2,2.7,4.8,2.7,24717,43.3,7750,1951,1951
206,6952.T,48592.0,カシオ計算機株式会社,電気機器,23.2,45.6,3.3,2.5,3.0,2.9,2.8,2.3,4.4,2.6,10404,46.8,8030,1957,1970
207,4587.T,3930.0,ペプチドリーム株式会社,医薬品,None,None,None,None,None,None,None,None,None,None,0,38.2,9760,2006,2013
208,9048.T,84185.0,名古屋鉄道株式会社,陸運業,27.1,77.5,1.8,2.2,2.6,3.7,1.7,2.2,4.3,1.9,29820,44.1,5820,1921,1949
209,9533.T,33072.0,東邦瓦斯株式会社,電気・ガス業,17.4,41.7,4.2,2.6,2.9,3.1,2.6,2.8,4.8,2.5,6404,42.6,5670,1922,1949
210,3292.T,,イオンリート投資法人,その他金融業,None,None,None,None,None,None,None,None,None,None,0,0,0,None,2013
211,5105.T,55935.0,ＴＯＹＯ ＴＩＲＥ株式会社,ゴム製品,25.6,49.4,2.4,2.4,2.6,2.6,2.6,2.3,3.1,2.5,11258,39.2,5840,1943,1949
212,7956.T,5199.0,ピジョン株式会社,その他製品,10.6,55.0,3.1,2.9,3.6,3.0,3.1,2.7,4.6,2.4,3886,42.6,8080,1957,1988
213,5301.T,20436.0,東海カーボン株式会社,ガラス・土石製品,10.2,69.1,3.1,3.1,3.8,3.6,3.1,2.9,3.8,3.1,4242,41.0,6690,1918,1949
214,1860.T,23001.0,戸田建設株式会社,建設業,40.1,48.6,3.1,2.9,2.9,3.0,2.9,2.8,4.1,2.8,5707,44.5,8580,1936,1969
215,3694.T,443.0,株式会社オプティム,情報・通信業,32.6,67.2,2.5,3.7,3.7,3.3,3.6,2.2,3.4,2.9,360,33.7,5630,2000,2014
216,3817.T,1000.0,株式会社ＳＲＡホールディングス,情報・通信業,None,None,None,None,None,None,None,None,None,None,1418,46.1,6380,2006,2006
217,5982.T,3164.0,株式会社マルゼン,金属,51.9,20.5,2.0,2.5,2.3,2.7,2.7,2.3,2.3,2.8,1359,39.9,5200,1961,1995
218,1301.T,5664.0,株式会社極洋,水産・農林業,16.9,36.9,3.5,3.3,2.9,2.4,3.1,2.5,3.2,2.6,2313,40.4,6970,1937,1949
