,株式コード,資本金,提出者名,提出者業種,残業時間,有休消化率,待遇面の満足度,社員の士気,風通しの良さ,社員の相互尊重,20代成長環境,人材の長期育成,法令遵守意識,人事評価の適正感,従業員数(連結),平均年齢,平均年収,設立年,上場年
54,6920.T,931.0,レーザーテック株式会社,電気機器,24.9,48.6,3.4,3.4,3.2,2.7,3.5,3.4,3.2,3.8,529,0,0,1962,1990
55,7751.T,174762.0,キヤノン株式会社,電気機器,18.4,69.2,2.6,2.4,3.0,3.4,2.5,2.6,4.9,2.7,178809,44.4,7440,1937,1949
56,4911.T,64506.0,株式会社資生堂,化学,27.8,55.7,3.0,2.9,3.0,3.4,2.8,2.8,4.7,2.9,39035,38.8,6580,1927,1949
57,8591.T,221111.0,オリックス株式会社,その他金融業,34.2,62.7,4.1,3.6,3.8,3.3,4.1,2.9,4.0,3.6,33344,43.2,8580,1964,1970
58,9020.T,200000.0,東日本旅客鉄道株式会社,陸運業,17.9,84.4,3.4,2.5,2.7,3.6,2.2,2.8,4.7,2.4,74198,38.2,6730,1987,1993
59,6301.T,71678.0,株式会社小松製作所,機械,22.8,88.9,3.8,3.0,3.8,3.5,2.9,3.0,4.9,3.0,61564,39.8,7180,1921,1949
60,6971.T,115703.0,京セラ株式会社,電気機器,29.5,45.9,3.1,2.8,2.9,3.3,2.7,2.6,4.6,2.7,80308,41.1,6840,1959,1971
61,8750.T,343926.0,第一生命ホールディングス株式会社,保険業,28.8,44.8,2.8,2.9,2.8,3.3,2.8,2.7,4.2,3.4,64674,45.9,6210,2010,2010
62,8267.T,220007.0,イオン株式会社,小売業,25.2,56.2,3.2,2.9,3.4,3.0,2.9,3.1,4.3,3.1,155578,49.9,8290,1926,1974
63,4507.T,21279.0,塩野義製薬株式会社,医薬品,20.2,59.7,3.7,2.6,3.2,3.6,2.9,2.9,4.8,2.8,5485,41.2,9020,1919,1949
64,6645.T,64099.0,オムロン株式会社,電気機器,20.5,50.3,3.4,2.6,3.2,3.1,2.7,2.8,4.8,2.7,28254,45.0,8030,1948,1962
65,4578.T,81690.0,大塚ホールディングス株式会社,医薬品,21.1,54.2,2.9,2.9,3.0,3.2,3.2,2.9,3.0,2.9,33151,44.1,9910,2008,2010
66,7269.T,138318.0,スズキ株式会社,輸送用機器,31.7,54.0,2.1,2.3,2.8,2.9,3.8,2.4,3.0,2.6,70419,40.5,6650,1920,1949
67,1925.T,161699.0,大和ハウス工業株式会社,建設業,35.0,38.3,3.8,2.8,2.5,2.4,3.0,2.5,3.5,4.0,49314,39.1,8670,1947,1961
68,7201.T,605813.0,日産自動車株式会社,輸送用機器,28.2,81.1,3.8,2.8,3.2,2.9,3.2,2.8,3.9,3.6,134885,41.6,7960,1933,1951
69,9843.T,13370.0,株式会社ニトリホールディングス,小売業,15.1,63.4,3.1,3.2,3.3,3.3,2.5,3.1,4.7,3.1,18400,40.7,8680,1972,1989
70,8053.T,219893.0,住友商事株式会社,卸売業,36.8,67.8,4.8,3.2,3.5,4.2,3.5,3.5,4.9,2.7,74920,42.7,13560,1919,1949
71,3659.T,51987.0,株式会社ネクソン,情報・通信業,19.9,82.1,2.7,2.3,3.4,2.9,2.5,1.9,4.2,2.2,6407,37.0,5980,2002,2011
72,7832.T,10000.0,株式会社バンダイナムコホールディングス,その他製品,9.2,69.1,2.8,3.0,3.1,3.4,3.0,2.8,3.1,3.4,9806,0,0,2005,2005
73,6502.T,200175.0,株式会社東芝,電気機器,32.8,65.6,3.5,2.7,2.9,3.1,3.2,3.0,3.7,2.9,118131,45.0,8660,1904,1949
74,6857.T,32363.0,株式会社アドバンテスト,電気機器,10.5,70.3,3.7,2.7,3.7,3.5,3.1,3.0,4.6,3.1,5314,46.1,9800,1954,1983
75,4523.T,44985.0,エーザイ株式会社,医薬品,33.0,54.2,4.1,2.7,2.9,3.4,3.5,2.8,4.2,3.1,11237,43.9,10420,1941,1961
76,8725.T,100276.0,ＭＳ＆ＡＤインシュアランスグループホールディングス株式会社,保険業,4.0,95.0,3.0,2.9,3.1,3.1,2.9,2.9,3.2,2.9,41219,47.8,10740,2008,2008
77,4684.T,19178.0,株式会社オービック,情報・通信業,42.0,33.7,2.7,3.2,3.9,4.1,4.4,2.6,3.1,3.0,2155,36.4,9330,1968,1998
78,2802.T,79863.0,味の素株式会社,食料品,22.6,69.3,4.4,3.8,3.8,4.1,3.1,3.6,4.9,3.2,33461,44.1,9970,1925,1949
79,8002.T,262947.0,丸紅株式会社,卸売業,35.6,55.1,4.6,3.3,3.6,3.6,3.8,3.1,4.4,3.1,0,42.2,11920,1949,1950
80,4755.T,205924.0,楽天グループ株式会社,サービス業,32.5,60.1,3.2,3.8,3.9,3.9,4.2,2.6,3.9,3.4,23841,34.2,7450,1997,2000
81,4151.T,26745.0,協和キリン株式会社,医薬品,21.2,66.0,3.1,2.8,3.3,3.7,3.0,2.7,4.5,2.7,5700,42.6,8770,1949,1949
82,6762.T,32641.0,ＴＤＫ株式会社,電気機器,26.0,49.1,3.3,2.6,3.7,2.9,2.8,2.6,4.0,2.7,128742,43.5,7860,1935,1961
83,8015.T,64936.0,豊田通商株式会社,卸売業,33.3,48.4,4.2,3.0,3.6,4.0,3.4,2.8,4.8,2.9,64402,42.4,11000,1948,1961
84,2801.T,11599.0,キッコーマン株式会社,食料品,21.6,64.3,4.4,3.4,3.0,3.7,3.0,3.3,4.8,3.2,7645,43.6,7760,1917,1949
85,8630.T,100045.0,ＳＯＭＰＯホールディングス株式会社,保険業,20.4,44.2,3.1,3.0,3.0,3.1,3.1,2.9,3.1,2.9,48163,43.4,11090,2010,2010
86,9735.T,66392.0,セコム株式会社,サービス業,32.1,52.7,2.6,2.5,2.5,2.9,2.4,2.2,4.7,2.9,59436,43.2,5910,1962,1974
87,5401.T,419524.0,日本製鉄株式会社,金属,32.3,53.3,2.9,2.9,2.8,3.3,3.1,3.0,4.5,2.8,106226,37.2,4940,1950,1950
