株式コード,資本金,提出者名,提出者業種,企業名,残業時間,有休消化率,待遇面の満足度,社員の士気,風通しの良さ,社員の相互尊重,20代成長環境,人材の長期育成,法令遵守意識,人事評価の適正感,設立年月日,上場年月日,従業員数(連結),平均年齢,平均年収
7203.T,635401.0,トヨタ自動車株式会社,輸送用機器,トヨタ自動車株式会社,27.0,87.8,4.2,3.7,3.5,4.2,3.4,4.0,4.9,3.2,1937年8月28日,1949年5月,"372,434人",40.0歳,"8,580千円"
6861.T,30637.0,株式会社キーエンス,電気機器,株式会社キーエンス,59.6,29.2,4.8,4.4,4.1,3.5,4.6,2.6,3.9,4.3,1974年5月27日,1987年10月29日,"8,380人",35.8歳,"17,510千円"
6758.T,880214.0,ソニーグループ株式会社,電気機器,ソニーグループ株式会社（旧：ソニー株式会社）,34.9,61.0,4.1,3.7,4.1,3.7,4.1,3.0,4.6,3.8,1946年5月7日,1958年12月,"109,700人",42.2歳,"10,440千円"
6098.T,40000.0,株式会社リクルートホールディングス,サービス業,株式会社リクルートホールディングス,36.8,57.3,4.1,4.4,4.4,4.1,4.7,3.1,4.0,4.1,1963年8月26日,2014年10月16日,"47,786人",38.7歳,"9,500千円"
9432.T,937950.0,日本電信電話株式会社,情報・通信業,日本電信電話株式会社（NTT）,20.8,92.3,3.3,3.0,3.7,3.5,3.6,3.2,4.9,3.0,1985年4月1日,1987年2月9日,"332,950人",41.8歳,"9,300千円"
8035.T,54961.0,東京エレクトロン株式会社,電気機器,東京エレクトロン株式会社,31.5,57.5,4.0,3.3,4.1,3.6,3.5,2.7,4.5,3.5,1963年11月11日,1980年6月,"14,804人",44.3歳,"11,790千円"
9434.T,204309.0,ソフトバンク株式会社,情報・通信業,ソフトバンク株式会社,28.5,64.9,3.2,3.4,3.7,3.2,3.7,2.7,4.1,3.4,1986年12月9日,2018年12月19日,"47,313人",40.1歳,"8,200千円"
8306.T,2141513.0,株式会社三菱ＵＦＪフィナンシャル・グループ,銀行業,株式会社三菱UFJフィナンシャル・グループ,18.3,67.3,3.1,3.0,2.9,3.2,2.9,3.1,4.7,3.0,2001年4月2日,2001年4月1日,"138,161人",38.3歳,"7,730千円"
4063.T,119419.0,信越化学工業株式会社,化学,信越化学工業株式会社,30.0,61.5,2.5,2.8,2.8,2.9,2.9,2.5,4.1,2.5,1926年9月16日,1949年5月,"24,196人",42.2歳,"8,480千円"
6594.T,87784.0,日本電産株式会社,電気機器,日本電産株式会社,27.9,41.1,2.3,2.8,3.0,2.7,3.9,2.1,3.3,3.0,1973年7月23日,1988年11月7日,"110,602人",38.7歳,"5,870千円"
6367.T,85032.0,ダイキン工業株式会社,機械,ダイキン工業株式会社,25.0,90.5,3.0,2.8,3.4,3.2,2.8,2.6,4.2,2.9,1934年2月14日,1949年5月,"84,870人",39.0歳,"7,280千円"
9433.T,141852.0,ＫＤＤＩ株式会社,情報・通信業,KDDI株式会社,26.5,65.7,3.8,2.8,2.9,3.2,2.7,2.9,4.8,2.8,1984年6月1日,1993年9月3日,"48,636人",42.8歳,"9,480千円"
9983.T,10273.0,株式会社ファーストリテイリング,小売業,株式会社ファーストリテイリング,26.7,55.2,3.3,3.7,3.3,3.3,4.0,2.5,3.9,3.5,1963年5月1日,1994年7月14日,"56,591人",37.8歳,"9,010千円"
6902.T,187457.0,株式会社デンソー,輸送用機器,株式会社デンソー（自動車部品）,24.7,71.2,4.3,3.0,3.3,3.5,3.0,3.2,4.8,2.9,1949年12月16日,1951年12月,"168,738人",43.8歳,"7,210千円"
7741.T,6264.0,ＨＯＹＡ株式会社,精密機器,HOYA株式会社,23.7,41.0,3.0,2.6,2.7,2.6,2.5,2.0,3.8,3.1,1944年8月23日,1961年10月,"37,245人",46.3歳,"7,120千円"
6501.T,461731.0,株式会社日立製作所,電気機器,株式会社日立製作所,34.5,57.2,3.8,2.9,3.1,3.4,2.9,3.4,4.7,3.0,1920年2月1日,1949年5月,"353,520人",42.6歳,"8,900千円"
7974.T,10065.0,任天堂株式会社,その他製品,任天堂株式会社,25.6,78.8,4.3,3.5,3.7,3.7,2.7,2.7,4.8,2.8,1947年11月20日,1962年1月,"6,574人",39.6歳,"9,710千円"
4519.T,73201.0,中外製薬株式会社,医薬品,中外製薬株式会社,22.3,55.7,4.4,4.1,4.1,4.0,4.3,4.1,4.9,3.7,1943年3月8日,1956年3月,"7,679人",43.3歳,"11,000千円"
4661.T,63201.0,株式会社オリエンタルランド,サービス業,株式会社オリエンタルランド,17.7,83.8,2.8,3.5,3.1,4.2,2.7,2.7,4.8,2.7,1960年7月11日,1996年12月11日,"8,782人",39.2歳,"4,510千円"
6981.T,69376.0,株式会社村田製作所,電気機器,株式会社村田製作所,23.0,63.7,3.7,3.6,3.9,3.7,3.6,3.3,4.7,3.3,1950年12月23日,1963年3月,"76,565人",40.1歳,"7,310千円"
7267.T,86067.0,本田技研工業株式会社,輸送用機器,本田技研工業株式会社,21.7,94.4,3.7,2.6,3.2,3.0,2.5,2.4,4.7,2.6,1948年9月24日,1957年12月,"211,374人",44.9歳,"7,980千円"
4689.T,237404.0,Ｚホールディングス株式会社,情報・通信業,Zホールディングス株式会社,None,None,2.9,2.9,3.0,3.0,3.0,3.2,3.2,2.9,1996年1月31日,1997年11月4日,"22,531人",42.0歳,"10,790千円"
8316.T,2341878.0,株式会社三井住友フィナンシャルグループ,銀行業,株式会社三井住友フィナンシャルグループ,32.8,66.1,3.4,3.4,3.1,3.1,2.9,2.9,3.8,3.1,2002年12月2日,2002年12月1日,"86,781人",38.0歳,"8,420千円"
8001.T,253448.0,伊藤忠商事株式会社,卸売業,伊藤忠商事株式会社,40.8,56.8,4.8,4.2,4.0,3.8,4.0,3.7,4.7,3.7,1949年12月1日,1950年7月,"119,240人",42.0歳,"16,270千円"
6273.T,61005.0,ＳＭＣ株式会社,機械,SMC株式会社（精密機器）,21.3,76.6,3.1,2.4,2.7,2.7,2.5,2.5,3.5,2.6,1959年4月27日,1987年12月23日,"20,861人",41.6歳,"7,750千円"
4568.T,50000.0,第一三共株式会社,医薬品,第一三共株式会社,29.2,62.9,4.5,3.8,3.5,4.2,3.7,3.6,4.6,3.0,2005年9月28日,2005年9月28日,"16,214人",44.4歳,"11,160千円"
4502.T,77923.0,武田薬品工業株式会社,医薬品,武田薬品工業株式会社,23.9,65.5,4.4,2.8,2.9,3.3,3.3,2.7,4.7,3.1,1925年1月29日,1949年5月,"47,099人",42.0歳,"10,760千円"
6954.T,69014.0,ファナック株式会社,電気機器,ファナック株式会社,49.2,74.5,4.5,2.1,2.1,2.2,2.2,1.9,4.0,2.3,1972年5月12日,1976年11月,"8,256人",40.2歳,"10,980千円"
3382.T,50000.0,株式会社セブン＆アイ・ホールディングス,小売業,株式会社セブン&アイ・ホールディングス,22.0,61.7,2.6,3.0,2.7,2.9,2.6,2.4,3.7,2.3,2005年9月1日,2005年9月1日,"72,954人",43.9歳,"7,420千円"
8031.T,342384.0,三井物産株式会社,卸売業,三井物産株式会社,30.0,59.4,4.7,3.9,4.0,4.0,4.0,3.8,4.8,3.3,1947年7月25日,1949年5月,"44,509人",42.1歳,"14,820千円"
8766.T,150000.0,東京海上ホールディングス株式会社,保険業,東京海上ホールディングス株式会社,None,None,3.0,3.2,3.0,3.0,3.2,3.2,3.2,3.0,2002年4月2日,2002年4月1日,"43,257人",41.9歳,"7,720千円"
2914.T,100000.0,日本たばこ産業株式会社,食料品,日本たばこ産業株式会社（JT）,20.2,84.1,4.4,2.7,3.7,3.9,2.7,3.2,4.9,2.8,1985年4月1日,1994年10月27日,"58,300人",43.2歳,"8,290千円"
6702.T,324625.0,富士通株式会社,電気機器,富士通株式会社,31.4,57.3,2.9,2.7,3.1,3.2,2.8,2.9,4.5,2.7,1935年6月20日,1949年5月,"126,371人",43.8歳,"8,650千円"
8411.T,2256767.0,株式会社みずほフィナンシャルグループ,銀行業,株式会社みずほフィナンシャルグループ,35.3,63.0,3.3,2.8,2.9,3.0,2.9,2.8,4.8,2.9,2003年1月8日,2003年3月12日,"54,492人",38.1歳,"7,290千円"
4543.T,38716.0,テルモ株式会社,精密機器,テルモ株式会社,28.5,60.2,2.8,2.9,3.1,3.2,2.7,2.7,4.6,2.7,1921年9月17日,1982年6月21日,"26,846人",40.5歳,"7,440千円"
7182.T,3500000.0,株式会社ゆうちょ銀行,銀行業,株式会社ゆうちょ銀行,15.6,86.8,2.8,2.3,2.7,2.8,2.3,2.5,4.6,2.5,2006年9月1日,2015年11月4日,"12,535人",43.8歳,"6,740千円"
5108.T,126354.0,株式会社ブリヂストン,ゴム製品,株式会社ブリヂストン,30.1,60.1,3.3,2.6,2.8,2.9,2.9,2.6,4.7,2.9,1931年3月1日,1961年10月,"138,036人",40.4歳,"6,850千円"
4901.T,40363.0,富士フイルムホールディングス株式会社,化学,富士フイルムホールディングス株式会社,10.0,85.7,3.2,3.2,3.1,3.2,3.1,3.2,3.2,3.2,1934年1月20日,1949年5月,"75,879人",45.5歳,"9,700千円"
9613.T,142520.0,株式会社エヌ・ティ・ティ・データ,情報・通信業,株式会社エヌ・ティ・ティ・データ,30.7,85.6,4.0,3.2,3.7,4.0,3.2,3.8,4.8,3.1,1988年5月23日,1995年4月26日,"142,750人",38.9歳,"8,410千円"
6178.T,3500000.0,日本郵政株式会社,サービス業,日本郵政株式会社,18.9,73.9,2.7,2.2,2.7,2.9,2.2,2.5,4.6,2.3,2006年1月23日,2015年11月4日,"246,688人",44.3歳,"7,880千円"
4503.T,103000.0,アステラス製薬株式会社,医薬品,アステラス製薬株式会社,25.1,66.1,4.5,3.1,3.7,3.6,3.5,3.0,4.9,3.4,1939年3月20日,1949年5月,"15,455人",43.0歳,"10,510千円"
7733.T,124643.0,オリンパス株式会社,精密機器,オリンパス株式会社,19.6,53.5,3.7,2.7,2.8,3.0,2.6,2.6,4.6,2.7,1919年10月12日,1949年5月16日,"31,986人",42.8歳,"8,690千円"
6503.T,175820.0,三菱電機株式会社,電気機器,三菱電機株式会社,34.9,45.1,3.4,2.7,2.8,3.0,2.7,2.8,4.4,2.7,1921年1月15日,1949年5月,"145,653人",40.7歳,"7,960千円"
9022.T,112000.0,東海旅客鉄道株式会社,陸運業,東海旅客鉄道株式会社（JR東海）,24.7,58.1,3.8,2.7,2.4,3.7,2.1,2.8,5.0,2.4,1987年4月1日,1997年10月8日,"31,337人",36.5歳,"7,130千円"
6326.T,84130.0,株式会社クボタ,機械,株式会社クボタ,29.9,76.5,4.1,2.9,2.8,2.9,2.9,2.9,4.2,2.8,1930年12月22日,1949年5月,"42,710人",40.7歳,"7,990千円"
6869.T,12723.0,シスメックス株式会社,電気機器,シスメックス株式会社,25.5,58.9,3.7,2.6,2.9,2.9,2.7,2.4,4.5,2.8,1968年2月20日,1995年11月15日,"8,568人",41.4歳,"7,390千円"
4612.T,671432.0,日本ペイントホールディングス株式会社,化学,日本ペイントホールディングス株式会社,19.3,55.3,4.0,2.7,3.0,2.9,2.7,2.4,3.7,2.7,1898年3月,1949年5月,"27,318人",42.7歳,"8,320千円"
7309.T,35613.0,株式会社シマノ,輸送用機器,株式会社シマノ,29.3,60.2,3.9,3.4,3.7,2.7,3.0,2.3,3.8,2.9,1940年1月29日,1972年11月,"12,244人",39.9歳,"7,870千円"
4307.T,22414.0,株式会社野村総合研究所,情報・通信業,株式会社野村総合研究所,45.8,51.8,4.6,3.7,4.0,3.8,4.4,3.7,4.6,3.4,1966年1月5日,2001年12月17日,"15,395人",40.5歳,"12,250千円"
4452.T,85424.0,花王株式会社,化学,花王株式会社,25.3,69.6,3.8,3.4,3.7,3.8,2.9,3.1,4.9,2.9,1940年5月21日,1949年5月,"33,482人",40.5歳,"8,230千円"
6752.T,259168.0,パナソニック株式会社,電気機器,パナソニック株式会社,26.6,63.5,3.7,2.9,3.3,3.5,2.9,3.2,4.8,2.9,1935年12月15日,1949年5月,"240,202人",45.8歳,"7,430千円"
8113.T,15992.0,ユニ・チャーム株式会社,化学,ユニ・チャーム株式会社,41.7,42.8,3.7,3.2,3.3,3.6,4.2,3.1,3.3,3.0,1961年2月10日,1976年8月,"16,665人",41.4歳,"8,390千円"
6201.T,80462.0,株式会社豊田自動織機,輸送用機器,株式会社豊田自動織機,26.5,93.9,4.1,2.6,3.1,3.5,2.6,3.1,4.8,2.5,1926年11月18日,1949年5月,"68,311人",41.0歳,"7,690千円"
6723.T,10000.0,ルネサスエレクトロニクス株式会社,電気機器,ルネサスエレクトロニクス株式会社,34.3,44.0,3.1,2.5,3.0,3.0,2.9,2.4,4.4,2.9,2002年11月1日,2003年7月24日,"18,612人",46.9歳,"7,910千円"
6920.T,931.0,レーザーテック株式会社,電気機器,レーザーテック株式会社,24.9,48.6,3.4,3.4,3.2,2.7,3.5,3.4,3.2,3.8,1962年8月13日,1990年12月25日,529人,None,None
7751.T,174762.0,キヤノン株式会社,電気機器,キヤノン株式会社,18.4,69.2,2.6,2.4,3.0,3.4,2.5,2.6,4.9,2.7,1937年8月10日,1949年5月,"178,809人",44.4歳,"7,440千円"
4911.T,64506.0,株式会社資生堂,化学,株式会社資生堂,27.8,55.7,3.0,2.9,3.0,3.4,2.8,2.8,4.7,2.9,1927年6月24日,1949年5月,"39,035人",38.8歳,"6,580千円"
8591.T,221111.0,オリックス株式会社,その他金融業,オリックス株式会社,34.2,62.7,4.1,3.6,3.8,3.3,4.1,2.9,4.0,3.6,1964年4月17日,1970年4月,"33,344人",43.2歳,"8,580千円"
9020.T,200000.0,東日本旅客鉄道株式会社,陸運業,東日本旅客鉄道株式会社（JR東日本）,17.9,84.4,3.4,2.5,2.7,3.6,2.2,2.8,4.7,2.4,1987年4月1日,1993年10月26日,"74,198人",38.2歳,"6,730千円"
6301.T,71678.0,株式会社小松製作所,機械,株式会社小松製作所,22.8,88.9,3.8,3.0,3.8,3.5,2.9,3.0,4.9,3.0,1921年5月13日,1949年5月,"61,564人",39.8歳,"7,180千円"
6971.T,115703.0,京セラ株式会社,電気機器,京セラ株式会社,29.5,45.9,3.1,2.8,2.9,3.3,2.7,2.6,4.6,2.7,1959年4月1日,1971年10月,"80,308人",41.1歳,"6,840千円"
8750.T,343926.0,第一生命ホールディングス株式会社,保険業,第一生命ホールディングス株式会社,28.8,44.8,2.8,2.9,2.8,3.3,2.8,2.7,4.2,3.4,2010年4月1日,2010年4月1日,"64,674人",45.9歳,"6,210千円"
8267.T,220007.0,イオン株式会社,小売業,イオン株式会社,25.2,56.2,3.2,2.9,3.4,3.0,2.9,3.1,4.3,3.1,1926年9月21日,1974年9月,"155,578人",49.9歳,"8,290千円"
4507.T,21279.0,塩野義製薬株式会社,医薬品,塩野義製薬株式会社,20.2,59.7,3.7,2.6,3.2,3.6,2.9,2.9,4.8,2.8,1919年6月5日,1949年5月,"5,485人",41.2歳,"9,020千円"
6645.T,64099.0,オムロン株式会社,電気機器,オムロン株式会社,20.5,50.3,3.4,2.6,3.2,3.1,2.7,2.8,4.8,2.7,1948年5月19日,1962年4月,"28,254人",45.0歳,"8,030千円"
4578.T,81690.0,大塚ホールディングス株式会社,医薬品,大塚ホールディングス株式会社,21.1,54.2,2.9,2.9,3.0,3.2,3.2,2.9,3.0,2.9,2008年7月8日,2010年12月15日,"33,151人",44.1歳,"9,910千円"
7269.T,138318.0,スズキ株式会社,輸送用機器,スズキ株式会社（自動車）,31.7,54.0,2.1,2.3,2.8,2.9,3.8,2.4,3.0,2.6,1920年3月15日,1949年5月,"70,419人",40.5歳,"6,650千円"
1925.T,161699.0,大和ハウス工業株式会社,建設業,大和ハウス工業株式会社,35.0,38.3,3.8,2.8,2.5,2.4,3.0,2.5,3.5,4.0,1947年3月,1961年9月,"49,314人",39.1歳,"8,670千円"
7201.T,605813.0,日産自動車株式会社,輸送用機器,日産自動車株式会社,28.2,81.1,3.8,2.8,3.2,2.9,3.2,2.8,3.9,3.6,1933年12月26日,1951年1月,"134,885人",41.6歳,"7,960千円"
9843.T,13370.0,株式会社ニトリホールディングス,小売業,株式会社ニトリホールディングス,15.1,63.4,3.1,3.2,3.3,3.3,2.5,3.1,4.7,3.1,1972年3月3日,1989年9月27日,"18,400人",40.7歳,"8,680千円"
8053.T,219893.0,住友商事株式会社,卸売業,住友商事株式会社,36.8,67.8,4.8,3.2,3.5,4.2,3.5,3.5,4.9,2.7,1919年12月24日,1949年8月3日,"74,920人",42.7歳,"13,560千円"
3659.T,51987.0,株式会社ネクソン,情報・通信業,株式会社ネクソン,19.9,82.1,2.7,2.3,3.4,2.9,2.5,1.9,4.2,2.2,2002年12月18日,2011年12月14日,"6,407人",37.0歳,"5,980千円"
7832.T,10000.0,株式会社バンダイナムコホールディングス,その他製品,株式会社バンダイナムコホールディングス,9.2,69.1,2.8,3.0,3.1,3.4,3.0,2.8,3.1,3.4,2005年9月29日,2005年9月29日,"9,806人",None,None
6502.T,200175.0,株式会社東芝,電気機器,株式会社東芝,32.8,65.6,3.5,2.7,2.9,3.1,3.2,3.0,3.7,2.9,1904年6月25日,1949年5月,"118,131人",45.0歳,"8,660千円"
6857.T,32363.0,株式会社アドバンテスト,電気機器,株式会社アドバンテスト,10.5,70.3,3.7,2.7,3.7,3.5,3.1,3.0,4.6,3.1,1954年12月16日,1983年2月9日,"5,314人",46.1歳,"9,800千円"
4523.T,44985.0,エーザイ株式会社,医薬品,エーザイ株式会社,33.0,54.2,4.1,2.7,2.9,3.4,3.5,2.8,4.2,3.1,1941年12月6日,1961年9月,"11,237人",43.9歳,"10,420千円"
8725.T,100276.0,ＭＳ＆ＡＤインシュアランスグループホールディングス株式会社,保険業,MS&ADインシュアランスグループホールディングス株式会社,4.0,95.0,3.0,2.9,3.1,3.1,2.9,2.9,3.2,2.9,2008年4月1日,2008年4月1日,"41,219人",47.8歳,"10,740千円"
4684.T,19178.0,株式会社オービック,情報・通信業,株式会社オービック（SIer）,42.0,33.7,2.7,3.2,3.9,4.1,4.4,2.6,3.1,3.0,1968年4月8日,1998年12月17日,"2,155人",36.4歳,"9,330千円"
2802.T,79863.0,味の素株式会社,食料品,味の素株式会社,22.6,69.3,4.4,3.8,3.8,4.1,3.1,3.6,4.9,3.2,1925年12月17日,1949年5月,"33,461人",44.1歳,"9,970千円"
8002.T,262947.0,丸紅株式会社,卸売業,丸紅株式会社（総合商社）,35.6,55.1,4.6,3.3,3.6,3.6,3.8,3.1,4.4,3.1,1949年12月1日,1950年7月,None,42.2歳,"11,920千円"
4755.T,205924.0,楽天グループ株式会社,サービス業,楽天グループ株式会社（旧：楽天株式会社）,32.5,60.1,3.2,3.8,3.9,3.9,4.2,2.6,3.9,3.4,1997年2月7日,2000年4月19日,"23,841人",34.2歳,"7,450千円"
4151.T,26745.0,協和キリン株式会社,医薬品,協和キリン株式会社,21.2,66.0,3.1,2.8,3.3,3.7,3.0,2.7,4.5,2.7,1949年7月1日,1949年8月,"5,700人",42.6歳,"8,770千円"
6762.T,32641.0,ＴＤＫ株式会社,電気機器,TDK株式会社（精密機器）,26.0,49.1,3.3,2.6,3.7,2.9,2.8,2.6,4.0,2.7,1935年12月7日,1961年9月,"128,742人",43.5歳,"7,860千円"
8015.T,64936.0,豊田通商株式会社,卸売業,豊田通商株式会社,33.3,48.4,4.2,3.0,3.6,4.0,3.4,2.8,4.8,2.9,1948年7月1日,1961年10月,"64,402人",42.4歳,"11,000千円"
2801.T,11599.0,キッコーマン株式会社,食料品,キッコーマン株式会社,21.6,64.3,4.4,3.4,3.0,3.7,3.0,3.3,4.8,3.2,1917年12月7日,1949年5月,"7,645人",43.6歳,"7,760千円"
8630.T,100045.0,ＳＯＭＰＯホールディングス株式会社,保険業,SOMPOホールディングス株式会社,20.4,44.2,3.1,3.0,3.0,3.1,3.1,2.9,3.1,2.9,2010年4月1日,2010年4月1日,"48,163人",43.4歳,"11,090千円"
9735.T,66392.0,セコム株式会社,サービス業,セコム株式会社,32.1,52.7,2.6,2.5,2.5,2.9,2.4,2.2,4.7,2.9,1962年7月7日,1974年6月,"59,436人",43.2歳,"5,910千円"
5401.T,419524.0,日本製鉄株式会社,金属,日本製鉄株式会社,32.3,53.3,2.9,2.9,2.8,3.3,3.1,3.0,4.5,2.8,1950年4月1日,1950年10月,"106,226人",37.2歳,"4,940千円"
9143.T,11882.0,ＳＧホールディングス株式会社,陸運業,SGホールディングス株式会社,26.2,65.0,2.1,2.4,2.8,2.9,2.4,2.3,3.6,2.2,2006年3月22日,2017年12月13日,"52,900人",37.6歳,"7,040千円"
8421.T,690998.0,信金中央金庫,その他金融業,信金中央金庫,22.3,39.9,3.6,2.5,2.9,3.0,2.5,2.5,4.7,2.4,None,None,None,None,None
7270.T,153795.0,株式会社ＳＵＢＡＲＵ,輸送用機器,株式会社SUBARU,28.8,76.0,2.7,2.6,2.9,2.8,2.9,2.5,3.6,2.7,1953年7月17日,1960年3月,"36,070人",38.9歳,"6,510千円"
1928.T,202591.0,積水ハウス株式会社,建設業,積水ハウス株式会社,34.7,35.7,3.6,3.1,2.9,2.8,3.0,2.7,4.3,4.1,1960年8月,1970年8月,"28,362人",43.0歳,"7,920千円"
