企業名,残業時間,有休消化率,待遇面の満足度,社員の士気,風通しの良さ,社員の相互尊重,20代成長環境,人材の長期育成,法令遵守意識,人事評価の適正感
株式会社極洋,16.9,36.9,3.5,3.3,2.9,2.4,3.1,2.5,3.2,2.6
株式会社INPEX（旧：国際石油開発帝石株式会社）,20.1,67.9,3.4,2.5,2.8,3.4,2.3,2.2,4.7,2.4
大和ハウス工業株式会社,35.0,38.3,3.8,2.8,2.5,2.4,3.0,2.5,3.5,4.0
株式会社大林組,59.4,32.0,4.1,3.6,3.4,3.8,3.2,3.3,3.9,3.0
鹿島建設株式会社,53.0,37.1,4.2,3.8,3.5,4.0,3.5,3.6,4.4,3.1
積水ハウス株式会社,34.7,35.7,3.6,3.1,2.9,2.8,3.0,2.7,4.3,4.1
戸田建設株式会社,40.1,48.6,3.1,2.9,2.9,3.0,2.9,2.8,4.1,2.8
大東建託株式会社,52.4,49.3,3.5,3.1,2.5,2.2,2.8,2.2,3.0,4.5
株式会社日清製粉グループ本社,38.4,43.8,3.8,2.8,2.5,2.7,3.2,2.6,4.8,2.6
キリンホールディングス株式会社,30.3,62.7,4.4,3.3,3.7,3.9,2.9,3.5,4.9,3.0
株式会社ヤクルト本社,18.1,45.9,3.3,2.6,2.7,3.4,2.5,2.5,3.8,2.1
キッコーマン株式会社,21.6,64.3,4.4,3.4,3.0,3.7,3.0,3.3,4.8,3.2
味の素株式会社,22.6,69.3,4.4,3.8,3.8,4.1,3.1,3.6,4.9,3.2
日清食品ホールディングス株式会社,23.5,63.5,3.7,2.9,2.8,3.0,2.7,2.4,3.5,2.8
東洋水産株式会社,22.4,51.8,2.9,2.7,2.8,2.9,2.6,2.5,4.3,2.5
日本たばこ産業株式会社（JT）,20.2,84.1,4.4,2.7,3.7,3.9,2.7,3.2,4.9,2.8
ヒューリック株式会社,25.4,80.1,4.2,3.4,3.2,2.4,3.8,2.6,4.7,2.9
ユニ・チャーム株式会社,41.7,42.8,3.7,3.2,3.3,3.6,4.2,3.1,3.3,3.0
凸版印刷株式会社,34.9,48.7,2.3,2.6,3.2,3.0,2.9,2.8,4.4,2.5
大日本印刷株式会社,30.8,51.0,2.7,2.5,3.0,2.9,2.8,2.6,4.7,2.5
住友化学株式会社,26.9,58.0,3.5,2.8,2.9,3.1,2.8,2.8,4.9,2.7
日産化学株式会社,28.3,60.7,4.3,3.1,4.0,3.6,3.1,2.8,4.5,2.6
イビデン株式会社,40.1,47.7,2.8,2.2,2.6,2.7,3.2,2.3,3.2,2.9
信越化学工業株式会社,30.0,61.5,2.5,2.8,2.8,2.9,2.9,2.5,4.1,2.5
株式会社三菱ケミカルホールディングス,12.1,70.7,3.0,2.8,2.9,3.5,2.8,2.8,3.7,2.9
協和キリン株式会社,21.2,66.0,3.1,2.8,3.3,3.7,3.0,2.7,4.5,2.7
積水化学工業株式会社,26.8,47.7,4.3,2.9,3.6,3.2,3.2,2.8,3.7,3.1
東レ株式会社,28.5,69.3,2.8,2.8,3.0,3.3,2.9,3.2,4.7,2.7
旭化成株式会社（化学）,23.1,71.8,4.5,3.7,4.4,4.0,3.9,3.9,4.8,3.5
花王株式会社,25.3,69.6,3.8,3.4,3.7,3.8,2.9,3.1,4.9,2.9
日本ペイントホールディングス株式会社,19.3,55.3,4.0,2.7,3.0,2.9,2.7,2.4,3.7,2.7
関西ペイント株式会社,21.0,59.3,3.9,2.9,4.1,3.6,2.9,2.6,3.9,2.7
武田薬品工業株式会社,23.9,65.5,4.4,2.8,2.9,3.3,3.3,2.7,4.7,3.1
アステラス製薬株式会社,25.1,66.1,4.5,3.1,3.7,3.6,3.5,3.0,4.9,3.4
大日本住友製薬株式会社,20.3,62.9,4.0,2.8,3.5,3.6,3.1,3.0,4.8,2.9
塩野義製薬株式会社,20.2,59.7,3.7,2.6,3.2,3.6,2.9,2.9,4.8,2.8
日本新薬株式会社,18.2,52.6,4.0,3.4,3.1,3.7,3.4,3.4,4.6,2.9
中外製薬株式会社,22.3,55.7,4.4,4.1,4.1,4.0,4.3,4.1,4.9,3.7
エーザイ株式会社,33.0,54.2,4.1,2.7,2.9,3.4,3.5,2.8,4.2,3.1
小野薬品工業株式会社,23.0,51.8,3.9,3.1,2.8,4.1,3.1,2.6,3.5,2.5
参天製薬株式会社,28.2,54.6,3.3,2.9,2.9,3.0,2.8,2.5,4.3,3.0
第一三共株式会社,29.2,62.9,4.5,3.8,3.5,4.2,3.7,3.6,4.6,3.0
富士フイルムホールディングス株式会社,10.0,85.7,3.2,3.2,3.1,3.2,3.1,3.2,3.2,3.2
株式会社資生堂,27.8,55.7,3.0,2.9,3.0,3.4,2.8,2.8,4.7,2.9
ライオン株式会社,20.0,57.9,3.8,3.1,4.2,4.0,3.1,3.5,4.9,2.9
小林製薬株式会社,26.3,54.5,3.4,3.2,4.1,3.3,3.4,2.7,4.3,2.8
株式会社コーセー,14.0,58.7,2.4,2.9,2.9,3.2,2.7,2.4,4.0,2.3
出光興産株式会社,23.8,68.5,4.1,3.0,2.9,3.6,3.1,3.5,3.7,2.9
株式会社ブリヂストン,30.1,60.1,3.3,2.6,2.8,2.9,2.9,2.6,4.7,2.9
TOYO TIRE株式会社,25.6,49.4,2.4,2.4,2.6,2.6,2.6,2.3,3.1,2.5
AGC株式会社,31.3,59.5,3.7,3.2,3.9,3.4,3.6,2.9,4.6,2.9
HOYA株式会社,23.7,41.0,3.0,2.6,2.7,2.6,2.5,2.0,3.8,3.1
TOTO株式会社,21.4,73.7,3.6,3.1,3.6,3.7,2.9,3.1,4.8,2.7
東海カーボン株式会社,10.2,69.1,3.1,3.1,3.8,3.6,3.1,2.9,3.8,3.1
京セラ株式会社,29.5,45.9,3.1,2.8,2.9,3.3,2.7,2.6,4.6,2.7
日本製鉄株式会社,32.3,53.3,2.9,2.9,2.8,3.3,3.1,3.0,4.5,2.8
日立金属株式会社,29.6,43.0,2.9,2.5,2.8,2.7,2.8,2.6,3.4,2.7
株式会社クボタ,29.9,76.5,4.1,2.9,2.8,2.9,2.9,2.9,4.2,2.8
住友電気工業株式会社,24.5,62.4,3.8,2.8,3.3,3.0,3.0,3.0,4.7,2.6
株式会社ディスコ（人材）,42.2,47.0,2.7,2.8,3.5,2.9,3.6,2.1,3.6,2.6
株式会社豊田自動織機,26.5,93.9,4.1,2.6,3.1,3.5,2.6,3.1,4.8,2.5
株式会社小松製作所,22.8,88.9,3.8,3.0,3.8,3.5,2.9,3.0,4.9,3.0
株式会社ダイフク（機械）,34.9,54.6,3.4,2.9,3.3,2.9,2.9,2.5,3.6,2.4
ダイキン工業株式会社,25.0,90.5,3.0,2.8,3.4,3.2,2.8,2.6,4.2,2.9
日立建機株式会社,26.7,53.8,3.4,2.7,3.1,3.0,2.8,2.6,4.4,2.7
株式会社アイシン（旧：アイシン精機株式会社）,21.8,90.2,3.5,2.6,2.9,2.8,2.8,2.5,4.5,2.8
ミネベアミツミ株式会社,26.1,51.3,2.7,2.6,2.6,2.8,3.5,2.5,3.7,2.6
テルモ株式会社,28.5,60.2,2.8,2.9,3.1,3.2,2.7,2.7,4.6,2.7
SMC株式会社（精密機器）,21.3,76.6,3.1,2.4,2.7,2.7,2.5,2.5,3.5,2.6
株式会社ハーモニック・ドライブ・システムズ,23.7,43.5,3.1,3.0,2.9,2.9,2.9,2.8,2.9,2.9
株式会社日立製作所,34.5,57.2,3.8,2.9,3.1,3.4,2.9,3.4,4.7,3.0
株式会社東芝,32.8,65.6,3.5,2.7,2.9,3.1,3.2,3.0,3.7,2.9
三菱電機株式会社,34.9,45.1,3.4,2.7,2.8,3.0,2.7,2.8,4.4,2.7
株式会社安川電機,25.6,67.6,3.3,2.8,3.9,3.1,2.9,2.8,4.0,2.6
オムロン株式会社,20.5,50.3,3.4,2.6,3.2,3.1,2.7,2.8,4.8,2.7
日本電気株式会社（NEC）,28.1,54.2,3.2,2.7,3.4,3.4,2.9,2.9,4.7,2.7
富士通株式会社,31.4,57.3,2.9,2.7,3.1,3.2,2.8,2.9,4.5,2.7
パナソニック株式会社,26.6,63.5,3.7,2.9,3.3,3.5,2.9,3.2,4.8,2.9
