timeline,Nippon Express
30 Sep 2009,$3.36B
30 Oct 2009,$3.46B
30 Nov 2009,$3.53B
31 Dec 2009,$3.5B
26 Feb 2010,$3.37B
31 Mar 2010,$3.7B
30 Apr 2010,$4.07B
31 May 2010,$3.7B
30 Jun 2010,$3.71B
30 Jul 2010,$3.24B
31 Aug 2010,$2.7B
30 Sep 2010,$2.92B
29 Oct 2010,$2.94B
30 Nov 2010,$3.07B
31 Dec 2010,$3.37B
31 Jan 2011,$3.18B
28 Feb 2011,$3.24B
31 Mar 2011,$2.93B
29 Apr 2011,$2.95B
31 May 2011,$2.89B
30 Jun 2011,$2.99B
29 Jul 2011,$3.13B
31 Aug 2011,$2.93B
30 Sep 2011,$3.05B
31 Oct 2011,$2.82B
30 Nov 2011,$2.66B
30 Dec 2011,$2.76B
31 Jan 2012,$2.81B
29 Feb 2012,$2.93B
30 Mar 2012,$2.97B
30 Apr 2012,$2.79B
31 May 2012,$2.82B
29 Jun 2012,$3.02B
31 Jul 2012,$2.95B
31 Aug 2012,$2.82B
28 Sep 2012,$2.72B
31 Oct 2012,$2.69B
30 Nov 2012,$2.72B
31 Dec 2012,$3.27B
31 Jan 2013,$3.48B
28 Feb 2013,$3.74B
29 Mar 2013,$4.22B
30 Apr 2013,$4.69B
31 May 2013,$4.23B
28 Jun 2013,$4.36B
31 Jul 2013,$4.29B
30 Aug 2013,$4.26B
30 Sep 2013,$4.56B
29 Nov 2013,$4.89B
31 Dec 2013,$4.71B
31 Jan 2014,$4.5B
28 Feb 2014,$4.39B
31 Mar 2014,$4.57B
30 Apr 2014,$4.37B
30 May 2014,$4.52B
30 Jun 2014,$4.44B
31 Jul 2014,$4.54B
29 Aug 2014,$4.31B
30 Sep 2014,$4.15B
31 Oct 2014,$4.38B
28 Nov 2014,$5.16B
31 Dec 2014,$5.56B
30 Jan 2015,$6.25B
27 Feb 2015,$6.05B
31 Mar 2015,$5.94B
30 Apr 2015,$6.1B
29 May 2015,$6.07B
30 Jun 2015,$5.32B
31 Jul 2015,$5.8B
31 Aug 2015,$5.19B
30 Sep 2015,$5.03B
30 Oct 2015,$5.54B
30 Nov 2015,$4.91B
31 Dec 2015,$5.05B
29 Jan 2016,$4.93B
29 Feb 2016,$4.42B
31 Mar 2016,$4.52B
29 Apr 2016,$4.49B
31 May 2016,$4.22B
30 Jun 2016,$4.11B
29 Jul 2016,$4.62B
31 Aug 2016,$4.33B
30 Sep 2016,$4.15B
31 Oct 2016,$4.58B
30 Nov 2016,$5.22B
30 Dec 2016,$5.55B
31 Jan 2017,$5.29B
28 Feb 2017,$5.12B
31 Mar 2017,$4.85B
28 Apr 2017,$5.19B
31 May 2017,$5.79B
30 Jun 2017,$5.96B
31 Jul 2017,$5.98B
31 Aug 2017,$6.43B
29 Sep 2017,$6.21B
31 Oct 2017,$6.08B
30 Nov 2017,$6.04B
29 Dec 2017,$6.35B
31 Jan 2018,$6.64B
28 Feb 2018,$6.1B
30 Mar 2018,$6.03B
30 Apr 2018,$7.01B
31 May 2018,$6.94B
29 Jun 2018,$6.81B
31 Jul 2018,$6.19B
31 Aug 2018,$5.9B
28 Sep 2018,$6.32B
31 Oct 2018,$6.06B
30 Nov 2018,$5.8B
31 Dec 2018,$5.19B
31 Jan 2019,$5.83B
28 Feb 2019,$5.48B
29 Mar 2019,$5.14B
30 Apr 2019,$5.09B
31 May 2019,$4.83B
28 Jun 2019,$4.78B
31 Jul 2019,$5.14B
30 Aug 2019,$4.58B
30 Sep 2019,$4.6B
31 Oct 2019,$5.18B
29 Nov 2019,$5.79B
31 Dec 2019,$5.32B
31 Jan 2020,$4.76B
28 Feb 2020,$4.26B
31 Mar 2020,$4.34B
1 May 2020,$4.25B
29 May 2020,$4.55B
30 Jun 2020,$4.58B
10 Jul 2020,$4.6B
31 Jul 2020,$4.11B
20 Aug 2020,$4.88B
31 Aug 2020,$5.15B
30 Sep 2020,$5.04B
30 Oct 2020,$4.8B
12 Nov 2020,$5.98B
20 Nov 2020,$5.84B
4 Dec 2020,$5.74B
25 Dec 2020,$5.63B
31 Dec 2020,$5.69B
29 Jan 2021,$5.84B
5 Feb 2021,$6.26B
15 Feb 2021,$6.32B
22 Feb 2021,$6.55B
1 Mar 2021,$6.6B
12 Mar 2021,$6.88B
19 Mar 2021,$6.86B
25 Mar 2021,$6.79B
7 Apr 2021,$6.67B
13 Apr 2021,$6.72B
30 Apr 2021,$6.76B
7 May 2021,$7.14B
19 May 2021,$7.07B
26 May 2021,$7.1B
11 Jun 2021,$7.02B
30 Jun 2021,$6.85B
20 Jul 2021,$6.45B
6 Aug 2021,$6.88B
13 Aug 2021,$7.03B
20 Aug 2021,$5.8B
27 Aug 2021,$6.16B
10 Sep 2021,$6.61B
17 Sep 2021,$6.81B
24 Sep 2021,$6.69B
2 Oct 2021,$6.14B
9 Oct 2021,$6.06B
23 Oct 2021,$5.89B
30 Oct 2021,$5.67B
6 Nov 2021,$5.71B
13 Nov 2021,$5.74B
20 Nov 2021,$5.4B
4 Dec 2021,$5.33B
