timeline,Nippon Steel
31 Jan 2019,$15.64B
28 Feb 2019,$15.59B
29 Mar 2019,$15.2B
30 Apr 2019,$16.07B
31 May 2019,$14.66B
28 Jun 2019,$15.01B
31 Jul 2019,$13.93B
30 Aug 2019,$12.06B
30 Sep 2019,$12.22B
31 Oct 2019,$12.92B
29 Nov 2019,$13.03B
31 Dec 2019,$13.42B
31 Jan 2020,$12.46B
20 Feb 2020,$11.02B
28 Feb 2020,$9.87B
31 Mar 2020,$7.51B
30 Apr 2020,$7.4B
29 May 2020,$8.06B
30 Jun 2020,$8.23B
31 Jul 2020,$6.96B
6 Aug 2020,$8B
20 Aug 2020,$8.18B
31 Aug 2020,$8.48B
30 Sep 2020,$8.03B
16 Oct 2020,$8.65B
30 Oct 2020,$8.17B
20 Nov 2020,$9.88B
30 Nov 2020,$10.36B
15 Dec 2020,$10.55B
18 Dec 2020,$10.8B
31 Dec 2020,$10.78B
5 Jan 2021,$10.71B
19 Jan 2021,$11.11B
26 Jan 2021,$10.17B
5 Feb 2021,$10.84B
10 Feb 2021,$11.83B
18 Feb 2021,$12.39B
3 Mar 2021,$13.46B
5 Mar 2021,$13.81B
18 Mar 2021,$14.85B
25 Mar 2021,$14.96B
2 Apr 2021,$14.83B
15 Apr 2021,$15.96B
21 Apr 2021,$14.71B
30 Apr 2021,$15.48B
7 May 2021,$17.59B
13 May 2021,$17.97B
28 May 2021,$17.07B
2 Jun 2021,$16.29B
9 Jun 2021,$15.65B
30 Jun 2021,$15.21B
20 Jul 2021,$14.25B
21 Jul 2021,$14.19B
6 Aug 2021,$17.73B
13 Aug 2021,$18.75B
20 Aug 2021,$15.97B
27 Aug 2021,$17.22B
3 Sep 2021,$18.99B
17 Sep 2021,$18.03B
24 Sep 2021,$17.57B
2 Oct 2021,$16.42B
9 Oct 2021,$15.75B
16 Oct 2021,$15.83B
30 Oct 2021,$16.2B
6 Nov 2021,$15.6B
13 Nov 2021,$15.64B
20 Nov 2021,$14.84B
4 Dec 2021,$14.57B
9 Dec 2021,$14.99B
