timeline,Hikari Tsushin
31 Mar 2006,$4.19B
28 Apr 2006,$3.6B
31 May 2006,$3.19B
30 Jun 2006,$3.16B
31 Jul 2006,$2.37B
31 Aug 2006,$3.32B
29 Sep 2006,$3.16B
31 Oct 2006,$3.15B
30 Nov 2006,$2.64B
29 Dec 2006,$2.68B
31 Jan 2007,$2.89B
28 Feb 2007,$2.74B
30 Mar 2007,$2.75B
30 Apr 2007,$2.47B
31 May 2007,$2.59B
29 Jun 2007,$2.66B
31 Jul 2007,$2.44B
31 Aug 2007,$1.73B
28 Sep 2007,$1.62B
31 Oct 2007,$1.79B
30 Nov 2007,$1.74B
31 Dec 2007,$1.96B
31 Jan 2008,$2.06B
29 Feb 2008,$1.65B
31 Mar 2008,$1.51B
30 Apr 2008,$1.96B
30 May 2008,$1.95B
30 Jun 2008,$1.8B
31 Jul 2008,$1.7B
29 Aug 2008,$1.43B
30 Sep 2008,$1.14B
31 Oct 2008,$0.74B
28 Nov 2008,$0.83B
31 Dec 2008,$0.87B
30 Jan 2009,$0.83B
27 Feb 2009,$0.82B
31 Mar 2009,$0.93B
30 Apr 2009,$1B
29 May 2009,$1.08B
30 Jun 2009,$1.09B
31 Jul 2009,$1.03B
31 Aug 2009,$1.01B
30 Sep 2009,$0.98B
30 Oct 2009,$0.87B
30 Nov 2009,$0.75B
31 Dec 2009,$0.81B
29 Jan 2010,$0.75B
31 Mar 2010,$0.73B
30 Apr 2010,$0.91B
31 May 2010,$0.79B
30 Jun 2010,$0.77B
30 Jul 2010,$0.75B
31 Aug 2010,$0.71B
30 Sep 2010,$0.75B
29 Oct 2010,$0.73B
30 Nov 2010,$0.85B
31 Dec 2010,$0.83B
31 Jan 2011,$0.87B
28 Feb 2011,$0.94B
31 Mar 2011,$0.76B
29 Apr 2011,$0.74B
31 May 2011,$0.85B
30 Jun 2011,$0.89B
31 Aug 2011,$0.84B
30 Sep 2011,$0.87B
30 Nov 2011,$0.91B
30 Dec 2011,$0.9B
31 Jan 2012,$0.93B
29 Feb 2012,$1.08B
30 Mar 2012,$1.14B
30 Apr 2012,$1.35B
31 May 2012,$1.51B
29 Jun 2012,$1.81B
31 Jul 2012,$1.67B
31 Aug 2012,$1.75B
28 Sep 2012,$1.84B
31 Oct 2012,$1.96B
30 Nov 2012,$1.67B
31 Dec 2012,$1.34B
31 Jan 2013,$1.7B
28 Feb 2013,$1.79B
29 Mar 2013,$1.93B
30 Apr 2013,$2.28B
31 May 2013,$2.41B
28 Jun 2013,$2.31B
31 Jul 2013,$2.59B
30 Aug 2013,$2.52B
30 Sep 2013,$2.43B
31 Oct 2013,$2.87B
29 Nov 2013,$3.09B
31 Dec 2013,$3.02B
31 Jan 2014,$3.26B
28 Feb 2014,$3.35B
31 Mar 2014,$3.52B
30 Apr 2014,$3.47B
30 May 2014,$3.28B
30 Jun 2014,$3.09B
31 Jul 2014,$3.08B
29 Aug 2014,$2.61B
30 Sep 2014,$3.14B
31 Oct 2014,$2.95B
28 Nov 2014,$3.12B
31 Dec 2014,$2.97B
30 Jan 2015,$2.74B
27 Feb 2015,$3.13B
31 Mar 2015,$3.18B
30 Apr 2015,$3.26B
29 May 2015,$3.57B
30 Jun 2015,$3.37B
31 Jul 2015,$3.53B
31 Aug 2015,$3.29B
30 Sep 2015,$3.4B
30 Oct 2015,$3.77B
30 Nov 2015,$3.61B
31 Dec 2015,$3.36B
29 Jan 2016,$3.22B
29 Feb 2016,$3.25B
31 Mar 2016,$3.51B
29 Apr 2016,$3.38B
31 May 2016,$3.71B
30 Jun 2016,$3.51B
29 Jul 2016,$3.5B
31 Aug 2016,$3.81B
30 Sep 2016,$3.84B
31 Oct 2016,$3.95B
30 Nov 2016,$4.18B
30 Dec 2016,$4.46B
31 Jan 2017,$4.23B
28 Feb 2017,$4.51B
31 Mar 2017,$4.44B
28 Apr 2017,$4.37B
31 May 2017,$4.58B
30 Jun 2017,$4.83B
31 Jul 2017,$4.92B
31 Aug 2017,$5.57B
29 Sep 2017,$5.76B
31 Oct 2017,$5.99B
30 Nov 2017,$6.61B
29 Dec 2017,$6.62B
31 Jan 2018,$6.48B
28 Feb 2018,$6.32B
30 Mar 2018,$6.95B
30 Apr 2018,$7.23B
31 May 2018,$7.88B
29 Jun 2018,$7.93B
31 Jul 2018,$7.61B
31 Aug 2018,$8.75B
28 Sep 2018,$9.36B
31 Oct 2018,$8.01B
30 Nov 2018,$7.35B
31 Dec 2018,$6.97B
31 Jan 2019,$7.06B
28 Feb 2019,$8.09B
29 Mar 2019,$8.51B
30 Apr 2019,$8.31B
31 May 2019,$8.91B
28 Jun 2019,$9.51B
31 Jul 2019,$9.76B
30 Aug 2019,$10.08B
30 Sep 2019,$9.46B
31 Oct 2019,$9.64B
29 Nov 2019,$10.33B
31 Dec 2019,$11.1B
31 Jan 2020,$10.93B
28 Feb 2020,$8.29B
31 Mar 2020,$7.34B
1 May 2020,$8.33B
29 May 2020,$9.56B
10 Jun 2020,$10.14B
30 Jun 2020,$9.94B
31 Jul 2020,$9.23B
20 Aug 2020,$10.19B
31 Aug 2020,$10.37B
24 Sep 2020,$9.81B
30 Sep 2020,$10.11B
22 Oct 2020,$9.85B
30 Oct 2020,$9.88B
13 Nov 2020,$10.39B
20 Nov 2020,$9.7B
30 Nov 2020,$10.15B
4 Dec 2020,$10.39B
11 Dec 2020,$10.23B
25 Dec 2020,$9.83B
31 Dec 2020,$9.79B
8 Jan 2021,$8.89B
22 Jan 2021,$8.78B
29 Jan 2021,$8.89B
5 Feb 2021,$8.73B
15 Feb 2021,$9.04B
22 Feb 2021,$8.58B
1 Mar 2021,$8.64B
12 Mar 2021,$8.75B
19 Mar 2021,$9.11B
25 Mar 2021,$9.04B
1 Apr 2021,$8.99B
7 Apr 2021,$8.87B
13 Apr 2021,$9.25B
22 Apr 2021,$9.22B
30 Apr 2021,$8.9B
7 May 2021,$8.96B
19 May 2021,$8.88B
1 Jun 2021,$8.63B
11 Jun 2021,$8.47B
30 Jun 2021,$7.9B
16 Jul 2021,$8.25B
21 Jul 2021,$8.17B
30 Jul 2021,$8B
6 Aug 2021,$7.93B
13 Aug 2021,$8.04B
20 Aug 2021,$7.69B
27 Aug 2021,$7.95B
3 Sep 2021,$8.42B
10 Sep 2021,$8.76B
17 Sep 2021,$8.4B
24 Sep 2021,$8.27B
2 Oct 2021,$7.7B
9 Oct 2021,$7.4B
16 Oct 2021,$7.07B
23 Oct 2021,$7.2B
30 Oct 2021,$7.09B
6 Nov 2021,$7.41B
13 Nov 2021,$7.56B
20 Nov 2021,$7.46B
27 Nov 2021,$7.12B
4 Dec 2021,$6.99B
10 Dec 2021,$7.28B
