timeline,Kintetsu GHD
17 Sep 2021,$6.35B
24 Sep 2021,$6.46B
2 Oct 2021,$6.32B
9 Oct 2021,$6.2B
16 Oct 2021,$5.95B
23 Oct 2021,$6.01B
30 Oct 2021,$5.98B
6 Nov 2021,$6.11B
13 Nov 2021,$5.92B
20 Nov 2021,$5.71B
27 Nov 2021,$5.6B
4 Dec 2021,$5.47B
10 Dec 2021,$5.46B
