timeline,MinebeaMitsumi
28 Feb 2019,$6.54B
29 Mar 2019,$6.09B
30 Apr 2019,$7.21B
31 May 2019,$5.84B
28 Jun 2019,$6.68B
31 Jul 2019,$6.88B
30 Aug 2019,$6.01B
30 Sep 2019,$6.26B
31 Oct 2019,$7.61B
29 Nov 2019,$7.77B
31 Dec 2019,$8.32B
31 Jan 2020,$7.95B
27 Feb 2020,$7.47B
28 Feb 2020,$6.92B
31 Mar 2020,$5.81B
1 May 2020,$6.09B
29 May 2020,$6.81B
30 Jun 2020,$7.03B
10 Jul 2020,$6.61B
31 Jul 2020,$6.2B
20 Aug 2020,$6.51B
31 Aug 2020,$6.62B
30 Sep 2020,$7.17B
22 Oct 2020,$7.13B
30 Oct 2020,$6.75B
12 Nov 2020,$7.17B
19 Nov 2020,$7.46B
3 Dec 2020,$8.12B
10 Dec 2020,$7.8B
24 Dec 2020,$7.32B
31 Dec 2020,$7.37B
5 Feb 2021,$8.62B
12 Feb 2021,$9.76B
22 Feb 2021,$9.61B
26 Feb 2021,$9.42B
12 Mar 2021,$10.05B
19 Mar 2021,$10.19B
26 Mar 2021,$10.3B
1 Apr 2021,$10.17B
16 Apr 2021,$10.34B
22 Apr 2021,$9.85B
30 Apr 2021,$9.83B
7 May 2021,$9.92B
20 May 2021,$9.96B
28 May 2021,$10.82B
4 Jun 2021,$10.78B
11 Jun 2021,$10.35B
30 Jun 2021,$10.52B
20 Jul 2021,$10.47B
6 Aug 2021,$11.43B
13 Aug 2021,$10.86B
20 Aug 2021,$10.01B
27 Aug 2021,$10.2B
10 Sep 2021,$11.21B
17 Sep 2021,$11.12B
24 Sep 2021,$10.84B
2 Oct 2021,$10.1B
9 Oct 2021,$9.67B
23 Oct 2021,$10.01B
30 Oct 2021,$10.25B
6 Nov 2021,$10.76B
13 Nov 2021,$11.36B
20 Nov 2021,$11.39B
4 Dec 2021,$10.93B
9 Dec 2021,$11.74B
