timeline,Dentsu
25 Sep 2020,$7.5B
30 Sep 2020,$7.49B
29 Oct 2020,$7.28B
6 Nov 2020,$7.34B
13 Nov 2020,$7.55B
19 Nov 2020,$7.92B
26 Nov 2020,$8.49B
4 Dec 2020,$8.55B
18 Dec 2020,$7.9B
30 Dec 2020,$7.41B
8 Jan 2021,$7.38B
29 Jan 2021,$8.02B
5 Feb 2021,$8.84B
12 Feb 2021,$9.14B
26 Feb 2021,$8.88B
18 Mar 2021,$10.08B
24 Mar 2021,$8.99B
31 Mar 2021,$8.82B
9 Apr 2021,$8.75B
16 Apr 2021,$8.52B
22 Apr 2021,$8.16B
30 Apr 2021,$8.35B
6 May 2021,$8.54B
18 May 2021,$8.89B
31 May 2021,$9.34B
4 Jun 2021,$9.56B
11 Jun 2021,$9.38B
30 Jun 2021,$9.87B
19 Jul 2021,$9.74B
30 Jul 2021,$9.72B
6 Aug 2021,$10.22B
13 Aug 2021,$10.69B
27 Aug 2021,$10.37B
3 Sep 2021,$10.45B
10 Sep 2021,$10.9B
17 Sep 2021,$10.82B
24 Sep 2021,$10.89B
2 Oct 2021,$10.52B
9 Oct 2021,$10.41B
16 Oct 2021,$10.47B
23 Oct 2021,$10.01B
30 Oct 2021,$10.15B
6 Nov 2021,$10.59B
20 Nov 2021,$9.68B
27 Nov 2021,$9.04B
4 Dec 2021,$9.3B
9 Dec 2021,$9.94B
