timeline,Suzuki Motor
28 Feb 2019,$22.2B
29 Mar 2019,$19.08B
30 Apr 2019,$20.6B
31 May 2019,$20.98B
28 Jun 2019,$20.6B
31 Jul 2019,$17.36B
30 Aug 2019,$16.67B
30 Sep 2019,$18.66B
31 Oct 2019,$20.89B
15 Nov 2019,$20.12B
29 Nov 2019,$19.75B
31 Dec 2019,$18.58B
31 Jan 2020,$20.47B
27 Feb 2020,$18.78B
6 Mar 2020,$16.12B
31 Mar 2020,$11.06B
30 Apr 2020,$14.84B
29 May 2020,$16.03B
30 Jun 2020,$15.65B
22 Jul 2020,$15.96B
31 Jul 2020,$14.86B
7 Aug 2020,$16.76B
14 Aug 2020,$17.95B
20 Aug 2020,$17.72B
2 Sep 2020,$18.72B
10 Sep 2020,$19.49B
16 Sep 2020,$18.54B
30 Sep 2020,$19.18B
8 Oct 2020,$20.52B
15 Oct 2020,$20.03B
22 Oct 2020,$19.8B
30 Oct 2020,$19.07B
12 Nov 2020,$21.99B
19 Nov 2020,$22.88B
27 Nov 2020,$24.35B
30 Nov 2020,$23.98B
18 Dec 2020,$22.17B
31 Dec 2020,$20.46B
8 Jan 2021,$21.99B
22 Jan 2021,$21.81B
29 Jan 2021,$20.15B
15 Feb 2021,$21.22B
22 Feb 2021,$21.04B
1 Mar 2021,$20.48B
11 Mar 2021,$20.42B
19 Mar 2021,$20.63B
25 Mar 2021,$20.37B
7 Apr 2021,$20.75B
13 Apr 2021,$20.13B
22 Apr 2021,$18.84B
30 Apr 2021,$17.75B
7 May 2021,$18.57B
19 May 2021,$19.22B
26 May 2021,$20.01B
4 Jun 2021,$20.84B
11 Jun 2021,$20.37B
30 Jun 2021,$20.12B
20 Jul 2021,$18.71B
6 Aug 2021,$20.6B
13 Aug 2021,$21.53B
20 Aug 2021,$19.67B
27 Aug 2021,$20.51B
3 Sep 2021,$21.25B
17 Sep 2021,$22.94B
24 Sep 2021,$22.78B
2 Oct 2021,$21.05B
9 Oct 2021,$20.92B
16 Oct 2021,$21.91B
30 Oct 2021,$21.69B
6 Nov 2021,$23.11B
13 Nov 2021,$21.64B
20 Nov 2021,$22.64B
4 Dec 2021,$20.01B
9 Dec 2021,$19.74B
