timeline,PeptiDream
28 Jun 2013,$0.84B
31 Jul 2013,$0.89B
30 Aug 2013,$0.73B
30 Sep 2013,$1.25B
31 Oct 2013,$1.65B
29 Nov 2013,$1.44B
31 Dec 2013,$1.64B
31 Jan 2014,$1.52B
28 Feb 2014,$1.19B
31 Mar 2014,$0.96B
30 Apr 2014,$0.72B
30 May 2014,$0.86B
30 Jun 2014,$0.95B
31 Jul 2014,$0.92B
29 Aug 2014,$1.27B
30 Sep 2014,$1.07B
31 Oct 2014,$1.21B
28 Nov 2014,$1.25B
31 Dec 2014,$1.27B
30 Jan 2015,$1.23B
27 Feb 2015,$1.18B
31 Mar 2015,$1.08B
30 Apr 2015,$1.45B
29 May 2015,$1.35B
30 Jun 2015,$1.67B
31 Jul 2015,$1.6B
31 Aug 2015,$1.53B
30 Sep 2015,$1.49B
30 Oct 2015,$1.4B
30 Nov 2015,$1.47B
31 Dec 2015,$1.89B
29 Jan 2016,$1.88B
29 Feb 2016,$2.08B
31 Mar 2016,$3.39B
29 Apr 2016,$3.15B
31 May 2016,$3.22B
30 Jun 2016,$3.03B
29 Jul 2016,$2.86B
31 Aug 2016,$2.2B
30 Sep 2016,$2.77B
31 Oct 2016,$2.74B
30 Nov 2016,$2.88B
30 Dec 2016,$3.07B
31 Jan 2017,$2.83B
28 Feb 2017,$2.69B
31 Mar 2017,$2.65B
28 Apr 2017,$3.37B
31 May 2017,$3.21B
30 Jun 2017,$3.59B
31 Jul 2017,$3.5B
31 Aug 2017,$3.87B
29 Sep 2017,$3.67B
31 Oct 2017,$3.8B
30 Nov 2017,$3.96B
29 Dec 2017,$4.08B
31 Jan 2018,$4.76B
28 Feb 2018,$5.21B
30 Mar 2018,$5.79B
30 Apr 2018,$4.8B
31 May 2018,$5.11B
29 Jun 2018,$4.98B
31 Jul 2018,$4.7B
31 Aug 2018,$4.69B
28 Sep 2018,$4.93B
31 Oct 2018,$4.03B
30 Nov 2018,$5.06B
31 Dec 2018,$4.72B
31 Jan 2019,$5.04B
28 Feb 2019,$5.76B
29 Mar 2019,$5.91B
30 Apr 2019,$6.55B
31 May 2019,$5.92B
28 Jun 2019,$6.02B
31 Jul 2019,$6.75B
30 Aug 2019,$6.15B
30 Sep 2019,$5.66B
31 Oct 2019,$6.03B
29 Nov 2019,$5.55B
31 Dec 2019,$6.18B
31 Jan 2020,$5.79B
20 Feb 2020,$5.73B
28 Feb 2020,$4.75B
31 Mar 2020,$4.18B
30 Apr 2020,$4.49B
29 May 2020,$5.36B
30 Jun 2020,$5.48B
31 Jul 2020,$4.71B
7 Aug 2020,$5.02B
19 Aug 2020,$5.03B
31 Aug 2020,$4.78B
16 Sep 2020,$4.93B
23 Sep 2020,$4.83B
30 Sep 2020,$5.46B
22 Oct 2020,$5.36B
30 Oct 2020,$5.35B
5 Nov 2020,$5.65B
12 Nov 2020,$5.7B
16 Nov 2020,$5.66B
19 Nov 2020,$5.32B
27 Nov 2020,$5.75B
30 Nov 2020,$5.9B
11 Dec 2020,$6.11B
30 Dec 2020,$5.81B
8 Jan 2021,$6.48B
22 Jan 2021,$6.47B
29 Jan 2021,$6.78B
12 Feb 2021,$6.46B
26 Feb 2021,$5.62B
18 Mar 2021,$5.72B
24 Mar 2021,$5.57B
31 Mar 2021,$5.69B
9 Apr 2021,$5.54B
16 Apr 2021,$5.48B
28 Apr 2021,$5.17B
30 Apr 2021,$5.27B
12 May 2021,$5.29B
18 May 2021,$5.43B
28 May 2021,$5.73B
31 May 2021,$5.77B
4 Jun 2021,$5.36B
11 Jun 2021,$5.69B
30 Jun 2021,$6.13B
12 Jul 2021,$5.52B
16 Jul 2021,$5.37B
30 Jul 2021,$5.27B
6 Aug 2021,$4.69B
13 Aug 2021,$5B
20 Aug 2021,$4.69B
27 Aug 2021,$4.63B
3 Sep 2021,$4.71B
10 Sep 2021,$4.68B
17 Sep 2021,$4.58B
24 Sep 2021,$4.47B
2 Oct 2021,$4.15B
9 Oct 2021,$3.46B
16 Oct 2021,$3.08B
23 Oct 2021,$2.9B
30 Oct 2021,$3.15B
6 Nov 2021,$3.24B
13 Nov 2021,$3.22B
20 Nov 2021,$3.07B
27 Nov 2021,$3.21B
4 Dec 2021,$3.07B
10 Dec 2021,$3.17B
